,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('best',)",8.0,0.03686635944700461,"('best', 'ever')",3.0,0.013888888888888888,"('get', 'tiki', 'roll')",2,0.009302325581395349
1,"('roll',)",7.0,0.03225806451612903,"('best', 'nola')",2.0,0.009259259259259259,"('parking', 'back', 'park')",1,0.004651162790697674
2,"('fresh',)",6.0,0.027649769585253458,"('fresh', 'wasabi')",2.0,0.009259259259259259,"('2', 'will', 'rushing')",1,0.004651162790697674
3,"('delicious',)",4.0,0.018433179723502304,"('tiki', 'roll')",2.0,0.009259259259259259,"('roll', 'excellent', 'make')",1,0.004651162790697674
4,"('get',)",4.0,0.018433179723502304,"('get', 'tiki')",2.0,0.009259259259259259,"('excellent', 'make', 'sure')",1,0.004651162790697674
5,"('wasabi',)",3.0,0.013824884792626729,"('parking', 'back')",1.0,0.004629629629629629,"('make', 'sure', 'get')",1,0.004651162790697674
6,"('good',)",3.0,0.013824884792626729,"('excellent', 'make')",1.0,0.004629629629629629,"('sure', 'get', '130')",1,0.004651162790697674
7,"('amazing',)",3.0,0.013824884792626729,"('sure', 'get')",1.0,0.004629629629629629,"('get', '130', 'lunch')",1,0.004651162790697674
8,"('great',)",3.0,0.013824884792626729,"('get', '130')",1.0,0.004629629629629629,"('130', 'lunch', 'kitchen')",1,0.004651162790697674
9,"('service',)",3.0,0.013824884792626729,"('130', 'lunch')",1.0,0.004629629629629629,"('lunch', 'kitchen', 'closes')",1,0.004651162790697674
10,"('ever',)",3.0,0.013824884792626729,"('lunch', 'kitchen')",1.0,0.004629629629629629,"('kitchen', 'closes', 'promptly')",1,0.004651162790697674
11,"('ive',)",3.0,0.013824884792626729,"('kitchen', 'closes')",1.0,0.004629629629629629,"('closes', 'promptly', '2')",1,0.004651162790697674
12,"('kanno',)",3.0,0.013824884792626729,"('closes', 'promptly')",1.0,0.004629629629629629,"('promptly', '2', 'will')",1,0.004651162790697674
13,"('excellent',)",2.0,0.009216589861751152,"('promptly', '2')",1.0,0.004629629629629629,"('will', 'rushing', 'door')",1,0.004651162790697674
14,"('nola',)",2.0,0.009216589861751152,"('2', 'will')",1.0,0.004629629629629629,"('roll', 'kush', 'roll')",1,0.004651162790697674
15,"('tuesdays',)",2.0,0.009216589861751152,"('will', 'rushing')",1.0,0.004629629629629629,"('rushing', 'door', 'can')",1,0.004651162790697674
16,"('closed',)",2.0,0.009216589861751152,"('rushing', 'door')",1.0,0.004629629629629629,"('door', 'can', 'linger')",1,0.004651162790697674
17,"('try',)",2.0,0.009216589861751152,"('door', 'can')",1.0,0.004629629629629629,"('can', 'linger', 'straight')",1,0.004651162790697674
18,"('always',)",2.0,0.009216589861751152,"('can', 'linger')",1.0,0.004629629629629629,"('linger', 'straight', 'eat')",1,0.004651162790697674
19,"('metairie',)",2.0,0.009216589861751152,"('linger', 'straight')",1.0,0.004629629629629629,"('straight', 'eat', 'meal')",1,0.004651162790697674
20,"('check',)",2.0,0.009216589861751152,"('straight', 'eat')",1.0,0.004629629629629629,"('eat', 'meal', 'go')",1,0.004651162790697674
21,"('will',)",2.0,0.009216589861751152,"('eat', 'meal')",1.0,0.004629629629629629,"('meal', 'go', 'kind')",1,0.004651162790697674
22,"('go',)",2.0,0.009216589861751152,"('meal', 'go')",1.0,0.004629629629629629,"('go', 'kind', 'delicious')",1,0.004651162790697674
23,"('door',)",2.0,0.009216589861751152,"('go', 'kind')",1.0,0.004629629629629629,"('kind', 'delicious', 'always')",1,0.004651162790697674
24,"('tiki',)",2.0,0.009216589861751152,"('kind', 'delicious')",1.0,0.004629629629629629,"('delicious', 'always', 'great')",1,0.004651162790697674
25,"('wait',)",2.0,0.009216589861751152,"('delicious', 'always')",1.0,0.004629629629629629,"('always', 'great', 'service')",1,0.004651162790697674
26,"('said',)",2.0,0.009216589861751152,"('always', 'great')",1.0,0.004629629629629629,"('kush', 'roll', 'excellent')",1,0.004651162790697674
27,"('back',)",2.0,0.009216589861751152,"('make', 'sure')",1.0,0.004629629629629629,"('elvis', 'roll', 'kush')",1,0.004651162790697674
28,"('life',)",2.0,0.009216589861751152,"('kush', 'roll')",1.0,0.004629629629629629,"('service', 'specials', 'well')",1,0.004651162790697674
29,"('lunch',)",2.0,0.009216589861751152,"('roll', 'excellent')",1.0,0.004629629629629629,"('toro', 'elvis', 'roll')",1,0.004651162790697674
30,"('town',)",2.0,0.009216589861751152,"('service', 'specials')",1.0,0.004629629629629629,"('said', 'began', 'recently')",1,0.004651162790697674
31,"('made',)",2.0,0.009216589861751152,"('began', 'recently')",1.0,0.004629629629629629,"('began', 'recently', 'hot')",1,0.004651162790697674
32,"('hours',)",1.0,0.004608294930875576,"('recently', 'hot')",1.0,0.004629629629629629,"('recently', 'hot', 'saki')",1,0.004651162790697674
33,"('began',)",1.0,0.004608294930875576,"('hot', 'saki')",1.0,0.004629629629629629,"('hot', 'saki', 'bombs')",1,0.004651162790697674
34,"('2',)",1.0,0.004608294930875576,"('saki', 'bombs')",1.0,0.004629629629629629,"('saki', 'bombs', 'bonzai')",1,0.004651162790697674
35,"('promptly',)",1.0,0.004608294930875576,"('bombs', 'bonzai')",1.0,0.004629629629629629,"('bombs', 'bonzai', 'best')",1,0.004651162790697674
36,"('bombs',)",1.0,0.004608294930875576,"('bonzai', 'best')",1.0,0.004629629629629629,"('bonzai', 'best', 'ever')",1,0.004651162790697674
37,"('recently',)",1.0,0.004608294930875576,"('ever', 'life')",1.0,0.004629629629629629,"('best', 'ever', 'life')",1,0.004651162790697674
38,"('hot',)",1.0,0.004608294930875576,"('life', 'favorite')",1.0,0.004629629629629629,"('ever', 'life', 'favorite')",1,0.004651162790697674
39,"('saki',)",1.0,0.004608294930875576,"('favorite', 'town')",1.0,0.004629629629629629,"('life', 'favorite', 'town')",1,0.004651162790697674
40,"('updated',)",1.0,0.004608294930875576,"('town', 'fresh')",1.0,0.004629629629629629,"('favorite', 'town', 'fresh')",1,0.004651162790697674
41,"('rushing',)",1.0,0.004608294930875576,"('fresh', 'innovative')",1.0,0.004629629629629629,"('town', 'fresh', 'innovative')",1,0.004651162790697674
42,"('closes',)",1.0,0.004608294930875576,"('innovative', 'great')",1.0,0.004629629629629629,"('fresh', 'innovative', 'great')",1,0.004651162790697674
43,"('innovative',)",1.0,0.004608294930875576,"('great', 'wait')",1.0,0.004629629629629629,"('innovative', 'great', 'wait')",1,0.004651162790697674
44,"('bonzai',)",1.0,0.004608294930875576,"('wait', 'staff')",1.0,0.004629629629629629,"('great', 'wait', 'staff')",1,0.004651162790697674
