,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",5.0,0.043859649122807015,"('best', 'ever')",2,0.017699115044247787,"('excellent', 'courteous', 'staff')",1,0.008928571428571428
1,"('best',)",5.0,0.043859649122807015,"('excellent', 'courteous')",1,0.008849557522123894,"('courteous', 'staff', 'portions')",1,0.008928571428571428
2,"('love',)",3.0,0.02631578947368421,"('superior', 'portions')",1,0.008849557522123894,"('atmosphere', 'shabushabu', 'noodles')",1,0.008928571428571428
3,"('excellent',)",2.0,0.017543859649122806,"('shabushabu', 'noodles')",1,0.008849557522123894,"('great', 'atmosphere', 'shabushabu')",1,0.008928571428571428
4,"('menu',)",2.0,0.017543859649122806,"('atmosphere', 'shabushabu')",1,0.008849557522123894,"('fresh', 'great', 'atmosphere')",1,0.008928571428571428
5,"('fresh',)",2.0,0.017543859649122806,"('great', 'atmosphere')",1,0.008849557522123894,"('cheap', 'fresh', 'great')",1,0.008928571428571428
6,"('fantastic',)",2.0,0.017543859649122806,"('fresh', 'great')",1,0.008849557522123894,"('quick', 'cheap', 'fresh')",1,0.008928571428571428
7,"('roll',)",2.0,0.017543859649122806,"('cheap', 'fresh')",1,0.008849557522123894,"('bad', 'quick', 'cheap')",1,0.008928571428571428
8,"('good',)",2.0,0.017543859649122806,"('quick', 'cheap')",1,0.008849557522123894,"('good', 'bad', 'quick')",1,0.008928571428571428
9,"('accommodating',)",2.0,0.017543859649122806,"('bad', 'quick')",1,0.008849557522123894,"('found', 'good', 'bad')",1,0.008928571428571428
10,"('ever',)",2.0,0.017543859649122806,"('good', 'bad')",1,0.008849557522123894,"('glad', 'found', 'good')",1,0.008928571428571428
11,"('service',)",2.0,0.017543859649122806,"('found', 'good')",1,0.008849557522123894,"('im', 'glad', 'found')",1,0.008928571428571428
12,"('oh',)",2.0,0.017543859649122806,"('glad', 'found')",1,0.008849557522123894,"('best', 'im', 'glad')",1,0.008928571428571428
13,"('portions',)",2.0,0.017543859649122806,"('im', 'glad')",1,0.008849557522123894,"('options', 'best', 'im')",1,0.008928571428571428
14,"('ahead',)",1.0,0.008771929824561403,"('best', 'im')",1,0.008849557522123894,"('unique', 'options', 'best')",1,0.008928571428571428
15,"('go',)",1.0,0.008771929824561403,"('options', 'best')",1,0.008849557522123894,"('ever', 'unique', 'options')",1,0.008928571428571428
16,"('quick',)",1.0,0.008771929824561403,"('unique', 'options')",1,0.008849557522123894,"('best', 'ever', 'unique')",1,0.008928571428571428
17,"('bad',)",1.0,0.008771929824561403,"('ever', 'unique')",1,0.008849557522123894,"('accommodating', 'best', 'ever')",1,0.008928571428571428
18,"('superior',)",1.0,0.008771929824561403,"('accommodating', 'best')",1,0.008849557522123894,"('always', 'accommodating', 'best')",1,0.008928571428571428
19,"('taste',)",1.0,0.008771929824561403,"('always', 'accommodating')",1,0.008849557522123894,"('ahead', 'always', 'accommodating')",1,0.008928571428571428
20,"('large',)",1.0,0.008771929824561403,"('ahead', 'always')",1,0.008849557522123894,"('call', 'ahead', 'always')",1,0.008928571428571428
21,"('found',)",1.0,0.008771929824561403,"('call', 'ahead')",1,0.008849557522123894,"('best', 'call', 'ahead')",1,0.008928571428571428
22,"('glad',)",1.0,0.008771929824561403,"('best', 'call')",1,0.008849557522123894,"('party', 'best', 'call')",1,0.008928571428571428
23,"('im',)",1.0,0.008771929824561403,"('party', 'best')",1,0.008849557522123894,"('large', 'party', 'best')",1,0.008928571428571428
24,"('options',)",1.0,0.008771929824561403,"('large', 'party')",1,0.008849557522123894,"('taste', 'large', 'party')",1,0.008928571428571428
25,"('party',)",1.0,0.008771929824561403,"('taste', 'large')",1,0.008849557522123894,"('great', 'taste', 'large')",1,0.008928571428571428
26,"('call',)",1.0,0.008771929824561403,"('great', 'taste')",1,0.008849557522123894,"('portions', 'great', 'taste')",1,0.008928571428571428
27,"('cheap',)",1.0,0.008771929824561403,"('noodles', 'incredible')",1,0.008849557522123894,"('shabushabu', 'noodles', 'incredible')",1,0.008928571428571428
28,"('always',)",1.0,0.008771929824561403,"('incredible', 'nice')",1,0.008849557522123894,"('noodles', 'incredible', 'nice')",1,0.008928571428571428
29,"('unique',)",1.0,0.008771929824561403,"('nice', 'ambience')",1,0.008849557522123894,"('incredible', 'nice', 'ambience')",1,0.008928571428571428
30,"('shabushabu',)",1.0,0.008771929824561403,"('never', 'disappoint')",1,0.008849557522123894,"('love', 'never', 'disappoint')",1,0.008928571428571428
31,"('atmosphere',)",1.0,0.008771929824561403,"('tucson', 'oh')",1,0.008849557522123894,"('best', 'tucson', 'oh')",1,0.008928571428571428
32,"('say',)",1.0,0.008771929824561403,"('best', 'tucson')",1,0.008849557522123894,"('day', 'best', 'tucson')",1,0.008928571428571428
33,"('tucson',)",1.0,0.008771929824561403,"('day', 'best')",1,0.008849557522123894,"('mid', 'day', 'best')",1,0.008928571428571428
34,"('day',)",1.0,0.008771929824561403,"('mid', 'day')",1,0.008849557522123894,"('prices', 'mid', 'day')",1,0.008928571428571428
35,"('mid',)",1.0,0.008771929824561403,"('prices', 'mid')",1,0.008849557522123894,"('service', 'prices', 'mid')",1,0.008928571428571428
36,"('prices',)",1.0,0.008771929824561403,"('service', 'prices')",1,0.008849557522123894,"('good', 'service', 'prices')",1,0.008928571428571428
37,"('chinese',)",1.0,0.008771929824561403,"('good', 'service')",1,0.008849557522123894,"('menu', 'good', 'service')",1,0.008928571428571428
38,"('full',)",1.0,0.008771929824561403,"('menu', 'good')",1,0.008849557522123894,"('chinese', 'menu', 'good')",1,0.008928571428571428
39,"('disappoint',)",1.0,0.008771929824561403,"('chinese', 'menu')",1,0.008849557522123894,"('full', 'chinese', 'menu')",1,0.008928571428571428
40,"('never',)",1.0,0.008771929824561403,"('full', 'chinese')",1,0.008849557522123894,"('disappoint', 'full', 'chinese')",1,0.008928571428571428
41,"('creative',)",1.0,0.008771929824561403,"('disappoint', 'full')",1,0.008849557522123894,"('never', 'disappoint', 'full')",1,0.008928571428571428
42,"('searcher',)",1.0,0.008771929824561403,"('love', 'never')",1,0.008849557522123894,"('fresh', 'love', 'never')",1,0.008928571428571428
43,"('gabby',)",1.0,0.008771929824561403,"('ambience', 'great')",1,0.008849557522123894,"('nice', 'ambience', 'great')",1,0.008928571428571428
44,"('ask',)",1.0,0.008771929824561403,"('fresh', 'love')",1,0.008849557522123894,"('menu', 'fresh', 'love')",1,0.008928571428571428
45,"('wife',)",1.0,0.008771929824561403,"('menu', 'fresh')",1,0.008849557522123894,"('creative', 'menu', 'fresh')",1,0.008928571428571428
46,"('ambience',)",1.0,0.008771929824561403,"('creative', 'menu')",1,0.008849557522123894,"('love', 'creative', 'menu')",1,0.008928571428571428
47,"('nice',)",1.0,0.008771929824561403,"('love', 'creative')",1,0.008849557522123894,"('searcher', 'love', 'creative')",1,0.008928571428571428
48,"('incredible',)",1.0,0.008771929824561403,"('searcher', 'love')",1,0.008849557522123894,"('fantastic', 'searcher', 'love')",1,0.008928571428571428
49,"('noodles',)",1.0,0.008771929824561403,"('fantastic', 'searcher')",1,0.008849557522123894,"('gabby', 'fantastic', 'searcher')",1,0.008928571428571428
50,"('except',)",1.0,0.008771929824561403,"('gabby', 'fantastic')",1,0.008849557522123894,"('ask', 'gabby', 'fantastic')",1,0.008928571428571428
51,"('2',)",1.0,0.008771929824561403,"('ask', 'gabby')",1,0.008849557522123894,"('love', 'ask', 'gabby')",1,0.008928571428571428
52,"('yelp',)",1.0,0.008771929824561403,"('love', 'ask')",1,0.008849557522123894,"('wife', 'love', 'ask')",1,0.008928571428571428
53,"('lobster',)",1.0,0.008771929824561403,"('wife', 'love')",1,0.008849557522123894,"('great', 'wife', 'love')",1,0.008928571428571428
54,"('dietary',)",1.0,0.008771929824561403,"('great', 'wife')",1,0.008849557522123894,"('ambience', 'great', 'wife')",1,0.008928571428571428
55,"('meet',)",1.0,0.008771929824561403,"('portions', 'great')",1,0.008849557522123894,"('superior', 'portions', 'great')",1,0.008928571428571428
56,"('way',)",1.0,0.008771929824561403,"('great', 'superior')",1,0.008849557522123894,"('great', 'superior', 'portions')",1,0.008928571428571428
57,"('went',)",1.0,0.008771929824561403,"('courteous', 'staff')",1,0.008849557522123894,"('go', 'great', 'superior')",1,0.008928571428571428
58,"('guys',)",1.0,0.008771929824561403,"('rollthese', 'guys')",1,0.008849557522123894,"('rollthese', 'guys', 'accommodating')",1,0.008928571428571428
59,"('rollthese',)",1.0,0.008771929824561403,"('cute', 'restaurant')",1,0.008849557522123894,"('cute', 'restaurant', 'inside')",1,0.008928571428571428
60,"('ingredients',)",1.0,0.008771929824561403,"('fantastic', 'cute')",1,0.008849557522123894,"('fantastic', 'cute', 'restaurant')",1,0.008928571428571428
61,"('change',)",1.0,0.008771929824561403,"('roll', 'fantastic')",1,0.008849557522123894,"('roll', 'fantastic', 'cute')",1,0.008928571428571428
62,"('like',)",1.0,0.008771929824561403,"('lobster', 'roll')",1,0.008849557522123894,"('lobster', 'roll', 'fantastic')",1,0.008928571428571428
63,"('chefs',)",1.0,0.008771929824561403,"('needs', 'lobster')",1,0.008849557522123894,"('needs', 'lobster', 'roll')",1,0.008928571428571428
64,"('20',)",1.0,0.008771929824561403,"('dietary', 'needs')",1,0.008849557522123894,"('dietary', 'needs', 'lobster')",1,0.008928571428571428
65,"('delivery',)",1.0,0.008771929824561403,"('meet', 'dietary')",1,0.008849557522123894,"('meet', 'dietary', 'needs')",1,0.008928571428571428
66,"('order',)",1.0,0.008771929824561403,"('way', 'meet')",1,0.008849557522123894,"('way', 'meet', 'dietary')",1,0.008928571428571428
67,"('minimum',)",1.0,0.008771929824561403,"('went', 'way')",1,0.008849557522123894,"('went', 'way', 'meet')",1,0.008928571428571428
68,"('deliver',)",1.0,0.008771929824561403,"('accommodating', 'went')",1,0.008849557522123894,"('accommodating', 'went', 'way')",1,0.008928571428571428
69,"('huge',)",1.0,0.008771929824561403,"('guys', 'accommodating')",1,0.008849557522123894,"('guys', 'accommodating', 'went')",1,0.008928571428571428
70,"('staff',)",1.0,0.008771929824561403,"('ingredients', 'rollthese')",1,0.008849557522123894,"('ingredients', 'rollthese', 'guys')",1,0.008928571428571428
71,"('needs',)",1.0,0.008771929824561403,"('inside', 'great')",1,0.008849557522123894,"('inside', 'great', 'service')",1,0.008928571428571428
72,"('cute',)",1.0,0.008771929824561403,"('change', 'ingredients')",1,0.008849557522123894,"('change', 'ingredients', 'rollthese')",1,0.008928571428571428
73,"('stated',)",1.0,0.008771929824561403,"('like', 'change')",1,0.008849557522123894,"('like', 'change', 'ingredients')",1,0.008928571428571428
74,"('restaurant',)",1.0,0.008771929824561403,"('chefs', 'like')",1,0.008849557522123894,"('chefs', 'like', 'change')",1,0.008928571428571428
75,"('pm',)",1.0,0.008771929824561403,"('20', 'chefs')",1,0.008849557522123894,"('20', 'chefs', 'like')",1,0.008928571428571428
76,"('3',)",1.0,0.008771929824561403,"('delivery', '20')",1,0.008849557522123894,"('delivery', '20', 'chefs')",1,0.008928571428571428
77,"('courteous',)",1.0,0.008771929824561403,"('order', 'delivery')",1,0.008849557522123894,"('order', 'delivery', '20')",1,0.008928571428571428
78,"('closed',)",1.0,0.008771929824561403,"('minimum', 'order')",1,0.008849557522123894,"('minimum', 'order', 'delivery')",1,0.008928571428571428
79,"('sashimi',)",1.0,0.008771929824561403,"('deliver', 'minimum')",1,0.008849557522123894,"('deliver', 'minimum', 'order')",1,0.008928571428571428
80,"('craving',)",1.0,0.008771929824561403,"('huge', 'deliver')",1,0.008849557522123894,"('huge', 'deliver', 'minimum')",1,0.008928571428571428
81,"('chicken',)",1.0,0.008771929824561403,"('portions', 'huge')",1,0.008849557522123894,"('portions', 'huge', 'deliver')",1,0.008928571428571428
82,"('sesame',)",1.0,0.008771929824561403,"('staff', 'portions')",1,0.008849557522123894,"('staff', 'portions', 'huge')",1,0.008928571428571428
83,"('valley',)",1.0,0.008771929824561403,"('restaurant', 'inside')",1,0.008849557522123894,"('restaurant', 'inside', 'great')",1,0.008928571428571428
84,"('try',)",1.0,0.008771929824561403,"('great', 'service')",1,0.008849557522123894,"('great', 'service', 'ordering')",1,0.008928571428571428
85,"('bit',)",1.0,0.008771929824561403,"('go', 'great')",1,0.008849557522123894,"('except', 'go', 'great')",1,0.008928571428571428
86,"('trying',)",1.0,0.008771929824561403,"('oh', 'craving')",1,0.008849557522123894,"('ever', 'oh', 'craving')",1,0.008928571428571428
87,"('forward',)",1.0,0.008771929824561403,"('except', 'go')",1,0.008849557522123894,"('say', 'except', 'go')",1,0.008928571428571428
88,"('looking',)",1.0,0.008771929824561403,"('say', 'except')",1,0.008849557522123894,"('excellent', 'say', 'except')",1,0.008928571428571428
89,"('togo',)",1.0,0.008771929824561403,"('excellent', 'say')",1,0.008849557522123894,"('yelp', 'excellent', 'say')",1,0.008928571428571428
90,"('ordering',)",1.0,0.008771929824561403,"('yelp', 'excellent')",1,0.008849557522123894,"('stated', 'yelp', 'excellent')",1,0.008928571428571428
91,"('inside',)",1.0,0.008771929824561403,"('stated', 'yelp')",1,0.008849557522123894,"('pm', 'stated', 'yelp')",1,0.008928571428571428
92,"('lawrd',)",1.0,0.008771929824561403,"('pm', 'stated')",1,0.008849557522123894,"('3', 'pm', 'stated')",1,0.008928571428571428
93,,,,"('3', 'pm')",1,0.008849557522123894,"('2', '3', 'pm')",1,0.008928571428571428
94,,,,"('2', '3')",1,0.008849557522123894,"('closed', '2', '3')",1,0.008928571428571428
95,,,,"('closed', '2')",1,0.008849557522123894,"('sashimi', 'closed', '2')",1,0.008928571428571428
96,,,,"('sashimi', 'closed')",1,0.008849557522123894,"('craving', 'sashimi', 'closed')",1,0.008928571428571428
97,,,,"('craving', 'sashimi')",1,0.008849557522123894,"('oh', 'craving', 'sashimi')",1,0.008928571428571428
98,,,,"('ever', 'oh')",1,0.008849557522123894,"('best', 'ever', 'oh')",1,0.008928571428571428
99,,,,"('service', 'ordering')",1,0.008849557522123894,"('service', 'ordering', 'togo')",1,0.008928571428571428
