,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('belt',)",6.0,0.0375,"('hold', 'paddle')",3.0,0.018867924528301886,"('paddle', 'want', 'drink')",2,0.012658227848101266
1,"('amazing',)",4.0,0.025,"('paddle', 'want')",2.0,0.012578616352201259,"('want', 'drink', 'belt')",2,0.012658227848101266
2,"('menu',)",3.0,0.01875,"('want', 'drink')",2.0,0.012578616352201259,"('hold', 'paddle', 'want')",2,0.012658227848101266
3,"('hold',)",3.0,0.01875,"('drink', 'belt')",2.0,0.012578616352201259,"('location', 'start', 'december')",1,0.006329113924050633
4,"('drink',)",3.0,0.01875,"('december', 'keep')",1.0,0.006289308176100629,"('start', 'december', 'keep')",1,0.006329113924050633
5,"('want',)",3.0,0.01875,"('keep', 'coming')",1.0,0.006289308176100629,"('december', 'keep', 'coming')",1,0.006329113924050633
6,"('paddle',)",3.0,0.01875,"('coming', 'amazing')",1.0,0.006289308176100629,"('keep', 'coming', 'amazing')",1,0.006329113924050633
7,"('will',)",3.0,0.01875,"('amazing', 'super')",1.0,0.006289308176100629,"('coming', 'amazing', 'super')",1,0.006329113924050633
8,"('best',)",3.0,0.01875,"('super', 'fun')",1.0,0.006289308176100629,"('amazing', 'super', 'fun')",1,0.006329113924050633
9,"('button',)",2.0,0.0125,"('fun', 'way')",1.0,0.006289308176100629,"('super', 'fun', 'way')",1,0.006329113924050633
10,"('located',)",2.0,0.0125,"('way', 'spicy')",1.0,0.006289308176100629,"('fun', 'way', 'spicy')",1,0.006329113924050633
11,"('way',)",2.0,0.0125,"('love', 'concept')",1.0,0.006289308176100629,"('love', 'concept', 'fun')",1,0.006329113924050633
12,"('staff',)",2.0,0.0125,"('location', 'start')",1.0,0.006289308176100629,"('note', 'said', 'location')",1,0.006329113924050633
13,"('see',)",2.0,0.0125,"('spicy', 'seafood')",1.0,0.006289308176100629,"('way', 'spicy', 'seafood')",1,0.006329113924050633
14,"('service',)",2.0,0.0125,"('seafood', 'udon')",1.0,0.006289308176100629,"('spicy', 'seafood', 'udon')",1,0.006329113924050633
15,"('end',)",2.0,0.0125,"('udon', 'noodle')",1.0,0.006289308176100629,"('seafood', 'udon', 'noodle')",1,0.006329113924050633
16,"('mall',)",2.0,0.0125,"('noodle', 'delish')",1.0,0.006289308176100629,"('udon', 'noodle', 'delish')",1,0.006329113924050633
17,"('love',)",2.0,0.0125,"('delish', 'best')",1.0,0.006289308176100629,"('noodle', 'delish', 'best')",1,0.006329113924050633
18,"('concept',)",2.0,0.0125,"('best', 'friendly')",1.0,0.006289308176100629,"('delish', 'best', 'friendly')",1,0.006329113924050633
19,"('find',)",2.0,0.0125,"('friendly', 'staff')",1.0,0.006289308176100629,"('best', 'friendly', 'staff')",1,0.006329113924050633
20,"('fun',)",2.0,0.0125,"('staff', 'dom')",1.0,0.006289308176100629,"('friendly', 'staff', 'dom')",1,0.006329113924050633
21,"('dont',)",2.0,0.0125,"('start', 'december')",1.0,0.006289308176100629,"('said', 'location', 'start')",1,0.006329113924050633
22,"('great',)",2.0,0.0125,"('350', 'note')",1.0,0.006289308176100629,"('menu', '350', 'note')",1,0.006329113924050633
23,"('server',)",2.0,0.0125,"('said', 'location')",1.0,0.006289308176100629,"('350', 'note', 'said')",1,0.006329113924050633
24,"('monday',)",2.0,0.0125,"('note', 'said')",1.0,0.006289308176100629,"('dom', 'man', 'makes')",1,0.006329113924050633
25,"('note',)",1.0,0.00625,"('light', 'will')",1.0,0.006289308176100629,"('speaker', 'light', 'will')",1,0.006329113924050633
26,"('super',)",1.0,0.00625,"('will', 'turn')",1.0,0.006289308176100629,"('light', 'will', 'turn')",1,0.006329113924050633
27,"('udon',)",1.0,0.00625,"('turn', 'redpush')",1.0,0.006289308176100629,"('will', 'turn', 'redpush')",1,0.006329113924050633
28,"('plates',)",1.0,0.00625,"('redpush', 'button')",1.0,0.006289308176100629,"('turn', 'redpush', 'button')",1,0.006329113924050633
29,"('redpush',)",1.0,0.00625,"('button', 'server')",1.0,0.006289308176100629,"('redpush', 'button', 'server')",1,0.006329113924050633
30,"('seafood',)",1.0,0.00625,"('server', 'arrives')",1.0,0.006289308176100629,"('button', 'server', 'arrives')",1,0.006329113924050633
31,"('arrives',)",1.0,0.00625,"('arrives', 'hold')",1.0,0.006289308176100629,"('server', 'arrives', 'hold')",1,0.006329113924050633
32,"('spicy',)",1.0,0.00625,"('belt', 'every')",1.0,0.006289308176100629,"('arrives', 'hold', 'paddle')",1,0.006329113924050633
33,"('noodle',)",1.0,0.00625,"('every', 'monday')",1.0,0.006289308176100629,"('drink', 'belt', 'every')",1,0.006329113924050633
34,"('every',)",1.0,0.00625,"('monday', 'blue')",1.0,0.006289308176100629,"('belt', 'every', 'monday')",1,0.006329113924050633
35,"('said',)",1.0,0.00625,"('blue', 'monday')",1.0,0.006289308176100629,"('every', 'monday', 'blue')",1,0.006329113924050633
36,"('coming',)",1.0,0.00625,"('monday', 'plates')",1.0,0.006289308176100629,"('monday', 'blue', 'monday')",1,0.006329113924050633
37,"('keep',)",1.0,0.00625,"('plates', 'menu')",1.0,0.006289308176100629,"('blue', 'monday', 'plates')",1,0.006329113924050633
38,"('blue',)",1.0,0.00625,"('menu', '350')",1.0,0.006289308176100629,"('monday', 'plates', 'menu')",1,0.006329113924050633
39,"('december',)",1.0,0.00625,"('man', 'makes')",1.0,0.006289308176100629,"('plates', 'menu', '350')",1,0.006329113924050633
40,"('start',)",1.0,0.00625,"('dom', 'man')",1.0,0.006289308176100629,"('staff', 'dom', 'man')",1,0.006329113924050633
41,"('location',)",1.0,0.00625,"('1010', 'pricey')",1.0,0.006289308176100629,"('makes', 'best', '1010')",1,0.006329113924050633
42,"('350',)",1.0,0.00625,"('makes', 'best')",1.0,0.006289308176100629,"('man', 'makes', 'best')",1,0.006329113924050633
43,"('makes',)",1.0,0.00625,"('grandma', 'expert')",1.0,0.006289308176100629,"('bring', 'grandma', 'expert')",1,0.006329113924050633
