,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('good',)",10.0,0.028409090909090908,"('love', 'love')",4.0,0.011396011396011397,"('new', 'spicy', 'salad')",2,0.005714285714285714
1,"('great',)",8.0,0.022727272727272728,"('bento', 'box')",3.0,0.008547008547008548,"('love', 'love', 'love')",2,0.005714285714285714
2,"('best',)",7.0,0.019886363636363636,"('easy', 'miss')",2.0,0.005698005698005698,"('daughters', 'michelle', 'sarah')",2,0.005714285714285714
3,"('wife',)",7.0,0.019886363636363636,"('miso', 'soup')",2.0,0.005698005698005698,"('wife', 'daughters', 'michelle')",2,0.005714285714285714
4,"('love',)",6.0,0.017045454545454544,"('hidden', 'gem')",2.0,0.005698005698005698,"('enjoying', 'wife', 'daughters')",2,0.005714285714285714
5,"('delicious',)",4.0,0.011363636363636364,"('enjoying', 'wife')",2.0,0.005698005698005698,"('spicy', 'salad', 'dressing')",2,0.005714285714285714
6,"('spicy',)",4.0,0.011363636363636364,"('wife', 'daughters')",2.0,0.005698005698005698,"('2014', 'great', 'ramen')",1,0.002857142857142857
7,"('roll',)",4.0,0.011363636363636364,"('pretty', 'good')",2.0,0.005698005698005698,"('udon', 'awesome', 'close')",1,0.002857142857142857
8,"('favorite',)",4.0,0.011363636363636364,"('daughters', 'michelle')",2.0,0.005698005698005698,"('fantastic', 'youve', 'eaten')",1,0.002857142857142857
9,"('new',)",3.0,0.008522727272727272,"('michelle', 'sarah')",2.0,0.005698005698005698,"('sashimi', 'fantastic', 'youve')",1,0.002857142857142857
10,"('box',)",3.0,0.008522727272727272,"('new', 'spicy')",2.0,0.005698005698005698,"('chicken', 'sashimi', 'fantastic')",1,0.002857142857142857
11,"('enough',)",3.0,0.008522727272727272,"('spicy', 'salad')",2.0,0.005698005698005698,"('box', 'chicken', 'sashimi')",1,0.002857142857142857
12,"('chicken',)",3.0,0.008522727272727272,"('salad', 'dressing')",2.0,0.005698005698005698,"('bento', 'box', 'chicken')",1,0.002857142857142857
13,"('indy',)",3.0,0.008522727272727272,"('wish', 'julie')",1.0,0.002849002849002849,"('best', 'bento', 'box')",1,0.002857142857142857
14,"('fantastic',)",3.0,0.008522727272727272,"('best', 'bento')",1.0,0.002849002849002849,"('crab', 'best', 'bento')",1,0.002857142857142857
15,"('awesome',)",3.0,0.008522727272727272,"('crab', 'best')",1.0,0.002849002849002849,"('shell', 'crab', 'best')",1,0.002857142857142857
16,"('service',)",3.0,0.008522727272727272,"('shell', 'crab')",1.0,0.002849002849002849,"('soft', 'shell', 'crab')",1,0.002857142857142857
17,"('ramen',)",3.0,0.008522727272727272,"('soft', 'shell')",1.0,0.002849002849002849,"('places', 'soft', 'shell')",1,0.002857142857142857
18,"('menu',)",3.0,0.008522727272727272,"('places', 'soft')",1.0,0.002849002849002849,"('pop', 'places', 'soft')",1,0.002857142857142857
19,"('noodles',)",3.0,0.008522727272727272,"('pop', 'places')",1.0,0.002849002849002849,"('14', '2014', 'great')",1,0.002857142857142857
20,"('bento',)",3.0,0.008522727272727272,"('n', 'pop')",1.0,0.002849002849002849,"('n', 'pop', 'places')",1,0.002857142857142857
21,"('pretty',)",3.0,0.008522727272727272,"('chicken', 'sashimi')",1.0,0.002849002849002849,"('mom', 'n', 'pop')",1,0.002857142857142857
22,"('salad',)",3.0,0.008522727272727272,"('mom', 'n')",1.0,0.002849002849002849,"('love', 'mom', 'n')",1,0.002857142857142857
23,"('prices',)",3.0,0.008522727272727272,"('love', 'mom')",1.0,0.002849002849002849,"('love', 'love', 'mom')",1,0.002857142857142857
24,"('enjoying',)",3.0,0.008522727272727272,"('close', 'love')",1.0,0.002849002849002849,"('close', 'love', 'love')",1,0.002857142857142857
25,"('outside',)",3.0,0.008522727272727272,"('awesome', 'close')",1.0,0.002849002849002849,"('youve', 'eaten', 'missing')",1,0.002857142857142857
26,"('daughters',)",3.0,0.008522727272727272,"('udon', 'awesome')",1.0,0.002849002849002849,"('eaten', 'missing', 'hidden')",1,0.002857142857142857
27,"('tofu',)",3.0,0.008522727272727272,"('seafood', 'udon')",1.0,0.002849002849002849,"('missing', 'hidden', 'gem')",1,0.002857142857142857
28,"('japanese',)",2.0,0.005681818181818182,"('box', 'chicken')",1.0,0.002849002849002849,"('wish', 'julie', 'christi')",1,0.002857142857142857
29,"('door',)",2.0,0.005681818181818182,"('sashimi', 'fantastic')",1.0,0.002849002849002849,"('wife', 'going', 'see')",1,0.002857142857142857
30,"('amazing',)",2.0,0.005681818181818182,"('sarah', 'wish')",1.0,0.002849002849002849,"('lovely', 'wife', 'going')",1,0.002857142857142857
31,"('order',)",2.0,0.005681818181818182,"('fantastic', 'youve')",1.0,0.002849002849002849,"('favorite', 'lovely', 'wife')",1,0.002857142857142857
32,"('dinner',)",2.0,0.005681818181818182,"('lovely', 'wife')",1.0,0.002849002849002849,"('easter', 'favorite', 'lovely')",1,0.002857142857142857
33,"('charlene',)",2.0,0.005681818181818182,"('youve', 'eaten')",1.0,0.002849002849002849,"('charlene', 'easter', 'favorite')",1,0.002857142857142857
34,"('staff',)",2.0,0.005681818181818182,"('eaten', 'missing')",1.0,0.002849002849002849,"('christi', 'charlene', 'easter')",1,0.002857142857142857
