,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",10.0,0.05434782608695652,"('mr', 'nice')",6.0,0.03278688524590164,"('mr', 'nice', 'guy')",5,0.027472527472527472
1,"('nice',)",8.0,0.043478260869565216,"('nice', 'guy')",6.0,0.03278688524590164,"('nice', 'guy', 'great')",2,0.01098901098901099
2,"('guy',)",8.0,0.043478260869565216,"('amazing', 'chef')",2.0,0.01092896174863388,"('nice', 'guy', 'best')",1,0.005494505494505495
3,"('best',)",7.0,0.03804347826086957,"('george', 'best')",2.0,0.01092896174863388,"('sup', 'best', 'server')",1,0.005494505494505495
4,"('mr',)",6.0,0.03260869565217391,"('guy', 'great')",2.0,0.01092896174863388,"('best', 'server', 'tyrone')",1,0.005494505494505495
5,"('chef',)",5.0,0.02717391304347826,"('wonderful', 'service')",2.0,0.01092896174863388,"('server', 'tyrone', 'service')",1,0.005494505494505495
6,"('love',)",5.0,0.02717391304347826,"('entertainment', 'guy')",1.0,0.00546448087431694,"('tyrone', 'service', 'entertainment')",1,0.005494505494505495
7,"('service',)",4.0,0.021739130434782608,"('sake', 'sup')",1.0,0.00546448087431694,"('service', 'entertainment', 'guy')",1,0.005494505494505495
8,"('good',)",4.0,0.021739130434782608,"('sup', 'best')",1.0,0.00546448087431694,"('entertainment', 'guy', 'awesome')",1,0.005494505494505495
9,"('amazing',)",4.0,0.021739130434782608,"('best', 'server')",1.0,0.00546448087431694,"('guy', 'awesome', 'mr')",1,0.005494505494505495
10,"('george',)",3.0,0.016304347826086956,"('server', 'tyrone')",1.0,0.00546448087431694,"('awesome', 'mr', 'nice')",1,0.005494505494505495
11,"('awesome',)",3.0,0.016304347826086956,"('tyrone', 'service')",1.0,0.00546448087431694,"('guy', 'best', 'great')",1,0.005494505494505495
12,"('make',)",2.0,0.010869565217391304,"('service', 'entertainment')",1.0,0.00546448087431694,"('steak', 'sake', 'sup')",1,0.005494505494505495
13,"('entertainment',)",2.0,0.010869565217391304,"('terrible', 'seating')",1.0,0.00546448087431694,"('best', 'great', 'entertainment')",1,0.005494505494505495
14,"('reservation',)",2.0,0.010869565217391304,"('guy', 'awesome')",1.0,0.00546448087431694,"('great', 'entertainment', 'really')",1,0.005494505494505495
