,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('great',)",22.0,0.03747870528109029,"('best', 'tampa')",4.0,0.006825938566552901,"('fried', 'ice', 'cream')",2,0.003418803418803419
1,"('best',)",18.0,0.030664395229982964,"('always', 'fresh')",4.0,0.006825938566552901,"('ive', 'since', 'leaving')",2,0.003418803418803419
2,"('korean',)",17.0,0.028960817717206135,"('ice', 'cream')",3.0,0.005119453924914676,"('best', 'ive', 'since')",2,0.003418803418803419
3,"('service',)",13.0,0.022146507666098807,"('service', 'great')",3.0,0.005119453924914676,"('theres', 'plenty', 'parking')",1,0.0017094017094017094
4,"('tampa',)",12.0,0.020442930153321975,"('fried', 'ice')",2.0,0.0034129692832764505,"('awesome', 'great', 'service')",1,0.0017094017094017094
5,"('fresh',)",10.0,0.017035775127768313,"('best', 'korean')",2.0,0.0034129692832764505,"('will', 'return', 'time')",1,0.0017094017094017094
6,"('good',)",9.0,0.015332197614991482,"('tampa', 'bay')",2.0,0.0034129692832764505,"('return', 'time', 'time')",1,0.0017094017094017094
7,"('roll',)",9.0,0.015332197614991482,"('great', 'great')",2.0,0.0034129692832764505,"('time', 'time', 'awesome')",1,0.0017094017094017094
8,"('go',)",7.0,0.01192504258943782,"('town', 'great')",2.0,0.0034129692832764505,"('time', 'awesome', 'great')",1,0.0017094017094017094
9,"('time',)",6.0,0.010221465076660987,"('miso', 'soup')",2.0,0.0034129692832764505,"('great', 'service', 'quick')",1,0.0017094017094017094
10,"('delicious',)",6.0,0.010221465076660987,"('excellent', 'service')",2.0,0.0034129692832764505,"('sam', 'bar', 'will')",1,0.0017094017094017094
11,"('menu',)",5.0,0.008517887563884156,"('fresh', 'delicious')",2.0,0.0034129692832764505,"('service', 'quick', 'getting')",1,0.0017094017094017094
12,"('ice',)",5.0,0.008517887563884156,"('go', 'korean')",2.0,0.0034129692832764505,"('quick', 'getting', 'shape')",1,0.0017094017094017094
13,"('fried',)",5.0,0.008517887563884156,"('good', 'korean')",2.0,0.0034129692832764505,"('getting', 'shape', 'round')",1,0.0017094017094017094
14,"('get',)",4.0,0.0068143100511073255,"('fresh', 'good')",2.0,0.0034129692832764505,"('shape', 'round', 'shape')",1,0.0017094017094017094
15,"('youre',)",4.0,0.0068143100511073255,"('korean', 'menu')",2.0,0.0034129692832764505,"('round', 'shape', 'lol')",1,0.0017094017094017094
16,"('cream',)",4.0,0.0068143100511073255,"('best', 'ive')",2.0,0.0034129692832764505,"('shape', 'lol', 'great')",1,0.0017094017094017094
17,"('try',)",4.0,0.0068143100511073255,"('ive', 'since')",2.0,0.0034129692832764505,"('bar', 'will', 'return')",1,0.0017094017094017094
18,"('atmosphere',)",4.0,0.0068143100511073255,"('since', 'leaving')",2.0,0.0034129692832764505,"('met', 'sam', 'bar')",1,0.0017094017094017094
19,"('night',)",4.0,0.0068143100511073255,"('time', 'best')",2.0,0.0034129692832764505,"('great', 'atmosphere', 'came')",1,0.0017094017094017094
20,"('excellent',)",4.0,0.0068143100511073255,"('simply', 'best')",2.0,0.0034129692832764505,"('promise', 'met', 'sam')",1,0.0017094017094017094
21,"('order',)",4.0,0.0068143100511073255,"('korean', 'bbq')",2.0,0.0034129692832764505,"('ice', 'tea', 'unsweet')",1,0.0017094017094017094
22,"('always',)",4.0,0.0068143100511073255,"('great', 'korean')",2.0,0.0034129692832764505,"('tea', 'unsweet', 'iced')",1,0.0017094017094017094
23,"('waitress',)",4.0,0.0068143100511073255,"('little', 'gem')",1.0,0.0017064846416382253,"('unsweet', 'iced', 'tea')",1,0.0017094017094017094
24,"('ask',)",4.0,0.0068143100511073255,"('time', 'time')",1.0,0.0017064846416382253,"('iced', 'tea', 'good')",1,0.0017094017094017094
25,"('table',)",4.0,0.0068143100511073255,"('joint', 'didnt')",1.0,0.0017064846416382253,"('tea', 'good', 'easy')",1,0.0017094017094017094
26,"('like',)",3.0,0.005110732538330494,"('shape', 'lol')",1.0,0.0017064846416382253,"('good', 'easy', 'call')",1,0.0017094017094017094
27,"('ive',)",3.0,0.005110732538330494,"('round', 'shape')",1.0,0.0017064846416382253,"('easy', 'call', 'takeout')",1,0.0017094017094017094
28,"('staff',)",3.0,0.005110732538330494,"('shape', 'round')",1.0,0.0017064846416382253,"('call', 'takeout', 'seriously')",1,0.0017094017094017094
29,"('everything',)",3.0,0.005110732538330494,"('getting', 'shape')",1.0,0.0017064846416382253,"('takeout', 'seriously', 'dislikes')",1,0.0017094017094017094
30,"('love',)",3.0,0.005110732538330494,"('quick', 'getting')",1.0,0.0017064846416382253,"('seriously', 'dislikes', 'personal')",1,0.0017094017094017094
31,"('next',)",3.0,0.005110732538330494,"('service', 'quick')",1.0,0.0017064846416382253,"('dislikes', 'personal', 'great')",1,0.0017094017094017094
32,"('will',)",3.0,0.005110732538330494,"('great', 'service')",1.0,0.0017064846416382253,"('personal', 'great', 'great')",1,0.0017094017094017094
33,"('nice',)",3.0,0.005110732538330494,"('didnt', 'try')",1.0,0.0017064846416382253,"('great', 'great', 'quality')",1,0.0017094017094017094
34,"('galbi',)",3.0,0.005110732538330494,"('awesome', 'great')",1.0,0.0017064846416382253,"('great', 'quality', 'promise')",1,0.0017094017094017094
35,"('soup',)",3.0,0.005110732538330494,"('try', 'korean')",1.0,0.0017064846416382253,"('quality', 'promise', 'met')",1,0.0017094017094017094
36,"('us',)",3.0,0.005110732538330494,"('korean', 'japanese')",1.0,0.0017064846416382253,"('lol', 'great', 'atmosphere')",1,0.0017094017094017094
37,"('sweet',)",3.0,0.005110732538330494,"('time', 'awesome')",1.0,0.0017064846416382253,"('came', 'long', 'flight')",1,0.0017094017094017094
38,"('little',)",3.0,0.005110732538330494,"('return', 'time')",1.0,0.0017064846416382253,"('atmosphere', 'came', 'long')",1,0.0017094017094017094
39,"('town',)",2.0,0.0034071550255536627,"('touristy', 'joint')",1.0,0.0017064846416382253,"('love', 'gave', 'husband')",1,0.0017094017094017094
40,"('happy',)",2.0,0.0034071550255536627,"('will', 'return')",1.0,0.0017064846416382253,"('us', 'coming', 'gave')",1,0.0017094017094017094
41,"('also',)",2.0,0.0034071550255536627,"('bar', 'will')",1.0,0.0017064846416382253,"('coming', 'gave', 'us')",1,0.0017094017094017094
42,"('yummy',)",2.0,0.0034071550255536627,"('sam', 'bar')",1.0,0.0017064846416382253,"('gave', 'us', 'free')",1,0.0017094017094017094
43,"('miso',)",2.0,0.0034071550255536627,"('met', 'sam')",1.0,0.0017064846416382253,"('us', 'free', 'soup')",1,0.0017094017094017094
44,"('fish',)",2.0,0.0034071550255536627,"('japanese', 'dishes')",1.0,0.0017064846416382253,"('free', 'soup', 'love')",1,0.0017094017094017094
45,"('poisoning',)",2.0,0.0034071550255536627,"('promise', 'met')",1.0,0.0017064846416382253,"('soup', 'love', 'gave')",1,0.0017094017094017094
46,"('quality',)",2.0,0.0034071550255536627,"('quality', 'promise')",1.0,0.0017064846416382253,"('gave', 'husband', 'poisoning')",1,0.0017094017094017094
47,"('shape',)",2.0,0.0034071550255536627,"('great', 'quality')",1.0,0.0017064846416382253,"('us', 'asked', 'us')",1,0.0017094017094017094
48,"('came',)",2.0,0.0034071550255536627,"('personal', 'great')",1.0,0.0017064846416382253,"('husband', 'poisoning', 'dont')",1,0.0017094017094017094
49,"('sashimi',)",2.0,0.0034071550255536627,"('dislikes', 'personal')",1.0,0.0017064846416382253,"('poisoning', 'dont', 'eat')",1,0.0017094017094017094
50,"('lot',)",2.0,0.0034071550255536627,"('seriously', 'dislikes')",1.0,0.0017064846416382253,"('dont', 'eat', 'raw')",1,0.0017094017094017094
51,"('bbq',)",2.0,0.0034071550255536627,"('takeout', 'seriously')",1.0,0.0017064846416382253,"('eat', 'raw', 'stuff')",1,0.0017094017094017094
52,"('rice',)",2.0,0.0034071550255536627,"('dishes', 'excellent')",1.0,0.0017064846416382253,"('raw', 'stuff', 'quality')",1,0.0017094017094017094
53,"('friendly',)",2.0,0.0034071550255536627,"('lol', 'great')",1.0,0.0017064846416382253,"('stuff', 'quality', 'thats')",1,0.0017094017094017094
54,"('better',)",2.0,0.0034071550255536627,"('locals', 'touristy')",1.0,0.0017064846416382253,"('asked', 'us', 'coming')",1,0.0017094017094017094
