,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('go',)",2.0,0.038461538461538464,"('mandarin', 'court')",2,0.0392156862745098,"('check', 'sj', '2')",1,0.02
1,"('mandarin',)",2.0,0.038461538461538464,"('check', 'sj')",1,0.0196078431372549,"('rude', 'dim', 'sum')",1,0.02
2,"('court',)",2.0,0.038461538461538464,"('sum', 'sundays')",1,0.0196078431372549,"('insewell', 'nj', 'timberline')",1,0.02
3,"('good',)",2.0,0.038461538461538464,"('timberline', 'shopping')",1,0.0196078431372549,"('nj', 'timberline', 'shopping')",1,0.02
4,"('rest',)",2.0,0.038461538461538464,"('shopping', 'center')",1,0.0196078431372549,"('timberline', 'shopping', 'center')",1,0.02
5,"('check',)",1.0,0.019230769230769232,"('center', 'tip')",1,0.0196078431372549,"('shopping', 'center', 'tip')",1,0.02
6,"('sum',)",1.0,0.019230769230769232,"('tip', 'go')",1,0.0196078431372549,"('center', 'tip', 'go')",1,0.02
7,"('center',)",1.0,0.019230769230769232,"('go', 'somewhere')",1,0.0196078431372549,"('tip', 'go', 'somewhere')",1,0.02
8,"('tip',)",1.0,0.019230769230769232,"('somewhere', 'else')",1,0.0196078431372549,"('go', 'somewhere', 'else')",1,0.02
9,"('somewhere',)",1.0,0.019230769230769232,"('else', 'every')",1,0.0196078431372549,"('somewhere', 'else', 'every')",1,0.02
10,"('else',)",1.0,0.019230769230769232,"('every', 'rude')",1,0.0196078431372549,"('else', 'every', 'rude')",1,0.02
11,"('every',)",1.0,0.019230769230769232,"('rude', 'dim')",1,0.0196078431372549,"('every', 'rude', 'dim')",1,0.02
12,"('rude',)",1.0,0.019230769230769232,"('dim', 'sum')",1,0.0196078431372549,"('dim', 'sum', 'sundays')",1,0.02
13,"('dim',)",1.0,0.019230769230769232,"('sundays', 'lunch')",1,0.0196078431372549,"('sj', '2', 'u')",1,0.02
14,"('lunch',)",1.0,0.019230769230769232,"('insewell', 'nj')",1,0.0196078431372549,"('sum', 'sundays', 'lunch')",1,0.02
15,"('sundays',)",1.0,0.019230769230769232,"('lunch', 'hours')",1,0.0196078431372549,"('sundays', 'lunch', 'hours')",1,0.02
16,"('timberline',)",1.0,0.019230769230769232,"('hours', '123')",1,0.0196078431372549,"('lunch', 'hours', '123')",1,0.02
17,"('hours',)",1.0,0.019230769230769232,"('123', 'good')",1,0.0196078431372549,"('hours', '123', 'good')",1,0.02
18,"('123',)",1.0,0.019230769230769232,"('good', 'atmosphere')",1,0.0196078431372549,"('123', 'good', 'atmosphere')",1,0.02
19,"('atmosphere',)",1.0,0.019230769230769232,"('atmosphere', 'great')",1,0.0196078431372549,"('good', 'atmosphere', 'great')",1,0.02
20,"('great',)",1.0,0.019230769230769232,"('great', 'complementary')",1,0.0196078431372549,"('atmosphere', 'great', 'complementary')",1,0.02
21,"('complementary',)",1.0,0.019230769230769232,"('complementary', 'hot')",1,0.0196078431372549,"('great', 'complementary', 'hot')",1,0.02
22,"('hot',)",1.0,0.019230769230769232,"('hot', 'tea')",1,0.0196078431372549,"('complementary', 'hot', 'tea')",1,0.02
23,"('tea',)",1.0,0.019230769230769232,"('tea', 'good')",1,0.0196078431372549,"('hot', 'tea', 'good')",1,0.02
24,"('shopping',)",1.0,0.019230769230769232,"('nj', 'timberline')",1,0.0196078431372549,"('court', 'insewell', 'nj')",1,0.02
25,"('review',)",1.0,0.019230769230769232,"('court', 'insewell')",1,0.0196078431372549,"('mandarin', 'court', 'insewell')",1,0.02
26,"('nj',)",1.0,0.019230769230769232,"('sj', '2')",1,0.0196078431372549,"('review', 'mandarin', 'court')",1,0.02
27,"('sister',)",1.0,0.019230769230769232,"('review', 'mandarin')",1,0.0196078431372549,"('go', 'review', 'mandarin')",1,0.02
28,"('2',)",1.0,0.019230769230769232,"('2', 'u')",1,0.0196078431372549,"('2', 'u', 'get')",1,0.02
