,1-Gram,Frequency,Percent Total 1-Grams,2-Gram,Frequency,Percent Total 2-Grams,3-Gram,Frequency,Percent Total 3-Grams
0,"('service',)",9.0,0.03383458646616541,"('lime', 'beef')",3.0,0.011320754716981131,"('menu', 'sixth', 'sense')",2,0.007575757575757576
1,"('best',)",5.0,0.018796992481203006,"('horrible', 'horrible')",2.0,0.007547169811320755,"('music', 'gets', 'turned')",2,0.007575757575757576
2,"('horrible',)",4.0,0.015037593984962405,"('order', 'without')",2.0,0.007547169811320755,"('chili', 'lime', 'beef')",2,0.007575757575757576
3,"('zen',)",4.0,0.015037593984962405,"('gets', 'turned')",2.0,0.007547169811320755,"('tuna', 'melts', 'mouth')",2,0.007575757575757576
4,"('good',)",4.0,0.015037593984962405,"('music', 'gets')",2.0,0.007547169811320755,"('rice', 'tuna', 'melts')",2,0.007575757575757576
5,"('roll',)",4.0,0.015037593984962405,"('fri', 'sat')",2.0,0.007547169811320755,"('without', 'rice', 'tuna')",2,0.007575757575757576
6,"('order',)",4.0,0.015037593984962405,"('drinks', 'entrees')",2.0,0.007547169811320755,"('order', 'without', 'rice')",2,0.007575757575757576
7,"('volcano',)",3.0,0.011278195488721804,"('funky', 'vibe')",2.0,0.007547169811320755,"('best', 'menu', 'sixth')",2,0.007575757575757576
8,"('try',)",3.0,0.011278195488721804,"('melts', 'mouth')",2.0,0.007547169811320755,"('mouth', 'chili', 'lime')",1,0.003787878787878788
9,"('never',)",3.0,0.011278195488721804,"('tuna', 'melts')",2.0,0.007547169811320755,"('melts', 'mouth', 'chili')",1,0.003787878787878788
10,"('lime',)",3.0,0.011278195488721804,"('rice', 'tuna')",2.0,0.007547169811320755,"('sense', 'order', 'without')",1,0.003787878787878788
11,"('beef',)",3.0,0.011278195488721804,"('without', 'rice')",2.0,0.007547169811320755,"('sort', 'south', 'tampaish')",1,0.003787878787878788
