"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,3,2,1,3,2,2,2,4,9,8,"gebiRewfieSdtt17PTW6Zg"
5,6,3,5,7,3,2,6,8,11,8,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,1,0,0,0,1,2,3,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,0,1,0,0,2,0,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,1,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,5,0,3,7,0,12,9,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,2,2,1,0,3,4,0,"gebiRewfieSdtt17PTW6Zg"
3,2,1,1,2,1,0,2,4,10,5,"gebiRewfieSdtt17PTW6Zg"
2,4,1,0,4,2,1,7,7,10,7,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,2,1,1,1,1,5,3,"gebiRewfieSdtt17PTW6Zg"
2,0,1,0,3,2,1,5,5,7,5,"gebiRewfieSdtt17PTW6Zg"
1,6,0,1,3,0,1,2,2,7,5,"gebiRewfieSdtt17PTW6Zg"
2,0,3,1,0,2,2,1,3,1,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,1,1,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,5,0,1,3,0,0,3,2,4,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,1,0,1,1,1,3,1,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,3,1,0,3,2,6,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,4,0,6,9,"gebiRewfieSdtt17PTW6Zg"
2,0,1,0,3,2,1,4,5,6,4,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,2,0,0,4,1,2,-2,"gebiRewfieSdtt17PTW6Zg"
2,4,0,3,4,1,2,3,3,9,6,"gebiRewfieSdtt17PTW6Zg"
2,5,1,1,4,1,1,5,3,8,4,"gebiRewfieSdtt17PTW6Zg"
2,5,0,1,2,2,3,6,6,6,5,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,1,2,2,1,2,2,1,"gebiRewfieSdtt17PTW6Zg"
2,2,2,1,1,1,1,2,3,5,-1,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,2,1,0,2,1,5,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,5,2,2,8,1,3,7,3,18,13,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,1,0,0,0,2,1,"gebiRewfieSdtt17PTW6Zg"
