"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,3,0,1,3,0,2,4,1,4,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
3,6,2,2,9,4,7,6,3,13,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
2,4,4,2,4,2,1,5,8,10,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,3,0,0,1,0,8,7,"gebiRewfieSdtt17PTW6Zg"
2,3,0,2,4,0,4,2,2,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,4,1,4,7,"gebiRewfieSdtt17PTW6Zg"
1,3,0,3,5,0,4,6,4,15,15,"gebiRewfieSdtt17PTW6Zg"
