"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
3,10,1,4,15,2,5,15,4,21,18,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,4,1,1,4,1,6,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,0,2,1,1,0,0,1,2,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,1,2,5,"gebiRewfieSdtt17PTW6Zg"
0,2,1,1,4,1,2,2,3,5,2,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,3,0,1,3,0,5,4,"gebiRewfieSdtt17PTW6Zg"
2,8,3,2,10,4,1,17,6,21,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,2,2,-1,"gebiRewfieSdtt17PTW6Zg"
1,2,0,2,1,2,0,0,2,2,-2,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,2,1,2,3,4,4,0,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,5,0,3,2,1,6,3,"gebiRewfieSdtt17PTW6Zg"
1,2,2,1,2,2,1,3,3,6,4,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,3,0,1,2,0,5,3,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,2,0,1,2,0,3,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,3,2,2,3,2,1,6,2,12,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,0,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
2,1,1,3,3,5,1,3,7,4,-10,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,5,0,2,2,0,6,13,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,4,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,1,0,6,3,7,8,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,6,0,2,7,0,9,10,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,1,1,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,3,1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,0,2,0,1,3,1,-3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,0,1,2,2,2,-2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,4,1,1,4,2,5,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,4,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,0,2,0,0,3,1,-4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,1,1,2,1,4,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,0,4,0,6,4,"gebiRewfieSdtt17PTW6Zg"
1,6,3,4,10,2,4,14,8,21,12,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,1,1,2,1,8,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,1,0,4,0,3,1,"gebiRewfieSdtt17PTW6Zg"
