"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,6,1,2,8,2,2,6,3,10,9,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,0,3,0,8,8,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,4,1,3,5,1,8,4,"gebiRewfieSdtt17PTW6Zg"
2,5,1,2,9,1,2,6,3,16,12,"gebiRewfieSdtt17PTW6Zg"
1,4,0,2,3,2,2,3,3,6,0,"gebiRewfieSdtt17PTW6Zg"
1,3,0,2,3,0,2,1,1,4,6,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,2,1,0,1,1,2,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,0,0,2,2,0,"gebiRewfieSdtt17PTW6Zg"
3,4,3,4,5,3,3,6,5,7,1,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,3,2,3,2,3,8,5,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,2,0,0,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
1,5,1,1,4,0,1,4,3,7,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,3,0,1,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
2,8,1,2,5,2,2,7,10,15,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,0,2,0,13,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,0,2,0,6,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,2,2,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,4,0,5,3,"gebiRewfieSdtt17PTW6Zg"
5,6,3,5,5,7,3,4,9,7,4,"gebiRewfieSdtt17PTW6Zg"
3,5,2,2,2,1,1,2,6,7,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
2,6,0,1,4,4,2,3,2,6,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,1,0,2,4,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,2,1,0,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
2,8,1,0,8,1,3,8,1,11,7,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,0,2,5,2,8,2,"gebiRewfieSdtt17PTW6Zg"
