"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,0,0,0,1,0,0,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,4,0,1,4,0,5,2,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,6,1,2,4,2,8,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
4,6,2,4,8,4,1,7,5,12,5,"gebiRewfieSdtt17PTW6Zg"
2,8,2,4,10,4,5,13,10,23,13,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,0,4,0,6,8,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,4,0,2,3,4,12,6,"gebiRewfieSdtt17PTW6Zg"
2,0,1,1,2,2,0,1,2,2,2,"gebiRewfieSdtt17PTW6Zg"
3,1,2,2,1,1,1,2,4,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,3,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,2,2,4,1,1,2,1,9,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,3,0,6,7,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,4,0,1,5,0,9,10,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,0,0,0,1,1,-2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,3,1,0,2,2,5,2,"gebiRewfieSdtt17PTW6Zg"
2,5,3,3,5,4,1,6,4,9,-3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,6,0,1,5,0,11,10,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,3,0,0,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,2,3,0,5,6,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,3,1,1,3,1,6,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,5,0,1,4,0,8,8,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,2,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,2,0,5,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,0,1,4,1,4,2,"gebiRewfieSdtt17PTW6Zg"
2,1,1,2,5,2,1,7,4,10,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,0,2,0,7,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,6,0,2,5,1,10,9,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,2,0,6,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,2,1,1,1,1,3,4,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,1,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,0,0,1,4,"gebiRewfieSdtt17PTW6Zg"
3,2,1,2,5,2,2,3,3,7,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,1,2,0,2,1,"gebiRewfieSdtt17PTW6Zg"
