"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
2,4,1,1,5,1,2,5,2,7,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,2,2,2,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,1,1,1,2,3,"gebiRewfieSdtt17PTW6Zg"
2,10,2,2,12,2,3,14,5,21,4,"gebiRewfieSdtt17PTW6Zg"
2,0,1,3,1,1,0,1,3,3,-4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
2,4,1,0,5,1,4,6,3,9,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,0,1,1,0,1,0,"gebiRewfieSdtt17PTW6Zg"
0,4,2,0,7,1,3,7,1,13,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,1,1,3,1,3,0,"gebiRewfieSdtt17PTW6Zg"
1,4,3,2,8,1,4,5,4,12,1,"gebiRewfieSdtt17PTW6Zg"
2,9,2,3,10,3,4,13,6,27,21,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,1,2,3,4,5,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,6,1,1,2,2,10,10,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,2,0,2,4,0,6,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,0,0,1,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,6,0,1,3,0,10,7,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,0,0,0,1,2,2,1,"gebiRewfieSdtt17PTW6Zg"
1,5,0,2,3,1,1,3,2,7,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
2,5,3,2,5,3,2,5,5,9,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,2,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,2,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,2,0,5,5,"gebiRewfieSdtt17PTW6Zg"
2,5,1,4,3,3,3,6,3,11,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,5,0,5,6,"gebiRewfieSdtt17PTW6Zg"
1,1,2,0,3,0,0,4,1,3,-1,"gebiRewfieSdtt17PTW6Zg"
1,4,3,1,2,1,1,4,4,7,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,0,1,5,0,4,3,"gebiRewfieSdtt17PTW6Zg"
2,5,2,2,5,2,3,6,4,10,6,"gebiRewfieSdtt17PTW6Zg"
3,3,2,3,6,2,4,5,4,10,5,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,7,1,2,6,1,11,6,"gebiRewfieSdtt17PTW6Zg"
0,6,0,1,5,0,4,4,1,5,6,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,5,1,1,1,1,7,5,"gebiRewfieSdtt17PTW6Zg"
2,2,2,2,3,3,2,5,4,7,2,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,2,1,0,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,2,1,1,2,3,4,-2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,3,0,0,3,2,6,8,"gebiRewfieSdtt17PTW6Zg"
0,6,1,1,6,2,2,3,5,11,9,"gebiRewfieSdtt17PTW6Zg"
2,6,2,2,5,2,2,4,6,12,2,"gebiRewfieSdtt17PTW6Zg"
0,4,1,1,5,1,2,6,1,9,8,"gebiRewfieSdtt17PTW6Zg"
1,3,1,2,3,1,2,3,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,1,4,0,12,10,"gebiRewfieSdtt17PTW6Zg"
2,5,1,2,5,1,5,4,2,7,5,"gebiRewfieSdtt17PTW6Zg"
