"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
2,1,2,1,0,1,0,0,2,3,-3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,5,1,1,4,1,8,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,1,0,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,2,1,1,2,1,5,8,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,1,2,3,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,2,3,0,7,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,1,3,0,3,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
1,4,1,2,3,1,1,3,5,10,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,5,0,5,9,"gebiRewfieSdtt17PTW6Zg"
2,10,3,1,9,3,6,12,7,16,12,"gebiRewfieSdtt17PTW6Zg"
3,6,3,0,7,1,3,7,5,16,6,"gebiRewfieSdtt17PTW6Zg"
4,3,2,3,6,3,2,5,6,11,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,1,1,1,2,-2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,3,3,3,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,4,1,"gebiRewfieSdtt17PTW6Zg"
3,3,2,1,5,5,1,6,5,12,8,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,5,0,1,5,1,8,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,0,0,0,0,2,1,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,0,"gebiRewfieSdtt17PTW6Zg"
3,8,3,4,3,4,0,8,8,9,-6,"gebiRewfieSdtt17PTW6Zg"
6,7,3,5,5,6,3,10,12,15,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,2,6,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,1,0,0,2,2,4,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,4,2,1,2,4,7,-5,"gebiRewfieSdtt17PTW6Zg"
1,5,0,1,8,2,1,10,5,11,10,"gebiRewfieSdtt17PTW6Zg"
1,0,1,2,5,0,1,5,1,8,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,2,1,0,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,2,1,1,3,1,6,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,2,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
