"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
3,2,3,3,1,4,2,1,7,3,-1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,0,1,4,2,5,6,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,2,0,2,4,0,5,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,1,0,0,1,0,1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,4,1,3,4,4,5,2,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,1,2,1,1,3,3,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,0,2,4,1,6,6,"gebiRewfieSdtt17PTW6Zg"
3,3,5,3,2,3,2,4,7,7,-4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,1,0,4,6,"gebiRewfieSdtt17PTW6Zg"
2,3,1,2,4,2,1,3,3,5,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
3,1,2,0,4,1,2,5,2,10,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,1,0,0,1,0,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,3,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,2,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
3,1,2,2,2,1,0,1,3,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,4,0,1,6,1,6,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,0,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,4,1,1,1,3,5,1,"gebiRewfieSdtt17PTW6Zg"
2,1,0,1,3,0,2,4,2,8,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,1,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,1,0,0,1,2,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,4,1,0,4,2,9,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,0,1,3,1,5,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,2,1,1,3,1,-1,"gebiRewfieSdtt17PTW6Zg"
2,1,3,3,0,3,0,1,5,2,-5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,2,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,1,1,1,2,2,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,0,1,1,0,5,0,-2,"gebiRewfieSdtt17PTW6Zg"
