"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,2,1,1,4,0,2,3,2,5,6,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,1,1,3,0,7,5,"gebiRewfieSdtt17PTW6Zg"
2,1,3,4,2,2,1,2,3,4,-4,"gebiRewfieSdtt17PTW6Zg"
1,5,0,1,7,0,4,8,1,9,6,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,1,2,0,3,3,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,1,1,1,2,3,"gebiRewfieSdtt17PTW6Zg"
1,4,1,2,3,1,2,2,2,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,1,1,3,0,6,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,2,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
2,1,2,1,2,1,0,0,4,4,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,1,3,1,3,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,3,2,1,2,2,5,2,"gebiRewfieSdtt17PTW6Zg"
1,7,0,2,9,1,3,7,3,12,13,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,3,1,1,2,2,7,3,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,1,1,1,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,6,1,3,6,0,4,6,4,8,11,"gebiRewfieSdtt17PTW6Zg"
3,4,2,3,5,2,5,6,5,9,-2,"gebiRewfieSdtt17PTW6Zg"
2,1,0,3,3,0,1,2,3,4,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,2,2,0,3,7,"gebiRewfieSdtt17PTW6Zg"
0,4,1,4,7,2,2,5,5,13,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,5,0,2,4,0,6,4,"gebiRewfieSdtt17PTW6Zg"
2,3,1,5,3,4,1,4,3,7,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,2,4,0,6,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,2,1,0,1,1,4,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,5,1,1,5,1,6,3,"gebiRewfieSdtt17PTW6Zg"
