"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,4,0,0,2,1,1,4,1,5,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,0,1,1,1,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,1,1,0,1,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,4,0,8,5,"gebiRewfieSdtt17PTW6Zg"
1,2,2,4,5,1,1,9,4,16,12,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,1,3,7,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,8,2,3,8,1,15,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,4,"gebiRewfieSdtt17PTW6Zg"
3,5,0,2,5,1,0,5,2,9,14,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,2,0,1,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,3,7,"gebiRewfieSdtt17PTW6Zg"
0,2,1,1,2,1,0,2,2,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,2,0,1,0,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,0,1,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
2,2,2,2,3,1,1,3,2,5,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,3,1,3,3,"gebiRewfieSdtt17PTW6Zg"
