"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
2,2,0,0,2,3,1,2,6,2,1,"gebiRewfieSdtt17PTW6Zg"
2,1,1,2,2,1,1,2,2,3,2,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,4,0,4,4,1,5,3,"gebiRewfieSdtt17PTW6Zg"
1,6,1,2,5,1,3,2,3,6,2,"gebiRewfieSdtt17PTW6Zg"
0,3,2,1,3,0,1,3,3,4,2,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,2,2,2,2,3,3,3,"gebiRewfieSdtt17PTW6Zg"
2,2,2,1,2,1,2,2,2,6,3,"gebiRewfieSdtt17PTW6Zg"
2,6,1,1,3,1,4,1,3,6,8,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,3,0,1,3,1,7,3,"gebiRewfieSdtt17PTW6Zg"
2,1,0,1,3,0,1,4,1,3,2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,0,1,3,1,5,1,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,5,0,0,4,0,6,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,3,4,1,2,7,2,8,3,"gebiRewfieSdtt17PTW6Zg"
4,2,5,2,3,3,1,3,5,4,-4,"gebiRewfieSdtt17PTW6Zg"
4,12,5,5,10,3,5,13,11,17,16,"gebiRewfieSdtt17PTW6Zg"
2,2,0,0,3,0,2,2,1,3,5,"gebiRewfieSdtt17PTW6Zg"
1,0,5,1,1,4,1,1,8,1,-4,"gebiRewfieSdtt17PTW6Zg"
2,4,0,1,4,0,3,4,1,7,7,"gebiRewfieSdtt17PTW6Zg"
2,5,4,3,4,1,1,7,5,7,-4,"gebiRewfieSdtt17PTW6Zg"
3,7,1,1,7,1,2,6,6,12,9,"gebiRewfieSdtt17PTW6Zg"
2,2,1,0,1,1,0,1,4,6,1,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,4,1,0,5,2,7,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,2,0,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,2,1,0,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,0,0,1,1,1,1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,1,1,0,1,2,1,0,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,0,2,5,1,6,7,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,5,0,1,5,1,8,5,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,1,4,0,7,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,3,1,6,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,1,0,0,1,2,2,-1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,1,0,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,2,2,1,1,2,2,4,4,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,5,0,1,4,2,6,10,"gebiRewfieSdtt17PTW6Zg"
2,3,2,1,4,2,1,4,3,4,3,"gebiRewfieSdtt17PTW6Zg"
5,2,2,1,3,4,2,4,8,7,-4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
4,5,2,2,6,1,3,6,4,6,2,"gebiRewfieSdtt17PTW6Zg"
2,1,0,0,2,0,1,2,1,5,4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,3,0,1,3,1,3,1,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,2,0,1,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,0,0,1,1,4,2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,3,0,1,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
2,6,0,1,8,1,4,9,5,11,10,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,1,1,3,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,5,0,2,4,0,7,6,"gebiRewfieSdtt17PTW6Zg"
4,3,3,3,6,2,1,6,6,11,3,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,2,0,1,4,2,6,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,1,1,2,2,2,-1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,3,2,1,4,4,4,-2,"gebiRewfieSdtt17PTW6Zg"
2,1,1,0,3,0,1,3,5,7,-1,"gebiRewfieSdtt17PTW6Zg"
1,5,0,0,3,0,2,2,2,4,3,"gebiRewfieSdtt17PTW6Zg"
3,5,1,2,7,0,3,6,3,13,-1,"gebiRewfieSdtt17PTW6Zg"
