"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,5,2,0,7,1,4,6,1,8,5,"gebiRewfieSdtt17PTW6Zg"
4,8,3,2,6,2,3,10,7,14,9,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,4,1,1,4,3,4,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
1,2,2,2,3,1,1,3,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,1,1,1,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
1,2,2,1,3,4,1,4,4,7,3,"gebiRewfieSdtt17PTW6Zg"
3,6,2,3,5,2,4,7,2,10,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,3,2,1,3,3,4,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,1,"gebiRewfieSdtt17PTW6Zg"
3,2,3,1,2,1,1,3,4,5,-4,"gebiRewfieSdtt17PTW6Zg"
2,0,1,3,0,3,0,0,4,1,-4,"gebiRewfieSdtt17PTW6Zg"
1,1,2,0,3,0,1,4,0,4,-1,"gebiRewfieSdtt17PTW6Zg"
0,6,0,1,1,1,0,2,2,2,2,"gebiRewfieSdtt17PTW6Zg"
2,4,5,1,4,3,3,3,7,9,-1,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,7,0,0,7,1,12,10,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,1,0,2,1,1,0,"gebiRewfieSdtt17PTW6Zg"
1,5,2,2,5,2,1,3,3,8,4,"gebiRewfieSdtt17PTW6Zg"
1,6,3,0,5,1,2,5,5,10,1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,1,1,0,"gebiRewfieSdtt17PTW6Zg"
1,0,1,2,0,2,0,0,4,0,-2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,1,2,0,1,0,0,1,4,2,-3,"gebiRewfieSdtt17PTW6Zg"
2,7,3,3,5,2,3,5,4,7,-2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,1,2,0,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,1,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,3,1,0,2,3,6,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,0,1,3,0,7,5,"gebiRewfieSdtt17PTW6Zg"
2,2,5,4,0,2,2,1,9,2,-3,"gebiRewfieSdtt17PTW6Zg"
8,14,5,10,13,5,10,11,19,19,-6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,1,2,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,2,0,3,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,1,0,3,-1,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,0,1,0,0,2,3,-2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,1,2,2,4,-1,"gebiRewfieSdtt17PTW6Zg"
2,2,1,2,2,1,1,2,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,0,1,2,3,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,1,1,2,4,2,9,7,"gebiRewfieSdtt17PTW6Zg"
2,3,2,2,0,2,0,1,2,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,1,0,0,1,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,0,3,1,4,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,0,3,2,4,0,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,3,0,1,6,2,9,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
2,1,4,2,2,3,1,2,6,6,-4,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,7,0,2,8,0,15,12,"gebiRewfieSdtt17PTW6Zg"
2,2,0,1,1,1,0,1,3,2,-1,"gebiRewfieSdtt17PTW6Zg"
3,1,2,2,1,3,0,3,3,3,-2,"gebiRewfieSdtt17PTW6Zg"
1,7,2,1,6,1,3,5,4,10,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,0,1,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,3,2,2,3,2,6,5,"gebiRewfieSdtt17PTW6Zg"
1,0,2,2,0,1,0,1,2,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,0,"gebiRewfieSdtt17PTW6Zg"
