"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,4,0,0,3,2,1,3,2,4,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,7,1,1,6,1,8,7,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,0,1,2,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,1,0,0,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,0,1,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,4,0,5,6,"gebiRewfieSdtt17PTW6Zg"
0,4,1,1,2,1,2,3,1,7,3,"gebiRewfieSdtt17PTW6Zg"
2,2,0,1,5,1,1,6,2,8,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,2,2,1,6,6,"gebiRewfieSdtt17PTW6Zg"
2,3,1,1,3,2,1,2,7,7,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,0,2,0,1,2,0,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,3,2,0,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,1,3,0,6,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,1,2,6,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,2,0,5,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,1,2,1,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,2,1,0,2,1,2,0,"gebiRewfieSdtt17PTW6Zg"
3,0,0,2,1,0,0,0,4,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,3,0,8,9,"gebiRewfieSdtt17PTW6Zg"
2,3,3,3,7,2,1,8,5,12,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,2,4,1,6,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,1,0,0,1,0,0,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,3,0,2,3,0,7,7,"gebiRewfieSdtt17PTW6Zg"
1,5,0,1,4,1,2,6,1,5,9,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,1,2,4,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,2,0,2,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,1,0,1,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
3,3,0,3,5,3,3,4,6,11,6,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,2,2,5,1,5,5,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,6,2,2,3,2,6,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,0,"gebiRewfieSdtt17PTW6Zg"
3,5,1,2,5,4,1,5,5,7,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,5,1,9,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,2,1,2,3,1,1,4,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
1,3,0,2,4,0,1,5,1,6,1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,3,3,0,5,5,6,7,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,0,1,2,0,5,3,"gebiRewfieSdtt17PTW6Zg"
1,7,0,0,9,0,1,7,0,12,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
3,8,4,4,5,3,2,4,4,5,-3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,0,1,2,1,8,7,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,1,2,3,2,5,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,1,0,3,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,3,3,1,2,4,1,8,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,0,1,0,0,1,0,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,2,1,1,0,1,4,1,"gebiRewfieSdtt17PTW6Zg"
1,4,1,3,4,2,3,5,3,9,2,"gebiRewfieSdtt17PTW6Zg"
5,9,2,4,10,4,5,11,7,15,10,"gebiRewfieSdtt17PTW6Zg"
2,5,2,2,4,3,2,7,7,11,-3,"gebiRewfieSdtt17PTW6Zg"
2,4,2,1,3,2,0,4,7,6,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,0,2,1,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
2,2,2,0,2,1,1,2,2,2,0,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,1,0,1,1,2,3,3,"gebiRewfieSdtt17PTW6Zg"
6,10,4,5,7,5,6,7,10,14,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,0,1,0,0,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,0,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,1,1,0,0,1,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,1,0,0,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,5,2,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,4,0,0,3,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,2,1,0,0,2,4,3,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,4,1,0,4,5,5,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,1,0,1,2,3,2,"gebiRewfieSdtt17PTW6Zg"
2,6,1,1,9,1,2,9,4,14,16,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,4,1,3,2,2,4,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
2,3,2,4,2,2,1,2,2,3,2,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,2,1,0,2,2,2,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,1,0,1,1,3,0,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,0,0,2,1,1,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,0,3,2,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,1,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,3,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,4,1,2,4,1,7,6,"gebiRewfieSdtt17PTW6Zg"
2,3,2,1,4,2,1,3,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,4,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,3,1,3,4,2,7,1,5,8,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,2,6,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,1,0,2,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,0,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,5,3,2,6,4,8,12,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,6,2,3,8,6,11,9,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,2,0,6,5,"gebiRewfieSdtt17PTW6Zg"
2,3,1,1,6,2,2,6,3,11,2,"gebiRewfieSdtt17PTW6Zg"
2,5,4,3,5,2,1,6,7,10,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,4,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,1,1,0,3,0,"gebiRewfieSdtt17PTW6Zg"
3,3,1,1,0,1,1,1,4,2,-3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,2,0,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,7,0,2,7,0,10,4,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,3,2,1,4,2,7,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,1,0,6,1,7,7,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,0,1,3,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,0,2,1,"gebiRewfieSdtt17PTW6Zg"
4,3,2,4,5,4,1,4,5,9,4,"gebiRewfieSdtt17PTW6Zg"
2,3,2,1,3,3,3,2,8,6,-4,"gebiRewfieSdtt17PTW6Zg"
