"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,1,0,1,0,1,1,0,0,"gebiRewfieSdtt17PTW6Zg"
2,7,0,0,7,0,3,7,2,11,11,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,2,2,2,4,7,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,0,3,7,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,0,1,0,1,3,6,"gebiRewfieSdtt17PTW6Zg"
2,6,1,2,5,0,3,5,3,8,9,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,3,2,8,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,6,1,1,6,4,8,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,0,5,7,"gebiRewfieSdtt17PTW6Zg"
1,6,0,2,6,0,4,5,4,9,11,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,6,0,1,4,3,9,9,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,1,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
