"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,2,0,1,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,0,0,1,3,1,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,1,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,4,2,1,4,1,1,3,4,6,3,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,5,0,0,7,0,10,7,"gebiRewfieSdtt17PTW6Zg"
0,6,0,1,5,1,3,7,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,7,2,0,5,1,10,10,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,1,3,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,1,0,6,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,3,1,5,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,1,1,3,0,6,7,"gebiRewfieSdtt17PTW6Zg"
1,8,0,1,10,2,2,10,3,17,16,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,3,0,1,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,0,0,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
4,4,1,7,4,4,4,5,8,9,12,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,0,2,3,1,6,7,"gebiRewfieSdtt17PTW6Zg"
1,5,1,0,5,1,3,5,2,9,12,"gebiRewfieSdtt17PTW6Zg"
