"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,0,0,0,1,0,4,2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,3,0,0,2,1,3,10,"gebiRewfieSdtt17PTW6Zg"
0,2,1,1,1,0,1,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,1,0,0,1,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
7,11,6,12,6,9,4,6,23,13,-9,"gebiRewfieSdtt17PTW6Zg"
1,9,2,2,7,3,4,9,7,19,6,"gebiRewfieSdtt17PTW6Zg"
0,1,1,2,1,0,0,2,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,2,1,4,8,"gebiRewfieSdtt17PTW6Zg"
2,7,0,2,7,1,2,7,2,12,9,"gebiRewfieSdtt17PTW6Zg"
6,8,5,3,3,3,2,3,11,5,-3,"gebiRewfieSdtt17PTW6Zg"
0,6,0,3,8,3,2,9,2,13,8,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,5,0,2,3,0,7,1,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,7,0,2,6,0,9,12,"gebiRewfieSdtt17PTW6Zg"
4,5,2,3,4,3,5,4,5,10,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,0,0,1,0,1,0,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,2,1,4,0,"gebiRewfieSdtt17PTW6Zg"
1,5,0,1,5,0,3,4,1,6,9,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,1,1,2,2,3,2,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,5,2,3,3,1,7,6,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,3,0,0,3,1,5,5,"gebiRewfieSdtt17PTW6Zg"
3,3,4,4,2,4,2,1,8,5,-5,"gebiRewfieSdtt17PTW6Zg"
2,4,3,3,5,2,4,5,3,7,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,0,1,0,0,1,1,1,"gebiRewfieSdtt17PTW6Zg"
