"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,6,0,0,4,1,1,6,2,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,5,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,1,3,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,5,1,0,3,1,5,5,"gebiRewfieSdtt17PTW6Zg"
2,2,2,0,2,1,0,1,2,3,2,"gebiRewfieSdtt17PTW6Zg"
1,4,1,0,6,1,1,6,1,8,10,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,1,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,0,1,4,0,5,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,1,2,2,1,2,4,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,3,0,1,4,0,6,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,0,2,0,5,5,"gebiRewfieSdtt17PTW6Zg"
3,4,0,2,4,0,2,3,6,10,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,5,2,1,7,1,2,6,1,9,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,1,0,0,3,0,3,4,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,3,0,1,3,0,5,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,1,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,1,3,0,8,6,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,1,1,1,1,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,0,1,0,1,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,1,0,4,2,5,11,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,1,1,1,1,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,1,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,0,2,1,5,7,"gebiRewfieSdtt17PTW6Zg"
3,8,1,3,8,6,2,10,11,19,16,"gebiRewfieSdtt17PTW6Zg"
3,10,0,3,5,3,4,8,9,18,16,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,0,0,0,1,2,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,5,0,0,6,2,3,7,2,9,3,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,6,0,1,6,1,9,11,"gebiRewfieSdtt17PTW6Zg"
3,2,3,2,2,2,1,3,4,5,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
3,6,2,2,1,2,1,2,6,9,4,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,2,0,2,1,1,8,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
2,3,2,1,3,0,2,3,2,5,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,0,5,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,1,2,4,3,8,16,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,2,1,1,2,3,3,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,1,0,3,3,"gebiRewfieSdtt17PTW6Zg"
3,3,4,3,2,4,1,4,7,8,-2,"gebiRewfieSdtt17PTW6Zg"
3,5,2,4,6,5,2,8,8,11,7,"gebiRewfieSdtt17PTW6Zg"
1,3,1,3,2,2,2,2,4,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
1,4,0,1,2,2,3,2,4,4,5,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,2,0,0,3,1,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,1,1,1,0,2,1,1,"gebiRewfieSdtt17PTW6Zg"
4,8,4,4,6,3,3,8,10,14,11,"gebiRewfieSdtt17PTW6Zg"
2,2,1,3,3,1,0,3,5,4,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,1,2,4,3,8,16,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,3,0,5,4,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,3,0,1,3,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,2,1,3,2,5,-3,"gebiRewfieSdtt17PTW6Zg"
1,0,0,1,1,0,1,1,1,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,2,1,4,2,5,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,3,1,4,5,"gebiRewfieSdtt17PTW6Zg"
2,6,0,0,8,1,1,9,3,20,16,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,1,0,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,5,1,1,5,3,6,7,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,2,1,3,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,1,1,3,2,8,4,"gebiRewfieSdtt17PTW6Zg"
