"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,8,2,0,8,1,5,8,7,12,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,6,8,"gebiRewfieSdtt17PTW6Zg"
2,2,1,1,3,0,1,2,1,4,1,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,2,1,2,2,1,4,0,"gebiRewfieSdtt17PTW6Zg"
5,4,3,4,7,3,4,6,5,11,16,"gebiRewfieSdtt17PTW6Zg"
1,4,2,2,4,3,3,4,4,7,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,1,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,4,1,2,3,3,6,5,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,3,1,1,3,3,6,1,"gebiRewfieSdtt17PTW6Zg"
0,4,2,1,6,0,1,9,6,10,9,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,2,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,1,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
4,3,3,3,3,3,0,3,5,4,-1,"gebiRewfieSdtt17PTW6Zg"
2,1,1,2,3,2,0,3,2,5,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,3,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,1,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
2,1,2,2,1,3,1,1,7,2,-2,"gebiRewfieSdtt17PTW6Zg"
3,1,3,2,1,1,1,3,5,4,-7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,1,0,0,0,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,1,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,4,0,0,6,1,7,1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,1,0,2,2,4,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,1,2,2,3,4,4,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
5,5,4,5,3,4,4,4,11,6,-5,"gebiRewfieSdtt17PTW6Zg"
4,11,4,5,5,5,2,8,12,15,-4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,1,2,3,1,5,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,4,0,2,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,3,2,1,3,4,5,3,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,1,2,3,1,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,1,3,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,1,1,4,1,6,4,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,2,1,1,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,6,2,2,4,1,7,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,2,0,3,6,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,1,1,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,1,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,1,4,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,0,0,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,1,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,1,4,5,"gebiRewfieSdtt17PTW6Zg"
2,2,2,1,2,2,1,2,4,4,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,0,1,3,0,5,4,"gebiRewfieSdtt17PTW6Zg"
