"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,1,0,0,0,1,1,2,"gebiRewfieSdtt17PTW6Zg"
2,1,0,0,2,0,1,3,3,5,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
1,11,2,3,12,2,6,10,8,22,10,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,3,0,0,4,1,-5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,1,0,3,1,6,4,"gebiRewfieSdtt17PTW6Zg"
1,6,1,2,5,1,0,4,2,6,2,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,2,2,4,2,5,2,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,2,0,1,4,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,0,2,0,1,3,1,3,3,6,4,"gebiRewfieSdtt17PTW6Zg"
3,2,2,4,4,1,1,5,4,8,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,1,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,6,2,2,6,2,7,4,"gebiRewfieSdtt17PTW6Zg"
