"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,2,1,0,3,0,1,3,0,3,1,"gebiRewfieSdtt17PTW6Zg"
1,4,3,3,4,2,2,5,4,8,1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,2,0,1,3,0,3,-1,"gebiRewfieSdtt17PTW6Zg"
1,1,2,0,2,1,1,2,3,2,-2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,0,1,0,0,1,1,-2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,5,1,2,5,1,6,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,1,2,1,"gebiRewfieSdtt17PTW6Zg"
2,6,0,0,4,0,2,4,3,7,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,1,1,2,2,-1,"gebiRewfieSdtt17PTW6Zg"
1,3,3,2,1,1,1,3,2,2,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,1,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,2,1,0,3,4,5,2,"gebiRewfieSdtt17PTW6Zg"
