"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,1,2,0,2,1,3,5,3,5,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,0,1,1,1,5,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,1,"gebiRewfieSdtt17PTW6Zg"
2,9,0,0,6,0,2,8,1,15,15,"gebiRewfieSdtt17PTW6Zg"
3,7,3,3,8,4,3,9,4,11,11,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
2,0,0,1,1,2,0,2,3,5,-1,"gebiRewfieSdtt17PTW6Zg"
1,4,1,2,7,1,1,8,1,9,9,"gebiRewfieSdtt17PTW6Zg"
2,3,1,2,8,1,2,6,1,10,8,"gebiRewfieSdtt17PTW6Zg"
0,6,1,1,5,0,3,10,1,14,8,"gebiRewfieSdtt17PTW6Zg"
2,3,1,3,10,2,2,7,2,13,13,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,4,0,1,4,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,0,4,2,8,10,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,1,2,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,4,1,8,8,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,2,0,1,3,1,-3,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,1,1,-1,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,0,3,1,1,1,1,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,3,0,1,3,2,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
