"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
3,2,0,3,2,1,3,2,5,5,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,0,4,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,1,1,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,3,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,1,5,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,5,1,0,2,1,5,6,"gebiRewfieSdtt17PTW6Zg"
1,2,1,2,4,1,1,5,1,4,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,1,0,1,2,0,4,7,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,1,1,2,3,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,11,1,2,6,1,19,16,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,7,0,1,5,0,10,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,4,0,4,2,"gebiRewfieSdtt17PTW6Zg"
0,3,1,2,4,1,1,5,2,9,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,2,0,0,2,0,5,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,4,0,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,4,0,0,4,3,8,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,4,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,5,0,1,10,0,2,6,1,13,10,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,5,0,5,5,"gebiRewfieSdtt17PTW6Zg"
