"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
1,5,0,0,1,1,1,1,3,2,1,"gebiRewfieSdtt17PTW6Zg"
2,5,2,2,5,2,3,5,4,13,13,"gebiRewfieSdtt17PTW6Zg"
1,4,0,0,4,0,3,5,0,7,3,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,2,0,0,3,0,3,8,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,2,0,1,2,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
5,7,1,3,8,3,2,9,8,21,12,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,1,1,1,0,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,4,0,6,3,"gebiRewfieSdtt17PTW6Zg"
0,7,1,0,6,0,3,6,2,8,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,1,3,0,2,7,"gebiRewfieSdtt17PTW6Zg"
0,2,1,1,3,0,1,3,2,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,2,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
2,4,1,3,5,4,3,3,5,7,8,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,5,1,3,5,1,7,7,"gebiRewfieSdtt17PTW6Zg"
3,3,2,1,3,0,3,6,5,6,5,"gebiRewfieSdtt17PTW6Zg"
2,0,2,1,1,1,0,0,2,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
3,5,3,2,3,3,2,3,4,4,1,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,1,0,0,2,4,-2,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,0,0,1,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,0,3,5,"gebiRewfieSdtt17PTW6Zg"
1,1,2,3,4,1,1,3,1,5,6,"gebiRewfieSdtt17PTW6Zg"
2,4,1,2,4,1,2,3,5,5,-4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,3,0,0,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,1,2,7,"gebiRewfieSdtt17PTW6Zg"
2,1,2,1,1,1,0,1,3,1,0,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,0,0,1,0,2,2,5,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,4,1,1,6,1,8,4,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,1,0,1,2,1,4,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,0,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,3,1,3,2,1,1,3,3,3,5,"gebiRewfieSdtt17PTW6Zg"
2,1,0,1,1,0,1,1,2,1,3,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,1,1,1,2,3,0,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,5,2,3,6,2,8,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,4,0,2,4,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,5,6,"gebiRewfieSdtt17PTW6Zg"
0,7,0,1,5,1,3,5,1,8,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,1,0,3,1,0,2,1,3,6,"gebiRewfieSdtt17PTW6Zg"
0,4,0,2,6,0,1,3,0,6,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,3,1,2,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,1,2,1,1,5,2,2,"gebiRewfieSdtt17PTW6Zg"
2,7,1,2,8,1,3,5,3,11,3,"gebiRewfieSdtt17PTW6Zg"
0,6,1,0,4,1,3,5,2,7,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
2,4,0,1,1,1,2,3,2,3,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,1,0,5,6,"gebiRewfieSdtt17PTW6Zg"
