"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,4,1,0,1,1,1,2,1,6,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,1,1,0,0,2,3,2,"gebiRewfieSdtt17PTW6Zg"
0,3,1,0,4,0,3,6,1,10,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,1,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,3,5,"gebiRewfieSdtt17PTW6Zg"
1,4,1,2,1,1,0,1,1,2,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,2,4,0,8,6,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,3,0,3,6,1,7,5,"gebiRewfieSdtt17PTW6Zg"
3,5,5,3,5,4,3,7,5,11,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,0,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,3,3,"gebiRewfieSdtt17PTW6Zg"
3,7,2,3,5,2,3,9,8,13,9,"gebiRewfieSdtt17PTW6Zg"
3,6,1,2,6,1,2,6,3,8,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,1,0,3,2,5,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,1,1,1,2,2,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,0,0,0,0,0,0,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,1,4,7,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,3,0,5,7,"gebiRewfieSdtt17PTW6Zg"
6,3,3,4,4,6,3,6,12,7,-5,"gebiRewfieSdtt17PTW6Zg"
2,1,3,1,3,1,1,4,5,5,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
2,3,0,0,5,0,1,3,4,8,2,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,5,0,1,5,2,8,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,1,0,-1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,1,0,1,1,2,2,2,"gebiRewfieSdtt17PTW6Zg"
