"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,2,0,0,3,1,0,4,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,0,0,0,3,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,5,1,0,4,2,5,8,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,1,2,1,2,1,7,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,2,2,1,0,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,1,2,3,3,5,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,1,"gebiRewfieSdtt17PTW6Zg"
0,6,0,0,10,2,3,11,4,19,10,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,0,5,0,9,11,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,2,0,0,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,7,1,2,8,1,11,8,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,2,0,2,2,3,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,3,0,1,3,1,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,1,3,0,3,4,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,4,1,0,4,1,6,6,"gebiRewfieSdtt17PTW6Zg"
2,1,0,1,2,1,0,1,4,3,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,2,3,0,0,1,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,0,1,3,0,8,3,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,3,1,1,3,3,5,-1,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,2,1,0,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,0,1,4,0,5,6,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,5,1,2,3,3,5,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,1,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,6,0,2,4,0,8,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
1,3,0,1,3,1,1,3,1,4,2,"gebiRewfieSdtt17PTW6Zg"
2,6,1,0,2,2,0,5,4,6,7,"gebiRewfieSdtt17PTW6Zg"
0,1,1,1,1,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,2,2,1,2,2,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,2,2,"gebiRewfieSdtt17PTW6Zg"
1,1,0,2,1,1,1,1,2,2,1,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,4,0,1,3,0,6,6,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,4,2,2,2,2,6,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,6,0,1,6,1,7,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,5,2,0,4,1,7,6,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,1,2,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,2,0,1,2,0,4,6,"gebiRewfieSdtt17PTW6Zg"
2,0,2,1,4,3,1,2,3,6,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,5,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,0,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,4,1,1,3,2,5,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,1,0,3,2,6,6,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,4,1,1,9,1,9,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,3,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,1,1,1,1,2,1,0,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,2,4,0,5,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,1,2,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,4,0,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,1,2,2,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,0,0,0,1,3,2,"gebiRewfieSdtt17PTW6Zg"
1,0,0,2,0,1,0,0,1,5,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,4,1,0,5,0,6,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,8,0,1,5,2,9,5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,5,1,2,3,3,5,5,"gebiRewfieSdtt17PTW6Zg"
0,1,1,0,1,0,0,2,1,1,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,0,0,2,0,4,6,"gebiRewfieSdtt17PTW6Zg"
1,0,3,2,2,0,0,1,2,6,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,1,4,0,5,5,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,1,1,0,3,1,4,1,"gebiRewfieSdtt17PTW6Zg"
0,4,1,2,3,0,3,3,1,5,4,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,2,0,1,2,1,4,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,0,2,1,1,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,3,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,3,2,1,2,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,1,2,1,1,1,1,4,0,"gebiRewfieSdtt17PTW6Zg"
1,6,2,3,8,3,3,8,6,13,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,1,3,0,10,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,3,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,3,0,5,7,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
