"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,2,0,1,2,0,3,1,"gebiRewfieSdtt17PTW6Zg"
1,7,0,1,9,0,2,7,1,16,7,"gebiRewfieSdtt17PTW6Zg"
1,2,3,1,2,0,0,2,3,3,-3,"gebiRewfieSdtt17PTW6Zg"
2,0,0,1,1,1,1,1,2,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,1,1,4,1,5,2,"gebiRewfieSdtt17PTW6Zg"
2,4,2,4,6,2,2,7,3,10,1,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,2,0,0,1,1,4,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,6,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,5,0,2,3,1,6,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,0,"gebiRewfieSdtt17PTW6Zg"
0,0,1,0,2,1,1,2,2,5,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,1,3,0,7,6,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,0,0,0,1,2,0,"gebiRewfieSdtt17PTW6Zg"
1,1,0,0,2,0,0,1,1,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,1,0,0,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
3,1,2,1,2,3,0,4,7,6,2,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,4,0,4,7,4,9,2,"gebiRewfieSdtt17PTW6Zg"
3,1,1,1,1,1,1,1,4,2,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,0,4,0,5,6,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,1,1,2,1,2,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,2,1,0,"gebiRewfieSdtt17PTW6Zg"
4,1,3,1,2,3,1,2,8,6,-2,"gebiRewfieSdtt17PTW6Zg"
2,3,2,2,4,1,2,4,2,4,1,"gebiRewfieSdtt17PTW6Zg"
1,3,1,4,3,2,1,3,4,8,3,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,0,1,0,1,3,1,-1,"gebiRewfieSdtt17PTW6Zg"
