,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",35.0,0.026555386949924126,"('pretty', 'good')",6.0,0.004555808656036446,"('exton', 'roll', 'white')",2,0.001519756838905775
1,"('great',)",18.0,0.013657056145675266,"('first', 'time')",5.0,0.0037965072133637054,"('roll', 'white', 'tuna')",2,0.001519756838905775
2,"('chicken',)",16.0,0.012139605462822459,"('really', 'good')",4.0,0.0030372057706909645,"('eat', 'orange', 'chicken')",2,0.001519756838905775
3,"('roll',)",14.0,0.010622154779969651,"('orange', 'chicken')",4.0,0.0030372057706909645,"('went', 'first', 'time')",2,0.001519756838905775
4,"('restaurant',)",13.0,0.009863429438543247,"('reasonably', 'priced')",4.0,0.0030372057706909645,"('asian', 'exton', 'area')",2,0.001519756838905775
5,"('always',)",13.0,0.009863429438543247,"('fried', 'rice')",4.0,0.0030372057706909645,"('good', 'size', 'pieces')",2,0.001519756838905775
6,"('menu',)",12.0,0.009104704097116844,"('exton', 'area')",3.0,0.002277904328018223,"('staff', 'always', 'friendly')",2,0.001519756838905775
7,"('service',)",12.0,0.009104704097116844,"('go', 'back')",3.0,0.002277904328018223,"('definitely', 'hidden', 'gem')",2,0.001519756838905775
8,"('pretty',)",11.0,0.00834597875569044,"('z', 'wei')",3.0,0.002277904328018223,"('husband', 'love', 'outstanding')",1,0.0007598784194528875
9,"('chinese',)",11.0,0.00834597875569044,"('lunch', 'specials')",3.0,0.002277904328018223,"('worried', 'might', 'good')",1,0.0007598784194528875
10,"('go',)",10.0,0.007587253414264037,"('exton', 'roll')",3.0,0.002277904328018223,"('roll', 'yum', 'chicken')",1,0.0007598784194528875
11,"('shrimp',)",9.0,0.006828528072837633,"('eat', 'orange')",2.0,0.0015186028853454822,"('shrimp', 'roll', 'yum')",1,0.0007598784194528875
12,"('exton',)",9.0,0.006828528072837633,"('went', 'first')",2.0,0.0015186028853454822,"('good', 'shrimp', 'roll')",1,0.0007598784194528875
13,"('time',)",9.0,0.006828528072837633,"('potato', 'chip')",2.0,0.0015186028853454822,"('might', 'good', 'shrimp')",1,0.0007598784194528875
14,"('definitely',)",9.0,0.006828528072837633,"('young', 'boys')",2.0,0.0015186028853454822,"('cute', 'quiet', 'immediately')",1,0.0007598784194528875
15,"('also',)",9.0,0.006828528072837633,"('red', 'curry')",2.0,0.0015186028853454822,"('immediately', 'worried', 'might')",1,0.0007598784194528875
16,"('nice',)",8.0,0.006069802731411229,"('asian', 'exton')",2.0,0.0015186028853454822,"('quiet', 'immediately', 'worried')",1,0.0007598784194528875
17,"('ive',)",8.0,0.006069802731411229,"('roll', 'im')",2.0,0.0015186028853454822,"('chicken', 'corn', 'soup')",1,0.0007598784194528875
18,"('like',)",8.0,0.006069802731411229,"('back', 'soon')",2.0,0.0015186028853454822,"('atmosphere', 'cute', 'quiet')",1,0.0007598784194528875
19,"('get',)",8.0,0.006069802731411229,"('sour', 'soup')",2.0,0.0015186028853454822,"('spots', 'atmosphere', 'cute')",1,0.0007598784194528875
20,"('eat',)",7.0,0.005311077389984826,"('spicy', 'tuna')",2.0,0.0015186028853454822,"('regular', 'spots', 'atmosphere')",1,0.0007598784194528875
21,"('price',)",7.0,0.005311077389984826,"('chinese', 'good')",2.0,0.0015186028853454822,"('will', 'regular', 'spots')",1,0.0007598784194528875
22,"('dishes',)",7.0,0.005311077389984826,"('something', 'everyone')",2.0,0.0015186028853454822,"('company', 'will', 'regular')",1,0.0007598784194528875
23,"('lunch',)",7.0,0.005311077389984826,"('bbq', 'ribs')",2.0,0.0015186028853454822,"('bring', 'company', 'will')",1,0.0007598784194528875
24,"('love',)",7.0,0.005311077389984826,"('pad', 'thai')",2.0,0.0015186028853454822,"('yum', 'chicken', 'corn')",1,0.0007598784194528875
25,"('really',)",7.0,0.005311077389984826,"('good', 'size')",2.0,0.0015186028853454822,"('expecting', 'yummy', 'several')",1,0.0007598784194528875
26,"('excellent',)",7.0,0.005311077389984826,"('free', 'bite')",2.0,0.0015186028853454822,"('corn', 'soup', 'expecting')",1,0.0007598784194528875
27,"('favorite',)",7.0,0.005311077389984826,"('bad', 'experience')",2.0,0.0015186028853454822,"('restaurants', 'perhaps', 'lack')",1,0.0007598784194528875
28,"('try',)",7.0,0.005311077389984826,"('black', 'pepper')",2.0,0.0015186028853454822,"('restaurant', 'cheaper', 'mostoverall')",1,0.0007598784194528875
29,"('going',)",6.0,0.004552352048558422,"('size', 'pieces')",2.0,0.0015186028853454822,"('price', 'restaurant', 'cheaper')",1,0.0007598784194528875
30,"('staff',)",6.0,0.004552352048558422,"('mongolian', 'beef')",2.0,0.0015186028853454822,"('thing', 'price', 'restaurant')",1,0.0007598784194528875
