,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('service',)",33.0,0.010076335877862596,"('noah', 'grants')",12.0,0.0036652412950519244,"('never', 'came', 'back')",4,0.0012221203788573174
1,"('us',)",29.0,0.008854961832061069,"('first', 'time')",6.0,0.0018326206475259622,"('pet', 'peeve', 'restaurant')",4,0.0012221203788573174
2,"('restaurant',)",28.0,0.008549618320610687,"('crab', 'legs')",6.0,0.0018326206475259622,"('biggest', 'pet', 'peeve')",4,0.0012221203788573174
3,"('get',)",26.0,0.007938931297709924,"('never', 'came')",5.0,0.0015271838729383018,"('server', 'never', 'came')",3,0.0009165902841429881
4,"('even',)",23.0,0.007022900763358778,"('happy', 'hour')",5.0,0.0015271838729383018,"('never', 'go', 'back')",3,0.0009165902841429881
5,"('good',)",23.0,0.007022900763358778,"('came', 'back')",5.0,0.0015271838729383018,"('will', 'never', 'go')",3,0.0009165902841429881
6,"('go',)",22.0,0.006717557251908397,"('steak', 'sauce')",4.0,0.0012217470983506415,"('spoke', 'manager', 'offered')",2,0.0006110601894286587
7,"('back',)",22.0,0.006717557251908397,"('peeve', 'restaurant')",4.0,0.0012217470983506415,"('manager', 'offered', 'us')",2,0.0006110601894286587
8,"('server',)",21.0,0.006412213740458015,"('wont', 'back')",4.0,0.0012217470983506415,"('offered', 'us', 'gift')",2,0.0006110601894286587
9,"('got',)",21.0,0.006412213740458015,"('im', 'mad')",4.0,0.0012217470983506415,"('us', 'gift', 'card')",2,0.0006110601894286587
10,"('time',)",20.0,0.0061068702290076335,"('pet', 'peeve')",4.0,0.0012217470983506415,"('response', 'called', 'spoke')",2,0.0006110601894286587
11,"('dont',)",20.0,0.0061068702290076335,"('go', 'back')",4.0,0.0012217470983506415,"('gift', 'card', 'never')",2,0.0006110601894286587
12,"('like',)",19.0,0.005801526717557252,"('10', 'minutes')",4.0,0.0012217470983506415,"('card', 'never', 'received')",2,0.0006110601894286587
13,"('never',)",18.0,0.00549618320610687,"('oysters', 'rockefeller')",4.0,0.0012217470983506415,"('never', 'received', 'can')",2,0.0006110601894286587
14,"('came',)",18.0,0.00549618320610687,"('will', 'never')",4.0,0.0012217470983506415,"('received', 'can', 'handle')",2,0.0006110601894286587
15,"('didnt',)",18.0,0.00549618320610687,"('biggest', 'pet')",4.0,0.0012217470983506415,"('can', 'handle', 'bad')",2,0.0006110601894286587
16,"('bar',)",17.0,0.005190839694656489,"('gift', 'card')",3.0,0.0009163103237629811,"('handle', 'bad', 'meal')",2,0.0006110601894286587
17,"('oysters',)",17.0,0.005190839694656489,"('offered', 'us')",3.0,0.0009163103237629811,"('called', 'spoke', 'manager')",2,0.0006110601894286587
18,"('fish',)",17.0,0.005190839694656489,"('noahs', 'monster')",3.0,0.0009163103237629811,"('dont', 'mind', 'paying')",2,0.0006110601894286587
19,"('table',)",17.0,0.005190839694656489,"('spider', 'roll')",3.0,0.0009163103237629811,"('meal', 'every', 'now')",2,0.0006110601894286587
20,"('can',)",16.0,0.004885496183206107,"('end', 'meal')",3.0,0.0009163103237629811,"('110', 'alcohol', 'desserts')",2,0.0006110601894286587
21,"('seafood',)",15.0,0.004580152671755725,"('never', 'go')",3.0,0.0009163103237629811,"('offered', 'anything', 'else')",2,0.0006110601894286587
22,"('will',)",14.0,0.004274809160305344,"('dont', 'know')",3.0,0.0009163103237629811,"('anything', 'else', 'compensated')",2,0.0006110601894286587
23,"('first',)",14.0,0.004274809160305344,"('can', 'get')",3.0,0.0009163103237629811,"('else', 'compensated', 'way')",2,0.0006110601894286587
24,"('sauce',)",14.0,0.004274809160305344,"('server', 'never')",3.0,0.0009163103237629811,"('compensated', 'way', 'spent')",2,0.0006110601894286587
25,"('ordered',)",14.0,0.004274809160305344,"('anything', 'else')",3.0,0.0009163103237629811,"('way', 'spent', '110')",2,0.0006110601894286587
26,"('said',)",13.0,0.003969465648854962,"('seafood', 'pasta')",3.0,0.0009163103237629811,"('spent', '110', 'alcohol')",2,0.0006110601894286587
27,"('grants',)",13.0,0.003969465648854962,"('special', 'occasions')",3.0,0.0009163103237629811,"('alcohol', 'desserts', 'left')",2,0.0006110601894286587
28,"('meal',)",13.0,0.003969465648854962,"('quality', 'oysters')",3.0,0.0009163103237629811,"('owner', 'response', 'called')",2,0.0006110601894286587
29,"('bad',)",13.0,0.003969465648854962,"('waste', 'time')",3.0,0.0009163103237629811,"('desserts', 'left', 'hungry')",2,0.0006110601894286587
30,"('wait',)",13.0,0.003969465648854962,"('great', 'service')",3.0,0.0009163103237629811,"('left', 'hungry', 'pretty')",2,0.0006110601894286587
31,"('went',)",12.0,0.00366412213740458,"('can', 'go')",3.0,0.0009163103237629811,"('hungry', 'pretty', 'upset')",2,0.0006110601894286587
32,"('noah',)",12.0,0.00366412213740458,"('couldnt', 'wait')",3.0,0.0009163103237629811,"('pretty', 'upset', 'emailed')",2,0.0006110601894286587
33,"('steak',)",12.0,0.00366412213740458,"('friends', 'family')",3.0,0.0009163103237629811,"('upset', 'emailed', 'owner')",2,0.0006110601894286587
34,"('great',)",12.0,0.00366412213740458,"('doesnt', 'give')",3.0,0.0009163103237629811,"('emailed', 'owner', 'response')",2,0.0006110601894286587
35,"('experience',)",12.0,0.00366412213740458,"('upset', 'emailed')",2.0,0.0006108735491753207,"('bad', 'meal', 'every')",2,0.0006110601894286587
36,"('asked',)",12.0,0.00366412213740458,"('us', 'gift')",2.0,0.0006108735491753207,"('cant', 'handle', 'lack')",2,0.0006110601894286587
37,"('another',)",11.0,0.0033587786259541984,"('go', 'husbands')",2.0,0.0006108735491753207,"('every', 'now', 'cant')",2,0.0006110601894286587
