,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",15.0,0.013077593722755012,"('new', 'spot')",5.0,0.004363001745200698,"('will', 'coming', 'back')",3,0.0026200873362445414
1,"('lunch',)",14.0,0.012205754141238012,"('crab', 'fajita')",4.0,0.0034904013961605585,"('blue', 'crab', 'fajita')",2,0.0017467248908296944
2,"('fresh',)",13.0,0.011333914559721011,"('blue', 'crab')",4.0,0.0034904013961605585,"('decided', 'give', 'try')",2,0.0017467248908296944
3,"('well',)",12.0,0.010462074978204011,"('coming', 'back')",4.0,0.0034904013961605585,"('try', 'new', 'spot')",2,0.0017467248908296944
4,"('great',)",12.0,0.010462074978204011,"('old', 'city')",4.0,0.0034904013961605585,"('new', 'spot', 'opened')",2,0.0017467248908296944
5,"('amazing',)",11.0,0.00959023539668701,"('will', 'definitely')",3.0,0.002617801047120419,"('get', 'crab', 'fajita')",2,0.0017467248908296944
6,"('back',)",11.0,0.00959023539668701,"('will', 'coming')",3.0,0.002617801047120419,"('unfamiliar', 'philadelphia', 'area')",1,0.0008733624454148472
7,"('everything',)",11.0,0.00959023539668701,"('duck', 'wrap')",3.0,0.002617801047120419,"('get', 'appetizer', 'main')",1,0.0008733624454148472
8,"('spot',)",11.0,0.00959023539668701,"('try', 'new')",2.0,0.0017452006980802793,"('32', 'including', 'tax')",1,0.0008733624454148472
9,"('definitely',)",11.0,0.00959023539668701,"('super', 'fresh')",2.0,0.0017452006980802793,"('ok', '32', 'including')",1,0.0008733624454148472
10,"('new',)",11.0,0.00959023539668701,"('ill', 'back')",2.0,0.0017452006980802793,"('main', 'ok', '32')",1,0.0008733624454148472
11,"('will',)",10.0,0.008718395815170008,"('spot', 'opened')",2.0,0.0017452006980802793,"('appetizer', 'main', 'ok')",1,0.0008733624454148472
12,"('service',)",10.0,0.008718395815170008,"('decided', 'give')",2.0,0.0017452006980802793,"('expensive', 'side', 'get')",1,0.0008733624454148472
13,"('try',)",9.0,0.007846556233653008,"('give', 'try')",2.0,0.0017452006980802793,"('side', 'get', 'appetizer')",1,0.0008733624454148472
14,"('menu',)",8.0,0.006974716652136007,"('will', 'back')",2.0,0.0017452006980802793,"('tax', 'tip', 'drink')",1,0.0008733624454148472
15,"('also',)",8.0,0.006974716652136007,"('well', 'designed')",2.0,0.0017452006980802793,"('omakase', 'expensive', 'side')",1,0.0008733624454148472
16,"('ikki',)",8.0,0.006974716652136007,"('everything', 'tasted')",2.0,0.0017452006980802793,"('mean', 'omakase', 'expensive')",1,0.0008733624454148472
17,"('roll',)",8.0,0.006974716652136007,"('menu', 'including')",2.0,0.0017452006980802793,"('surprise', 'mean', 'omakase')",1,0.0008733624454148472
18,"('restaurant',)",8.0,0.006974716652136007,"('back', 'soon')",2.0,0.0017452006980802793,"('say', 'surprise', 'mean')",1,0.0008733624454148472
19,"('delicious',)",8.0,0.006974716652136007,"('first', 'time')",2.0,0.0017452006980802793,"('cash', 'say', 'surprise')",1,0.0008733624454148472
20,"('got',)",8.0,0.006974716652136007,"('looks', 'like')",2.0,0.0017452006980802793,"('including', 'tax', 'tip')",1,0.0008733624454148472
21,"('really',)",7.0,0.006102877070619006,"('addition', 'neighborhood')",2.0,0.0017452006980802793,"('drink', 'except', 'tap')",1,0.0008733624454148472
22,"('pretty',)",7.0,0.006102877070619006,"('highly', 'recommend')",2.0,0.0017452006980802793,"('tip', 'drink', 'except')",1,0.0008733624454148472
23,"('like',)",7.0,0.006102877070619006,"('recommend', 'checking')",2.0,0.0017452006980802793,"('definitely', 'good', 'like')",1,0.0008733624454148472
24,"('special',)",7.0,0.006102877070619006,"('crispy', 'calamari')",2.0,0.0017452006980802793,"('catching', 'friend', 'got')",1,0.0008733624454148472
25,"('bar',)",7.0,0.006102877070619006,"('really', 'good')",2.0,0.0017452006980802793,"('spot', 'catching', 'friend')",1,0.0008733624454148472
26,"('attentive',)",6.0,0.0052310374891020054,"('fresh', 'delicious')",2.0,0.0017452006980802793,"('time', 'spot', 'catching')",1,0.0008733624454148472
27,"('friendly',)",6.0,0.0052310374891020054,"('city', 'decided')",2.0,0.0017452006980802793,"('lunch', 'time', 'spot')",1,0.0008733624454148472
28,"('coming',)",6.0,0.0052310374891020054,"('decided', 'check')",2.0,0.0017452006980802793,"('like', 'lunch', 'time')",1,0.0008733624454148472
29,"('crab',)",6.0,0.0052310374891020054,"('full', 'bar')",2.0,0.0017452006980802793,"('good', 'like', 'lunch')",1,0.0008733624454148472
30,"('sashimi',)",6.0,0.0052310374891020054,"('friendly', 'attentive')",2.0,0.0017452006980802793,"('affordable', 'definitely', 'good')",1,0.0008733624454148472
31,"('nice',)",6.0,0.0052310374891020054,"('ikki', 'special')",2.0,0.0017452006980802793,"('come', 'drop', 'cash')",1,0.0008733624454148472
32,"('get',)",6.0,0.0052310374891020054,"('everything', 'delicious')",2.0,0.0017452006980802793,"('quality', 'affordable', 'definitely')",1,0.0008733624454148472
33,"('time',)",6.0,0.0052310374891020054,"('us', 'see')",2.0,0.0017452006980802793,"('good', 'quality', 'affordable')",1,0.0008733624454148472
34,"('best',)",5.0,0.004359197907585004,"('get', 'crab')",2.0,0.0017452006980802793,"('super', 'good', 'quality')",1,0.0008733624454148472
35,"('clean',)",5.0,0.004359197907585004,"('spot', 'youre')",2.0,0.0017452006980802793,"('water', 'super', 'good')",1,0.0008733624454148472
36,"('id',)",5.0,0.004359197907585004,"('restaurant', 'decor')",2.0,0.0017452006980802793,"('tap', 'water', 'super')",1,0.0008733624454148472
37,"('opened',)",5.0,0.004359197907585004,"('attentive', 'helpful')",2.0,0.0017452006980802793,"('except', 'tap', 'water')",1,0.0008733624454148472
38,"('duck',)",5.0,0.004359197907585004,"('date', 'night')",2.0,0.0017452006980802793,"('drop', 'cash', 'say')",1,0.0008733624454148472
39,"('small',)",5.0,0.004359197907585004,"('neighborhood', 'ikki')",2.0,0.0017452006980802793,"('menu', 'id', 'like')",1,0.0008733624454148472
40,"('city',)",5.0,0.004359197907585004,"('lunch', 'special')",2.0,0.0017452006980802793,"('like', 'come', 'drop')",1,0.0008733624454148472
41,"('made',)",5.0,0.004359197907585004,"('new', 'restaurant')",2.0,0.0017452006980802793,"('im', 'solo', 'lunch')",1,0.0008733624454148472
42,"('came',)",5.0,0.004359197907585004,"('roll', 'amazing')",2.0,0.0017452006980802793,"('cube', 'inside', 'effect')",1,0.0008733624454148472
43,"('see',)",5.0,0.004359197907585004,"('server', 'attentive')",2.0,0.0017452006980802793,"('inside', 'effect', 'rather')",1,0.0008733624454148472
44,"('decided',)",5.0,0.004359197907585004,"('good', 'nice')",2.0,0.0017452006980802793,"('effect', 'rather', 'cool')",1,0.0008733624454148472
45,"('decor',)",5.0,0.004359197907585004,"('omakase', 'expensive')",1.0,0.0008726003490401396,"('rather', 'cool', 'bet')",1,0.0008733624454148472
46,"('appetizers',)",4.0,0.0034873583260680036,"('good', 'like')",1.0,0.0008726003490401396,"('cool', 'bet', 'even')",1,0.0008733624454148472
47,"('check',)",4.0,0.0034873583260680036,"('cash', 'say')",1.0,0.0008726003490401396,"('bet', 'even', 'better')",1,0.0008733624454148472
48,"('old',)",4.0,0.0034873583260680036,"('tap', 'water')",1.0,0.0008726003490401396,"('even', 'better', 'looking')",1,0.0008733624454148472
49,"('take',)",4.0,0.0034873583260680036,"('water', 'super')",1.0,0.0008726003490401396,"('better', 'looking', 'night')",1,0.0008733624454148472
50,"('ordered',)",4.0,0.0034873583260680036,"('super', 'good')",1.0,0.0008726003490401396,"('looking', 'night', 'dim')",1,0.0008733624454148472
51,"('wonderful',)",4.0,0.0034873583260680036,"('good', 'quality')",1.0,0.0008726003490401396,"('night', 'dim', 'lightsoverall')",1,0.0008733624454148472
52,"('recommend',)",4.0,0.0034873583260680036,"('quality', 'affordable')",1.0,0.0008726003490401396,"('dim', 'lightsoverall', 'loved')",1,0.0008733624454148472
53,"('im',)",4.0,0.0034873583260680036,"('affordable', 'definitely')",1.0,0.0008726003490401396,"('lightsoverall', 'loved', 'ikki')",1,0.0008733624454148472
54,"('something',)",4.0,0.0034873583260680036,"('definitely', 'good')",1.0,0.0008726003490401396,"('loved', 'ikki', 'im')",1,0.0008733624454148472
55,"('rice',)",4.0,0.0034873583260680036,"('go', 'also')",1.0,0.0008726003490401396,"('ikki', 'im', 'solo')",1,0.0008733624454148472
56,"('even',)",4.0,0.0034873583260680036,"('also', 'good')",1.0,0.0008726003490401396,"('solo', 'lunch', 'wanted')",1,0.0008733624454148472
57,"('area',)",4.0,0.0034873583260680036,"('now', 'go')",1.0,0.0008726003490401396,"('id', 'like', 'come')",1,0.0008733624454148472
58,"('us',)",4.0,0.0034873583260680036,"('like', 'lunch')",1.0,0.0008726003490401396,"('lunch', 'wanted', 'now')",1,0.0008733624454148472
59,"('blue',)",4.0,0.0034873583260680036,"('lunch', 'time')",1.0,0.0008726003490401396,"('wanted', 'now', 'go')",1,0.0008733624454148472
60,"('immediately',)",4.0,0.0034873583260680036,"('time', 'spot')",1.0,0.0008726003490401396,"('now', 'go', 'also')",1,0.0008733624454148472
61,"('staff',)",4.0,0.0034873583260680036,"('wanted', 'now')",1.0,0.0008726003490401396,"('go', 'also', 'good')",1,0.0008733624454148472
62,"('sake',)",4.0,0.0034873583260680036,"('spot', 'catching')",1.0,0.0008726003490401396,"('also', 'good', 'date')",1,0.0008733624454148472
63,"('say',)",4.0,0.0034873583260680036,"('drop', 'cash')",1.0,0.0008726003490401396,"('good', 'date', 'night')",1,0.0008733624454148472
64,"('looks',)",4.0,0.0034873583260680036,"('lunch', 'wanted')",1.0,0.0008726003490401396,"('date', 'night', 'restaurant')",1,0.0008733624454148472
65,"('fish',)",4.0,0.0034873583260680036,"('come', 'drop')",1.0,0.0008726003490401396,"('night', 'restaurant', 'show')",1,0.0008733624454148472
66,"('drinks',)",4.0,0.0034873583260680036,"('like', 'come')",1.0,0.0008726003490401396,"('restaurant', 'show', 'class')",1,0.0008733624454148472
67,"('drink',)",4.0,0.0034873583260680036,"('say', 'surprise')",1.0,0.0008726003490401396,"('show', 'class', 'although')",1,0.0008733624454148472
68,"('fajita',)",4.0,0.0034873583260680036,"('good', 'date')",1.0,0.0008726003490401396,"('class', 'although', 'seen')",1,0.0008733624454148472
69,"('vibe',)",3.0,0.0026155187445510027,"('except', 'tap')",1.0,0.0008726003490401396,"('although', 'seen', 'menu')",1,0.0008733624454148472
70,"('sauce',)",3.0,0.0026155187445510027,"('32', 'including')",1.0,0.0008726003490401396,"('seen', 'menu', 'id')",1,0.0008733624454148472
71,"('soon',)",3.0,0.0026155187445510027,"('menu', 'id')",1.0,0.0008726003490401396,"('got', 'special', 'three')",1,0.0008733624454148472
72,"('times',)",3.0,0.0026155187445510027,"('catching', 'friend')",1.0,0.0008726003490401396,"('friend', 'got', 'special')",1,0.0008733624454148472
73,"('calamari',)",3.0,0.0026155187445510027,"('get', 'appetizer')",1.0,0.0008726003490401396,"('special', 'three', '13')",1,0.0008733624454148472
74,"('lobster',)",3.0,0.0026155187445510027,"('seen', 'menu')",1.0,0.0008726003490401396,"('box', 'lighted', 'cube')",1,0.0008733624454148472
75,"('avocado',)",3.0,0.0026155187445510027,"('mean', 'omakase')",1.0,0.0008726003490401396,"('items', 'looks', 'good')",1,0.0008733624454148472
76,"('wrap',)",3.0,0.0026155187445510027,"('surprise', 'mean')",1.0,0.0008726003490401396,"('good', 'use', 'space')",1,0.0008733624454148472
77,"('cocktails',)",3.0,0.0026155187445510027,"('appetizer', 'main')",1.0,0.0008726003490401396,"('set', 'good', 'use')",1,0.0008733624454148472
78,"('manager',)",3.0,0.0026155187445510027,"('main', 'ok')",1.0,0.0008726003490401396,"('decor', 'set', 'good')",1,0.0008733624454148472
79,"('disappoint',)",3.0,0.0026155187445510027,"('ok', '32')",1.0,0.0008726003490401396,"('nice', 'decor', 'set')",1,0.0008733624454148472
80,"('quality',)",3.0,0.0026155187445510027,"('although', 'seen')",1.0,0.0008726003490401396,"('good', 'nice', 'decor')",1,0.0008733624454148472
81,"('visiting',)",3.0,0.0026155187445510027,"('expensive', 'side')",1.0,0.0008726003490401396,"('looks', 'good', 'nice')",1,0.0008733624454148472
82,"('excited',)",3.0,0.0026155187445510027,"('class', 'although')",1.0,0.0008726003490401396,"('try', 'items', 'looks')",1,0.0008733624454148472
83,"('else',)",3.0,0.0026155187445510027,"('including', 'tax')",1.0,0.0008726003490401396,"('space', 'tastes', 'good')",1,0.0008733624454148472
84,"('neighborhood',)",3.0,0.0026155187445510027,"('show', 'class')",1.0,0.0008726003490401396,"('times', 'try', 'items')",1,0.0008733624454148472
85,"('tasted',)",3.0,0.0026155187445510027,"('restaurant', 'show')",1.0,0.0008726003490401396,"('many', 'times', 'try')",1,0.0008733624454148472
86,"('everyone',)",3.0,0.0026155187445510027,"('id', 'like')",1.0,0.0008726003490401396,"('return', 'many', 'times')",1,0.0008733624454148472
87,"('can',)",3.0,0.0026155187445510027,"('tax', 'tip')",1.0,0.0008726003490401396,"('forward', 'return', 'many')",1,0.0008733624454148472
88,"('many',)",3.0,0.0026155187445510027,"('night', 'restaurant')",1.0,0.0008726003490401396,"('looking', 'forward', 'return')",1,0.0008733624454148472
89,"('ive',)",3.0,0.0026155187445510027,"('tip', 'drink')",1.0,0.0008726003490401396,"('vegetable', 'looking', 'forward')",1,0.0008733624454148472
90,"('including',)",3.0,0.0026155187445510027,"('drink', 'except')",1.0,0.0008726003490401396,"('use', 'space', 'tastes')",1,0.0008733624454148472
91,"('perfectly',)",3.0,0.0026155187445510027,"('side', 'get')",1.0,0.0008726003490401396,"('tastes', 'good', 'nice')",1,0.0008733624454148472
92,"('specials',)",3.0,0.0026155187445510027,"('unfamiliar', 'philadelphia')",1.0,0.0008726003490401396,"('three', '13', 'everything')",1,0.0008733624454148472
93,"('solo',)",3.0,0.0026155187445510027,"('friend', 'got')",1.0,0.0008726003490401396,"('trust', 'say', 'fire')",1,0.0008733624454148472
94,"('knew',)",3.0,0.0026155187445510027,"('got', 'special')",1.0,0.0008726003490401396,"('stingy', 'super', 'fresh')",1,0.0008733624454148472
95,"('eat',)",3.0,0.0026155187445510027,"('fajita', 'cucumber')",1.0,0.0008726003490401396,"('fresh', 'stingy', 'super')",1,0.0008733624454148472
96,"('inside',)",3.0,0.0026155187445510027,"('cucumber', 'vegetable')",1.0,0.0008726003490401396,"('lunch', 'fresh', 'stingy')",1,0.0008733624454148472
97,"('night',)",3.0,0.0026155187445510027,"('vegetable', 'looking')",1.0,0.0008726003490401396,"('amazing', 'lunch', 'fresh')",1,0.0008733624454148472
98,"('three',)",3.0,0.0026155187445510027,"('looking', 'forward')",1.0,0.0008726003490401396,"('fire', 'amazing', 'lunch')",1,0.0008733624454148472
99,"('work',)",3.0,0.0026155187445510027,"('forward', 'return')",1.0,0.0008726003490401396,"('say', 'fire', 'amazing')",1,0.0008733624454148472
