,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('thai',)",118.0,0.03495260663507109,"('pad', 'thai')",20.0,0.005925925925925926,"('spicy', 'stir', 'fry')",5,0.0014819205690574985
1,"('good',)",48.0,0.014218009478672985,"('thai', 'nivas')",15.0,0.0044444444444444444,"('chicken', 'pad', 'thai')",4,0.0011855364552459987
2,"('great',)",36.0,0.01066350710900474,"('st', 'louis')",11.0,0.003259259259259259,"('pad', 'see', 'ew')",4,0.0011855364552459987
3,"('pad',)",34.0,0.010071090047393365,"('peanut', 'sauce')",11.0,0.003259259259259259,"('pad', 'peanut', 'sauce')",3,0.0008891523414344991
4,"('chicken',)",28.0,0.008293838862559242,"('stir', 'fry')",10.0,0.002962962962962963,"('pad', 'spicy', 'noodles')",3,0.0008891523414344991
5,"('service',)",28.0,0.008293838862559242,"('thai', 'restaurant')",8.0,0.0023703703703703703,"('will', 'come', 'back')",3,0.0008891523414344991
6,"('like',)",24.0,0.0071090047393364926,"('thai', 'restaurants')",7.0,0.002074074074074074,"('will', 'definitely', 'back')",3,0.0008891523414344991
7,"('back',)",24.0,0.0071090047393364926,"('pad', 'see')",7.0,0.002074074074074074,"('thai', 'iced', 'tea')",3,0.0008891523414344991
8,"('restaurant',)",24.0,0.0071090047393364926,"('tom', 'yum')",7.0,0.002074074074074074,"('pad', 'thai', 'pad')",3,0.0008891523414344991
9,"('little',)",24.0,0.0071090047393364926,"('land', 'smile')",5.0,0.0014814814814814814,"('tom', 'yum', 'soup')",3,0.0008891523414344991
10,"('time',)",22.0,0.006516587677725118,"('always', 'get')",5.0,0.0014814814814814814,"('thai', 'nivas', 'cafe')",3,0.0008891523414344991
11,"('always',)",21.0,0.006220379146919431,"('noodle', 'dishes')",5.0,0.0014814814814814814,"('cant', 'go', 'wrong')",2,0.0005927682276229994
12,"('get',)",21.0,0.006220379146919431,"('noodle', 'soup')",5.0,0.0014814814814814814,"('peanut', 'sauce', 'noodles')",2,0.0005927682276229994
13,"('ordered',)",21.0,0.006220379146919431,"('come', 'back')",5.0,0.0014814814814814814,"('sauce', 'great', 'taste')",2,0.0005927682276229994
14,"('lunch',)",21.0,0.006220379146919431,"('will', 'definitely')",5.0,0.0014814814814814814,"('service', 'always', 'friendly')",2,0.0005927682276229994
15,"('delicious',)",21.0,0.006220379146919431,"('first', 'time')",5.0,0.0014814814814814814,"('extra', 'peanut', 'sauce')",2,0.0005927682276229994
16,"('also',)",20.0,0.005924170616113744,"('spicy', 'stir')",5.0,0.0014814814814814814,"('stir', 'fry', 'havent')",2,0.0005927682276229994
17,"('dishes',)",20.0,0.005924170616113744,"('thai', 'japanese')",5.0,0.0014814814814814814,"('favorite', 'thai', 'restaurant')",2,0.0005927682276229994
18,"('im',)",19.0,0.005627962085308057,"('chicken', 'satay')",5.0,0.0014814814814814814,"('chicken', 'peanut', 'sauce')",2,0.0005927682276229994
19,"('order',)",19.0,0.005627962085308057,"('next', 'time')",4.0,0.0011851851851851852,"('thai', 'pad', 'see')",2,0.0005927682276229994
20,"('will',)",19.0,0.005627962085308057,"('crab', 'rangoon')",4.0,0.0011851851851851852,"('looking', 'nice', 'quiet')",2,0.0005927682276229994
21,"('ive',)",18.0,0.00533175355450237,"('thai', 'iced')",4.0,0.0011851851851851852,"('dishes', 'pad', 'thai')",2,0.0005927682276229994
22,"('spicy',)",18.0,0.00533175355450237,"('creve', 'coeur')",4.0,0.0011851851851851852,"('thai', 'st', 'louis')",2,0.0005927682276229994
23,"('sauce',)",18.0,0.00533175355450237,"('see', 'ew')",4.0,0.0011851851851851852,"('chicken', 'noodle', 'soup')",2,0.0005927682276229994
24,"('curry',)",18.0,0.00533175355450237,"('best', 'thai')",4.0,0.0011851851851851852,"('restaurants', 'st', 'louis')",2,0.0005927682276229994
25,"('nivas',)",17.0,0.005035545023696682,"('ive', 'tried')",4.0,0.0011851851851851852,"('thai', 'restaurant', 'st')",2,0.0005927682276229994
