,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('haddonfield',)",6.0,0.016260162601626018,"('miso', 'soup')",3.0,0.008152173913043478,"('great', 'lots', 'delish')",1,0.0027247956403269754
1,"('great',)",5.0,0.013550135501355014,"('soup', 'salad')",2.0,0.005434782608695652,"('dressing', 'side', 'salad')",1,0.0027247956403269754
2,"('fish',)",5.0,0.013550135501355014,"('lunch', 'specials')",2.0,0.005434782608695652,"('soup', 'ginger', 'dressing')",1,0.0027247956403269754
3,"('roll',)",5.0,0.013550135501355014,"('fresh', 'delicious')",2.0,0.005434782608695652,"('miso', 'soup', 'ginger')",1,0.0027247956403269754
4,"('fresh',)",5.0,0.013550135501355014,"('reasonable', 'prices')",2.0,0.005434782608695652,"('portions', 'miso', 'soup')",1,0.0027247956403269754
5,"('salmon',)",5.0,0.013550135501355014,"('king', 'salmon')",2.0,0.005434782608695652,"('generous', 'portions', 'miso')",1,0.0027247956403269754
6,"('lunch',)",4.0,0.01084010840108401,"('deluxe', 'set')",2.0,0.005434782608695652,"('sashimi', 'generous', 'portions')",1,0.0027247956403269754
7,"('service',)",4.0,0.01084010840108401,"('great', 'lots')",1.0,0.002717391304347826,"('quality', 'sashimi', 'generous')",1,0.0027247956403269754
8,"('soup',)",4.0,0.01084010840108401,"('high', 'quality')",1.0,0.002717391304347826,"('high', 'quality', 'sashimi')",1,0.0027247956403269754
9,"('really',)",4.0,0.01084010840108401,"('portions', 'miso')",1.0,0.002717391304347826,"('terrific', 'high', 'quality')",1,0.0027247956403269754
10,"('salad',)",4.0,0.01084010840108401,"('generous', 'portions')",1.0,0.002717391304347826,"('visit', 'terrific', 'high')",1,0.0027247956403269754
11,"('meal',)",3.0,0.008130081300813009,"('sashimi', 'generous')",1.0,0.002717391304347826,"('second', 'visit', 'terrific')",1,0.0027247956403269754
12,"('tuna',)",3.0,0.008130081300813009,"('quality', 'sashimi')",1.0,0.002717391304347826,"('stellar', 'second', 'visit')",1,0.0027247956403269754
13,"('nice',)",3.0,0.008130081300813009,"('terrific', 'high')",1.0,0.002717391304347826,"('salmon', 'stellar', 'second')",1,0.0027247956403269754
14,"('like',)",3.0,0.008130081300813009,"('ginger', 'dressing')",1.0,0.002717391304347826,"('king', 'salmon', 'stellar')",1,0.0027247956403269754
