,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",244.0,0.018651582326861336,"('catch', '23')",48.0,0.0036694442320923475,"('catch', 'twenty', 'three')",30,0.0022935779816513763
1,"('good',)",183.0,0.013988686745146002,"('twenty', 'three')",34.0,0.002599189664398746,"('key', 'lime', 'pie')",13,0.0009938837920489296
2,"('service',)",117.0,0.008943586607552362,"('catch', 'twenty')",31.0,0.0023698493998929745,"('chilean', 'sea', 'bass')",10,0.0007645259938837921
3,"('catch',)",105.0,0.008026295673444428,"('sea', 'bass')",22.0,0.0016818286063756593,"('will', 'definitely', 'back')",8,0.0006116207951070336
4,"('restaurant',)",87.0,0.006650359272282525,"('first', 'time')",21.0,0.0016053818515404021,"('chocolate', 'mousse', 'pie')",6,0.00045871559633027525
5,"('time',)",84.0,0.006421036538755542,"('key', 'lime')",19.0,0.0014524883418698877,"('macadamia', 'nut', 'encrusted')",5,0.00038226299694189603
6,"('nice',)",74.0,0.00565662742699893,"('will', 'definitely')",17.0,0.001299594832199373,"('blue', 'cheese', 'mussels')",5,0.00038226299694189603
7,"('menu',)",73.0,0.005580186515823269,"('happy', 'hour')",16.0,0.0012231480773641158,"('west', 'park', 'village')",5,0.00038226299694189603
8,"('night',)",70.0,0.005350863782296285,"('great', 'service')",15.0,0.0011467013225288586,"('definitely', 'come', 'back')",4,0.0003058103975535168
9,"('seafood',)",69.0,0.0052744228711206235,"('burger', 'night')",15.0,0.0011467013225288586,"('crunchy', 'tuna', 'roll')",4,0.0003058103975535168
10,"('area',)",67.0,0.005121541048769301,"('service', 'great')",14.0,0.0010702545676936014,"('catch', '23', 'great')",4,0.0003058103975535168
11,"('always',)",66.0,0.00504510013759364,"('highly', 'recommend')",14.0,0.0010702545676936014,"('great', 'care', 'us')",4,0.0003058103975535168
12,"('dinner',)",64.0,0.004892218315242318,"('pretty', 'good')",14.0,0.0010702545676936014,"('salmon', 'wrapped', 'bacon')",4,0.0003058103975535168
13,"('delicious',)",63.0,0.004815777404066656,"('lime', 'pie')",13.0,0.0009938078128583442,"('guava', 'salmon', 'wrapped')",4,0.0003058103975535168
14,"('burger',)",63.0,0.004815777404066656,"('good', 'service')",12.0,0.0009173610580230869,"('took', 'great', 'care')",4,0.0003058103975535168
15,"('really',)",61.0,0.004662895581715334,"('come', 'back')",12.0,0.0009173610580230869,"('best', 'ive', 'ever')",3,0.00022935779816513763
