,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('even',)",9.0,0.013215859030837005,"('even', 'though')",4.0,0.0058823529411764705,"('wasabi', 'west', 'chester')",2,0.0029455081001472753
1,"('good',)",7.0,0.010279001468428781,"('seaweed', 'salad')",2.0,0.0029411764705882353,"('went', 'based', 'positive')",1,0.0014727540500736377
2,"('time',)",7.0,0.010279001468428781,"('spicy', 'tuna')",2.0,0.0029411764705882353,"('waiting', 'time', 'order')",1,0.0014727540500736377
3,"('didnt',)",7.0,0.010279001468428781,"('shrimp', 'tempura')",2.0,0.0029411764705882353,"('minutes', 'went', 'corner')",1,0.0014727540500736377
4,"('will',)",6.0,0.00881057268722467,"('west', 'chester')",2.0,0.0029411764705882353,"('went', 'corner', 'took')",1,0.0014727540500736377
5,"('kooma',)",6.0,0.00881057268722467,"('shiitake', 'mushroom')",2.0,0.0029411764705882353,"('corner', 'took', 'order')",1,0.0014727540500736377
6,"('wings',)",5.0,0.007342143906020558,"('wasabi', 'west')",2.0,0.0029411764705882353,"('took', 'order', 'back')",1,0.0014727540500736377
7,"('bar',)",5.0,0.007342143906020558,"('sitting', 'counter')",2.0,0.0029411764705882353,"('order', 'back', 'tableafter')",1,0.0014727540500736377
8,"('roll',)",5.0,0.007342143906020558,"('places', 'around')",2.0,0.0029411764705882353,"('back', 'tableafter', 'waiting')",1,0.0014727540500736377
9,"('dont',)",5.0,0.007342143906020558,"('prices', 'outrageous')",2.0,0.0029411764705882353,"('tableafter', 'waiting', 'time')",1,0.0014727540500736377
10,"('went',)",5.0,0.007342143906020558,"('took', 'order')",2.0,0.0029411764705882353,"('time', 'order', 'arrived')",1,0.0014727540500736377
11,"('chicken',)",4.0,0.005873715124816446,"('another', 'patron')",2.0,0.0029411764705882353,"('around', '15', 'minutes')",1,0.0014727540500736377
12,"('order',)",4.0,0.005873715124816446,"('dont', 'know')",2.0,0.0029411764705882353,"('order', 'arrived', 'even')",1,0.0014727540500736377
13,"('small',)",4.0,0.005873715124816446,"('tasted', 'like')",2.0,0.0029411764705882353,"('arrived', 'even', 'though')",1,0.0014727540500736377
14,"('first',)",4.0,0.005873715124816446,"('many', 'places')",2.0,0.0029411764705882353,"('even', 'though', 'wasabi')",1,0.0014727540500736377
15,"('around',)",4.0,0.005873715124816446,"('really', 'didnt')",2.0,0.0029411764705882353,"('though', 'wasabi', 'wings')",1,0.0014727540500736377
16,"('meal',)",4.0,0.005873715124816446,"('order', 'next')",1.0,0.0014705882352941176,"('wasabi', 'wings', 'werent')",1,0.0014727540500736377
17,"('waiter',)",4.0,0.005873715124816446,"('order', 'back')",1.0,0.0014705882352941176,"('wings', 'werent', 'supposed')",1,0.0014727540500736377
18,"('shrimp',)",4.0,0.005873715124816446,"('4', 'plates')",1.0,0.0014705882352941176,"('werent', 'supposed', 'spicy')",1,0.0014727540500736377
19,"('expensive',)",4.0,0.005873715124816446,"('plates', 'sitting')",1.0,0.0014705882352941176,"('supposed', 'spicy', 'think')",1,0.0014727540500736377
20,"('crunch',)",4.0,0.005873715124816446,"('counter', 'time')",1.0,0.0014705882352941176,"('15', 'minutes', 'went')",1,0.0014727540500736377
21,"('next',)",4.0,0.005873715124816446,"('time', 'estimated')",1.0,0.0014705882352941176,"('seated', 'around', '15')",1,0.0014727540500736377
22,"('prices',)",4.0,0.005873715124816446,"('estimated', 'time')",1.0,0.0014705882352941176,"('10', 'minutes', 'already')",1,0.0014727540500736377
23,"('go',)",4.0,0.005873715124816446,"('time', 'first')",1.0,0.0014705882352941176,"('first', 'seated', 'around')",1,0.0014727540500736377
24,"('though',)",4.0,0.005873715124816446,"('price', 'really')",1.0,0.0014705882352941176,"('already', 'served', 'sitting')",1,0.0014727540500736377
25,"('price',)",4.0,0.005873715124816446,"('first', 'seated')",1.0,0.0014705882352941176,"('served', 'sitting', 'bar')",1,0.0014727540500736377
26,"('tables',)",4.0,0.005873715124816446,"('seated', 'around')",1.0,0.0014705882352941176,"('sitting', 'bar', 'unobstructed')",1,0.0014727540500736377
27,"('wasabi',)",3.0,0.004405286343612335,"('around', '15')",1.0,0.0014705882352941176,"('bar', 'unobstructed', 'view')",1,0.0014727540500736377
28,"('rice',)",3.0,0.004405286343612335,"('15', 'minutes')",1.0,0.0014705882352941176,"('unobstructed', 'view', 'endcorner')",1,0.0014727540500736377
29,"('fish',)",3.0,0.004405286343612335,"('minutes', 'went')",1.0,0.0014705882352941176,"('view', 'endcorner', 'bar')",1,0.0014727540500736377
30,"('really',)",3.0,0.004405286343612335,"('went', 'corner')",1.0,0.0014705882352941176,"('endcorner', 'bar', 'explained')",1,0.0014727540500736377
