,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",63.0,0.012225887832330681,"('izakaya', 'ren')",17.0,0.003299689440993789,"('rock', 'n', 'roll')",5,0.0009706853038245001
1,"('good',)",63.0,0.012225887832330681,"('tuna', 'tower')",16.0,0.003105590062111801,"('will', 'definitely', 'back')",4,0.0007765482430596001
2,"('great',)",58.0,0.011255579274209199,"('st', 'louis')",13.0,0.0025232919254658385,"('st', 'louis', 'area')",4,0.0007765482430596001
3,"('like',)",40.0,0.007762468464971861,"('great', 'service')",10.0,0.0019409937888198758,"('second', 'beer', '1')",3,0.0005824111822947001
4,"('really',)",40.0,0.007762468464971861,"('will', 'definitely')",8.0,0.0015527950310559005,"('definitely', 'come', 'back')",3,0.0005824111822947001
5,"('service',)",36.0,0.006986221618474675,"('shrimp', 'tempura')",7.0,0.001358695652173913,"('good', 'tuna', 'tower')",2,0.00038827412152980003
6,"('menu',)",36.0,0.006986221618474675,"('come', 'back')",7.0,0.001358695652173913,"('service', 'always', 'good')",2,0.00038827412152980003
7,"('also',)",30.0,0.005821851348728896,"('definitely', 'back')",6.0,0.0011645962732919255,"('red', 'snapper', 'nigiri')",2,0.00038827412152980003
8,"('time',)",30.0,0.005821851348728896,"('really', 'good')",6.0,0.0011645962732919255,"('chop', 'chae', 'salad')",2,0.00038827412152980003
9,"('try',)",27.0,0.005239666213856006,"('danny', 'roll')",6.0,0.0011645962732919255,"('roll', 'oh', 'god')",2,0.00038827412152980003
10,"('fresh',)",27.0,0.005239666213856006,"('service', 'great')",6.0,0.0011645962732919255,"('wont', 'disappointed', 'favorite')",2,0.00038827412152980003
11,"('izakaya',)",27.0,0.005239666213856006,"('first', 'time')",5.0,0.0009704968944099379,"('best', 'st', 'louis')",2,0.00038827412152980003
12,"('best',)",26.0,0.00504560450223171,"('dont', 'know')",5.0,0.0009704968944099379,"('n', 'roll', 'oh')",2,0.00038827412152980003
13,"('tuna',)",26.0,0.00504560450223171,"('strip', 'mall')",5.0,0.0009704968944099379,"('excited', 'go', 'back')",2,0.00038827412152980003
14,"('back',)",25.0,0.004851542790607413,"('happy', 'hour')",5.0,0.0009704968944099379,"('soft', 'shell', 'crab')",2,0.00038827412152980003
15,"('restaurant',)",25.0,0.004851542790607413,"('good', 'quality')",5.0,0.0009704968944099379,"('great', 'great', 'service')",2,0.00038827412152980003
16,"('get',)",25.0,0.004851542790607413,"('n', 'roll')",5.0,0.0009704968944099379,"('cucumber', 'drizzled', 'eel')",2,0.00038827412152980003
17,"('always',)",24.0,0.004657481078983117,"('rock', 'n')",5.0,0.0009704968944099379,"('drizzled', 'eel', 'sauce')",2,0.00038827412152980003
18,"('favorite',)",23.0,0.00446341936735882,"('louis', 'area')",4.0,0.0007763975155279503,"('great', 'service', 'great')",2,0.00038827412152980003
