,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('hibachi',)",15.0,0.012345679012345678,"('bento', 'box')",4.0,0.0032948929159802307,"('asked', 'speak', 'manager')",2,0.0016488046166529267
1,"('restaurant',)",13.0,0.010699588477366255,"('rotten', 'fish')",3.0,0.002471169686985173,"('think', 'comparable', 'awesome')",1,0.0008244023083264633
2,"('go',)",10.0,0.00823045267489712,"('great', 'birthday')",3.0,0.002471169686985173,"('times', 'ive', 'server')",1,0.0008244023083264633
3,"('birthday',)",10.0,0.00823045267489712,"('go', 'back')",3.0,0.002471169686985173,"('last', 'times', 'ive')",1,0.0008244023083264633
4,"('fish',)",10.0,0.00823045267489712,"('us', 'made')",2.0,0.0016474464579901153,"('hasnt', 'last', 'times')",1,0.0008244023083264633
5,"('us',)",10.0,0.00823045267489712,"('happy', 'birthday')",2.0,0.0016474464579901153,"('fairview', 'hasnt', 'last')",1,0.0008244023083264633
6,"('went',)",9.0,0.007407407407407408,"('speak', 'manager')",2.0,0.0016474464579901153,"('hibachi', 'fairview', 'hasnt')",1,0.0008244023083264633
7,"('good',)",9.0,0.007407407407407408,"('ice', 'cream')",2.0,0.0016474464579901153,"('awesome', 'hibachi', 'fairview')",1,0.0008244023083264633
8,"('didnt',)",8.0,0.006584362139917695,"('hibachi', 'grill')",2.0,0.0016474464579901153,"('comparable', 'awesome', 'hibachi')",1,0.0008244023083264633
9,"('way',)",8.0,0.006584362139917695,"('thought', 'going')",2.0,0.0016474464579901153,"('absolute', 'worst', 'spicy')",1,0.0008244023083264633
10,"('back',)",8.0,0.006584362139917695,"('st', 'louis')",2.0,0.0016474464579901153,"('customers', 'dont', 'like')",1,0.0008244023083264633
11,"('made',)",8.0,0.006584362139917695,"('soup', 'salad')",2.0,0.0016474464579901153,"('used', 'think', 'comparable')",1,0.0008244023083264633
12,"('staff',)",7.0,0.005761316872427984,"('get', 'sick')",2.0,0.0016474464579901153,"('im', 'used', 'think')",1,0.0008244023083264633
13,"('like',)",7.0,0.005761316872427984,"('race', 'issue')",2.0,0.0016474464579901153,"('restaurant', 'im', 'used')",1,0.0008244023083264633
14,"('ever',)",7.0,0.005761316872427984,"('teriyaki', 'tofu')",2.0,0.0016474464579901153,"('disgusting', 'restaurant', 'im')",1,0.0008244023083264633
15,"('chef',)",6.0,0.0049382716049382715,"('brought', 'daughter')",2.0,0.0016474464579901153,"('subject', 'disgusting', 'restaurant')",1,0.0008244023083264633
16,"('told',)",6.0,0.0049382716049382715,"('will', 'ever')",2.0,0.0016474464579901153,"('come', 'subject', 'disgusting')",1,0.0008244023083264633
17,"('rice',)",6.0,0.0049382716049382715,"('next', 'time')",2.0,0.0016474464579901153,"('decide', 'come', 'subject')",1,0.0008244023083264633
18,"('will',)",6.0,0.0049382716049382715,"('owners', 'wife')",2.0,0.0016474464579901153,"('ive', 'server', 'forgot')",1,0.0008244023083264633
19,"('time',)",6.0,0.0049382716049382715,"('feel', 'like')",2.0,0.0016474464579901153,"('server', 'forgot', 'fiances')",1,0.0008244023083264633
20,"('minutes',)",6.0,0.0049382716049382715,"('dont', 'know')",2.0,0.0016474464579901153,"('forgot', 'fiances', 'appetizer')",1,0.0008244023083264633
21,"('service',)",6.0,0.0049382716049382715,"('asked', 'speak')",2.0,0.0016474464579901153,"('fiances', 'appetizer', 'brought')",1,0.0008244023083264633
22,"('tried',)",6.0,0.0049382716049382715,"('10', 'minutes')",2.0,0.0016474464579901153,"('different', 'good', 'way')",1,0.0008244023083264633
23,"('order',)",6.0,0.0049382716049382715,"('bites', 'still')",2.0,0.0016474464579901153,"('seemed', 'different', 'good')",1,0.0008244023083264633
24,"('night',)",5.0,0.00411522633744856,"('customer', 'service')",2.0,0.0016474464579901153,"('staff', 'seemed', 'different')",1,0.0008244023083264633
25,"('much',)",5.0,0.00411522633744856,"('will', 'never')",2.0,0.0016474464579901153,"('wait', 'staff', 'seemed')",1,0.0008244023083264633
26,"('get',)",5.0,0.00411522633744856,"('two', 'men')",2.0,0.0016474464579901153,"('quality', 'wait', 'staff')",1,0.0008244023083264633
27,"('eat',)",5.0,0.00411522633744856,"('recommend', 'go')",2.0,0.0016474464579901153,"('overall', 'quality', 'wait')",1,0.0008244023083264633
28,"('came',)",5.0,0.00411522633744856,"('seemed', 'different')",1.0,0.0008237232289950577,"('time', 'overall', 'quality')",1,0.0008244023083264633
29,"('wife',)",5.0,0.00411522633744856,"('fairview', 'hasnt')",1.0,0.0008237232289950577,"('next', 'time', 'overall')",1,0.0008244023083264633
30,"('rotten',)",5.0,0.00411522633744856,"('staff', 'seemed')",1.0,0.0008237232289950577,"('overcooked', 'next', 'time')",1,0.0008244023083264633
31,"('maybe',)",5.0,0.00411522633744856,"('wait', 'staff')",1.0,0.0008237232289950577,"('edamame', 'overcooked', 'next')",1,0.0008244023083264633
32,"('even',)",5.0,0.00411522633744856,"('quality', 'wait')",1.0,0.0008237232289950577,"('time', 'edamame', 'overcooked')",1,0.0008244023083264633
33,"('dinner',)",5.0,0.00411522633744856,"('overall', 'quality')",1.0,0.0008237232289950577,"('late', 'time', 'edamame')",1,0.0008244023083264633
34,"('still',)",5.0,0.00411522633744856,"('time', 'overall')",1.0,0.0008237232289950577,"('way', 'late', 'time')",1,0.0008244023083264633
35,"('say',)",5.0,0.00411522633744856,"('overcooked', 'next')",1.0,0.0008237232289950577,"('brought', 'way', 'late')",1,0.0008244023083264633
36,"('really',)",5.0,0.00411522633744856,"('edamame', 'overcooked')",1.0,0.0008237232289950577,"('appetizer', 'brought', 'way')",1,0.0008244023083264633
37,"('dont',)",5.0,0.00411522633744856,"('forgot', 'fiances')",1.0,0.0008237232289950577,"('reason', 'decide', 'come')",1,0.0008244023083264633
38,"('tofu',)",5.0,0.00411522633744856,"('fiances', 'appetizer')",1.0,0.0008237232289950577,"('diligently', 'reason', 'decide')",1,0.0008244023083264633
39,"('give',)",5.0,0.00411522633744856,"('late', 'time')",1.0,0.0008237232289950577,"('bill', 'diligently', 'reason')",1,0.0008244023083264633
40,"('less',)",5.0,0.00411522633744856,"('way', 'late')",1.0,0.0008237232289950577,"('hope', 'americans', 'will')",1,0.0008244023083264633
41,"('daughter',)",5.0,0.00411522633744856,"('hasnt', 'last')",1.0,0.0008237232289950577,"('common', 'restaurants', 'hope')",1,0.0008244023083264633
42,"('well',)",5.0,0.00411522633744856,"('last', 'times')",1.0,0.0008237232289950577,"('order', 'common', 'restaurants')",1,0.0008244023083264633
43,"('salad',)",4.0,0.0032921810699588477,"('times', 'ive')",1.0,0.0008237232289950577,"('didnt', 'order', 'common')",1,0.0008244023083264633
44,"('asked',)",4.0,0.0032921810699588477,"('brought', 'way')",1.0,0.0008237232289950577,"('bill', 'didnt', 'order')",1,0.0008244023083264633
45,"('two',)",4.0,0.0032921810699588477,"('ive', 'server')",1.0,0.0008237232289950577,"('items', 'bill', 'didnt')",1,0.0008244023083264633
46,"('experience',)",4.0,0.0032921810699588477,"('server', 'forgot')",1.0,0.0008237232289950577,"('extra', 'items', 'bill')",1,0.0008244023083264633
