,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('us',)",14.0,0.010393466963622866,"('10', 'min')",5.0,0.003714710252600297,"('min', 'later', 'brought')",3,0.0022304832713754648
1,"('ordered',)",14.0,0.010393466963622866,"('hibachi', 'grill')",5.0,0.003714710252600297,"('bad', 'husband', 'friend')",2,0.001486988847583643
2,"('back',)",13.0,0.009651076466221232,"('pad', 'thai')",5.0,0.003714710252600297,"('drink', 'order', 'another')",2,0.001486988847583643
3,"('came',)",12.0,0.008908685968819599,"('min', 'later')",4.0,0.0029717682020802376,"('30', 'min', 'get')",2,0.001486988847583643
4,"('chef',)",12.0,0.008908685968819599,"('later', 'brought')",3.0,0.002228826151560178,"('10', 'min', 'later')",2,0.001486988847583643
5,"('get',)",12.0,0.008908685968819599,"('several', 'occasions')",2.0,0.0014858841010401188,"('ordered', 'pad', 'thai')",2,0.001486988847583643
6,"('like',)",11.0,0.008166295471417966,"('told', 'waitress')",2.0,0.0014858841010401188,"('cook', 'hibachi', 'grill')",2,0.001486988847583643
7,"('min',)",11.0,0.008166295471417966,"('tuna', 'roll')",2.0,0.0014858841010401188,"('fault', 'ordering', 'wrong')",1,0.0007434944237918215
8,"('good',)",11.0,0.008166295471417966,"('way', 'much')",2.0,0.0014858841010401188,"('must', 'joking', 'oh')",1,0.0007434944237918215
9,"('didnt',)",11.0,0.008166295471417966,"('cook', 'hibachi')",2.0,0.0014858841010401188,"('like', 'must', 'joking')",1,0.0007434944237918215
10,"('another',)",10.0,0.007423904974016332,"('bad', 'husband')",2.0,0.0014858841010401188,"('thing', 'like', 'must')",1,0.0007434944237918215
11,"('hibachi',)",10.0,0.007423904974016332,"('something', 'new')",2.0,0.0014858841010401188,"('wrong', 'thing', 'like')",1,0.0007434944237918215
12,"('even',)",10.0,0.007423904974016332,"('old', 'fashioned')",2.0,0.0014858841010401188,"('ordering', 'wrong', 'thing')",1,0.0007434944237918215
13,"('order',)",9.0,0.0066815144766146995,"('didnt', 'want')",2.0,0.0014858841010401188,"('visited', 'recently', 'hoping')",1,0.0007434944237918215
14,"('seated',)",9.0,0.0066815144766146995,"('tasted', 'like')",2.0,0.0014858841010401188,"('joking', 'oh', 'thats')",1,0.0007434944237918215
15,"('waitress',)",9.0,0.0066815144766146995,"('wont', 'back')",2.0,0.0014858841010401188,"('ask', 'claim', 'fault')",1,0.0007434944237918215
16,"('2',)",8.0,0.005939123979213066,"('filet', 'mignon')",2.0,0.0014858841010401188,"('call', 'ask', 'claim')",1,0.0007434944237918215
17,"('minutes',)",8.0,0.005939123979213066,"('back', 'came')",2.0,0.0014858841010401188,"('acknowledge', 'call', 'ask')",1,0.0007434944237918215
18,"('orders',)",7.0,0.005196733481811433,"('5', 'min')",2.0,0.0014858841010401188,"('refuse', 'acknowledge', 'call')",1,0.0007434944237918215
19,"('really',)",7.0,0.005196733481811433,"('husband', 'friend')",2.0,0.0014858841010401188,"('also', 'refuse', 'acknowledge')",1,0.0007434944237918215
20,"('cook',)",7.0,0.005196733481811433,"('took', 'order')",2.0,0.0014858841010401188,"('asked', 'also', 'refuse')",1,0.0007434944237918215
21,"('told',)",7.0,0.005196733481811433,"('2', 'adults')",2.0,0.0014858841010401188,"('sauce', 'asked', 'also')",1,0.0007434944237918215
22,"('go',)",7.0,0.005196733481811433,"('told', 'us')",2.0,0.0014858841010401188,"('forgot', 'sauce', 'asked')",1,0.0007434944237918215
23,"('something',)",7.0,0.005196733481811433,"('30', 'minutes')",2.0,0.0014858841010401188,"('claim', 'fault', 'ordering')",1,0.0007434944237918215
24,"('dinner',)",7.0,0.005196733481811433,"('call', 'back')",2.0,0.0014858841010401188,"('oh', 'thats', 'ordered')",1,0.0007434944237918215
25,"('dont',)",7.0,0.005196733481811433,"('going', 'back')",2.0,0.0014858841010401188,"('something', 'missing', 'forgot')",1,0.0007434944237918215
26,"('party',)",7.0,0.005196733481811433,"('next', 'day')",2.0,0.0014858841010401188,"('thats', 'ordered', '100')",1,0.0007434944237918215
27,"('took',)",7.0,0.005196733481811433,"('talk', 'owner')",2.0,0.0014858841010401188,"('fast', 'seating', 'chefs')",1,0.0007434944237918215
28,"('grill',)",7.0,0.005196733481811433,"('us', 'really')",2.0,0.0014858841010401188,"('super', 'fast', 'seating')",1,0.0007434944237918215
29,"('got',)",7.0,0.005196733481811433,"('something', 'wrong')",2.0,0.0014858841010401188,"('back', 'super', 'fast')",1,0.0007434944237918215
30,"('1',)",6.0,0.004454342984409799,"('year', 'old')",2.0,0.0014858841010401188,"('going', 'back', 'super')",1,0.0007434944237918215
31,"('half',)",6.0,0.004454342984409799,"('2', 'dinners')",2.0,0.0014858841010401188,"('never', 'going', 'back')",1,0.0007434944237918215
32,"('30',)",6.0,0.004454342984409799,"('drink', 'orders')",2.0,0.0014858841010401188,"('opened', 'never', 'going')",1,0.0007434944237918215
33,"('best',)",6.0,0.004454342984409799,"('another', '30')",2.0,0.0014858841010401188,"('since', 'opened', 'never')",1,0.0007434944237918215
34,"('service',)",6.0,0.004454342984409799,"('order', 'another')",2.0,0.0014858841010401188,"('money', 'since', 'opened')",1,0.0007434944237918215
35,"('ive',)",6.0,0.004454342984409799,"('drink', 'order')",2.0,0.0014858841010401188,"('lot', 'money', 'since')",1,0.0007434944237918215
