,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('house',)",16.0,0.013289036544850499,"('wasabi', 'house')",10.0,0.00831255195344971,"('bi', 'bim', 'bap')",2,0.0016638935108153079
1,"('wasabi',)",14.0,0.011627906976744186,"('miso', 'soup')",6.0,0.004987531172069825,"('spicy', 'tuna', 'roll')",2,0.0016638935108153079
2,"('great',)",12.0,0.009966777408637873,"('really', 'nice')",4.0,0.0033250207813798837,"('dirty', 'franks', 'wasabi')",2,0.0016638935108153079
3,"('good',)",11.0,0.009136212624584718,"('dining', 'room')",3.0,0.0024937655860349127,"('perfectly', 'located', 'like')",1,0.0008319467554076539
4,"('im',)",11.0,0.009136212624584718,"('spicy', 'tuna')",3.0,0.0024937655860349127,"('charming', 'little', 'restaurant')",1,0.0008319467554076539
5,"('get',)",11.0,0.009136212624584718,"('friendly', 'service')",3.0,0.0024937655860349127,"('room', 'close', 'together')",1,0.0008319467554076539
6,"('really',)",11.0,0.009136212624584718,"('first', 'time')",3.0,0.0024937655860349127,"('tables', 'room', 'close')",1,0.0008319467554076539
7,"('nice',)",9.0,0.007475083056478406,"('seaweed', 'salad')",3.0,0.0024937655860349127,"('6', 'tables', 'room')",1,0.0008319467554076539
8,"('service',)",9.0,0.007475083056478406,"('tuna', 'roll')",3.0,0.0024937655860349127,"('restaurant', '6', 'tables')",1,0.0008319467554076539
9,"('like',)",9.0,0.007475083056478406,"('well', 'done')",3.0,0.0024937655860349127,"('little', 'restaurant', '6')",1,0.0008319467554076539
10,"('fresh',)",8.0,0.006644518272425249,"('can', 'get')",2.0,0.0016625103906899418,"('turned', 'charming', 'little')",1,0.0008319467554076539
11,"('always',)",8.0,0.006644518272425249,"('actually', 'really')",2.0,0.0016625103906899418,"('together', 'however', 'doesnt')",1,0.0008319467554076539
12,"('delicious',)",8.0,0.006644518272425249,"('come', 'back')",2.0,0.0016625103906899418,"('apartment', 'turned', 'charming')",1,0.0008319467554076539
13,"('ive',)",7.0,0.005813953488372093,"('center', 'city')",2.0,0.0016625103906899418,"('bedroom', 'apartment', 'turned')",1,0.0008319467554076539
