,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('poke',)",58.0,0.024359512809743807,"('poke', 'bowl')",13.0,0.0054621848739495795,"('located', 'inside', 'international')",3,0.0012610340479192938
1,"('bowl',)",44.0,0.018479630407391853,"('kale', 'noodles')",10.0,0.004201680672268907,"('inside', 'international', 'plaza')",3,0.0012610340479192938
2,"('good',)",32.0,0.013439731205375893,"('poke', 'bowls')",7.0,0.0029411764705882353,"('best', 'poke', 'tampa')",3,0.0012610340479192938
3,"('fresh',)",28.0,0.011759764804703907,"('international', 'plaza')",6.0,0.0025210084033613447,"('large', 'poke', 'bowl')",3,0.0012610340479192938
4,"('spicy',)",25.0,0.010499790004199917,"('poke', 'places')",6.0,0.0025210084033613447,"('light', 'medium', 'heavy')",3,0.0012610340479192938
5,"('options',)",24.0,0.01007979840403192,"('spicy', 'salmon')",5.0,0.0021008403361344537,"('sauce', 'see', 'spicy')",2,0.0008406893652795292
6,"('great',)",23.0,0.009659806803863923,"('spicy', 'tuna')",5.0,0.0021008403361344537,"('helping', 'figure', 'like')",2,0.0008406893652795292
7,"('like',)",20.0,0.008399832003359933,"('international', 'mall')",5.0,0.0021008403361344537,"('figure', 'like', 'offered')",2,0.0008406893652795292
8,"('toppings',)",20.0,0.008399832003359933,"('best', 'poke')",5.0,0.0021008403361344537,"('like', 'offered', 'help')",2,0.0008406893652795292
9,"('mall',)",19.0,0.007979840403191937,"('first', 'time')",4.0,0.0016806722689075631,"('offered', 'help', 'try')",2,0.0008406893652795292
10,"('really',)",18.0,0.007559848803023939,"('unlimited', 'toppings')",4.0,0.0016806722689075631,"('eat', 'mall', 'court')",2,0.0008406893652795292
11,"('bowls',)",16.0,0.006719865602687947,"('grand', 'opening')",4.0,0.0016806722689075631,"('help', 'try', 'sauce')",2,0.0008406893652795292
12,"('staff',)",15.0,0.00629987400251995,"('lotus', 'chips')",4.0,0.0016806722689075631,"('try', 'sauce', 'see')",2,0.0008406893652795292
13,"('sauce',)",15.0,0.00629987400251995,"('spicy', 'ahi')",4.0,0.0016806722689075631,"('addition', 'international', 'mall')",2,0.0008406893652795292
14,"('court',)",14.0,0.005879882402351953,"('ahi', 'tuna')",4.0,0.0016806722689075631,"('see', 'spicy', 'overall')",2,0.0008406893652795292
15,"('tuna',)",14.0,0.005879882402351953,"('give', 'try')",3.0,0.0012605042016806723,"('staff', 'helpful', 'helping')",2,0.0008406893652795292
16,"('kale',)",14.0,0.005879882402351953,"('located', 'inside')",3.0,0.0012605042016806723,"('spicy', 'overall', 'loved')",2,0.0008406893652795292
17,"('line',)",13.0,0.005459890802183957,"('inside', 'international')",3.0,0.0012605042016806723,"('overall', 'loved', 'tasty')",2,0.0008406893652795292
18,"('many',)",13.0,0.005459890802183957,"('garlic', 'crisps')",3.0,0.0012605042016806723,"('tuna', 'spicy', 'salmon')",2,0.0008406893652795292
19,"('rice',)",12.0,0.00503989920201596,"('large', 'poke')",3.0,0.0012605042016806723,"('loved', 'tasty', 'light')",2,0.0008406893652795292
20,"('ingredients',)",12.0,0.00503989920201596,"('really', 'like')",3.0,0.0012605042016806723,"('tasty', 'light', 'stomach')",2,0.0008406893652795292
