,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('even',)",9.0,0.011508951406649617,"('fried', 'rice')",3.0,0.0038412291933418692,"('chicken', 'fried', 'rice')",2,0.002564102564102564
1,"('service',)",8.0,0.010230179028132993,"('chicken', 'fried')",2.0,0.002560819462227913,"('dont', 'go', 'subpar')",1,0.001282051282051282
2,"('thai',)",8.0,0.010230179028132993,"('tom', 'ka')",2.0,0.002560819462227913,"('tnnigiri', 'ive', 'eel')",1,0.001282051282051282
3,"('order',)",7.0,0.008951406649616368,"('chicken', 'teriyaki')",2.0,0.002560819462227913,"('soggy', 'mess', 'runny')",1,0.001282051282051282
4,"('good',)",7.0,0.008951406649616368,"('spicy', 'tuna')",2.0,0.002560819462227913,"('mess', 'runny', 'cream')",1,0.001282051282051282
5,"('rice',)",7.0,0.008951406649616368,"('miso', 'soup')",2.0,0.002560819462227913,"('runny', 'cream', 'cheese')",1,0.001282051282051282
6,"('soup',)",6.0,0.0076726342710997444,"('last', 'time')",2.0,0.002560819462227913,"('cream', 'cheese', 'probably')",1,0.001282051282051282
7,"('chicken',)",6.0,0.0076726342710997444,"('waiting', 'waiting')",2.0,0.002560819462227913,"('cheese', 'probably', 'worst')",1,0.001282051282051282
8,"('fried',)",6.0,0.0076726342710997444,"('pad', 'thai')",2.0,0.002560819462227913,"('probably', 'worst', 'wontons')",1,0.001282051282051282
9,"('time',)",6.0,0.0076726342710997444,"('quality', 'quantity')",2.0,0.002560819462227913,"('worst', 'wontons', 'middle')",1,0.001282051282051282
10,"('crab',)",5.0,0.00639386189258312,"('soy', 'sauce')",2.0,0.002560819462227913,"('wontons', 'middle', 'tnnigiri')",1,0.001282051282051282
11,"('terrible',)",5.0,0.00639386189258312,"('even', 'finish')",2.0,0.002560819462227913,"('middle', 'tnnigiri', 'ive')",1,0.001282051282051282
12,"('quality',)",5.0,0.00639386189258312,"('eel', 'nigiri')",1.0,0.0012804097311139564,"('ive', 'eel', 'nigiri')",1,0.001282051282051282
13,"('get',)",5.0,0.00639386189258312,"('crab', 'pretty')",1.0,0.0012804097311139564,"('crab', 'mixture', 'soggy')",1,0.001282051282051282
14,"('restaurant',)",5.0,0.00639386189258312,"('mess', 'nigiri')",1.0,0.0012804097311139564,"('eel', 'nigiri', 'enjoyable')",1,0.001282051282051282
15,"('take',)",4.0,0.005115089514066497,"('mess', 'runny')",1.0,0.0012804097311139564,"('nigiri', 'enjoyable', 'shrimp')",1,0.001282051282051282
16,"('us',)",4.0,0.005115089514066497,"('hard', 'mess')",1.0,0.0012804097311139564,"('enjoyable', 'shrimp', 'acceptable')",1,0.001282051282051282
17,"('dish',)",4.0,0.005115089514066497,"('pretty', 'hard')",1.0,0.0012804097311139564,"('shrimp', 'acceptable', 'crab')",1,0.001282051282051282
18,"('sauce',)",4.0,0.005115089514066497,"('runny', 'cream')",1.0,0.0012804097311139564,"('acceptable', 'crab', 'pretty')",1,0.001282051282051282
19,"('asian',)",4.0,0.005115089514066497,"('cream', 'cheese')",1.0,0.0012804097311139564,"('crab', 'pretty', 'hard')",1,0.001282051282051282
20,"('go',)",4.0,0.005115089514066497,"('cheese', 'probably')",1.0,0.0012804097311139564,"('pretty', 'hard', 'mess')",1,0.001282051282051282
21,"('love',)",4.0,0.005115089514066497,"('acceptable', 'crab')",1.0,0.0012804097311139564,"('hard', 'mess', 'nigiri')",1,0.001282051282051282
22,"('tom',)",4.0,0.005115089514066497,"('ive', 'eel')",1.0,0.0012804097311139564,"('mess', 'nigiri', 'good')",1,0.001282051282051282
23,"('waiting',)",4.0,0.005115089514066497,"('probably', 'worst')",1.0,0.0012804097311139564,"('nigiri', 'good', 'even')",1,0.001282051282051282
24,"('ive',)",4.0,0.005115089514066497,"('worst', 'wontons')",1.0,0.0012804097311139564,"('mixture', 'soggy', 'mess')",1,0.001282051282051282
25,"('times',)",4.0,0.005115089514066497,"('wontons', 'middle')",1.0,0.0012804097311139564,"('hint', 'crab', 'mixture')",1,0.001282051282051282
26,"('never',)",4.0,0.005115089514066497,"('shrimp', 'acceptable')",1.0,0.0012804097311139564,"('even', 'fell', 'apart')",1,0.001282051282051282
27,"('customer',)",3.0,0.0038363171355498722,"('enjoyable', 'shrimp')",1.0,0.0012804097311139564,"('much', 'sunset', 'taste')",1,0.001282051282051282
28,"('hard',)",3.0,0.0038363171355498722,"('tnnigiri', 'ive')",1.0,0.0012804097311139564,"('sympathycrab', 'wontons', 'fried')",1,0.001282051282051282
