,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('ban',)",68.0,0.013960172449189078,"('ban', 'ban')",34.0,0.006981519507186858,"('dan', 'dan', 'noodles')",7,0.0014376668720476485
1,"('good',)",66.0,0.013549579141859988,"('pad', 'thai')",22.0,0.004517453798767967,"('tom', 'yum', 'soup')",5,0.0010269049086054631
2,"('delicious',)",52.0,0.010675425990556354,"('fried', 'rice')",15.0,0.003080082135523614,"('dumplings', 'chili', 'oil')",5,0.0010269049086054631
3,"('back',)",47.0,0.009648942722233628,"('drunken', 'noodles')",13.0,0.0026694045174537988,"('ban', 'ban', 'asian')",5,0.0010269049086054631
4,"('restaurant',)",46.0,0.009443646068569083,"('bubble', 'tea')",13.0,0.0026694045174537988,"('shrimp', 'pad', 'thai')",4,0.0008215239268843705
5,"('great',)",42.0,0.008622459453910901,"('first', 'time')",10.0,0.002053388090349076,"('chicken', 'pad', 'thai')",3,0.0006161429451632779
6,"('thai',)",42.0,0.008622459453910901,"('general', 'tsos')",8.0,0.0016427104722792608,"('definitely', 'come', 'back')",3,0.0006161429451632779
7,"('ordered',)",42.0,0.008622459453910901,"('come', 'back')",8.0,0.0016427104722792608,"('ban', 'ban', 'shrimp')",3,0.0006161429451632779
8,"('service',)",39.0,0.008006569492917266,"('ive', 'ever')",8.0,0.0016427104722792608,"('soft', 'shell', 'crab')",3,0.0006161429451632779
9,"('time',)",32.0,0.006569492917265448,"('dan', 'noodles')",8.0,0.0016427104722792608,"('ahi', 'tuna', 'salad')",3,0.0006161429451632779
10,"('noodles',)",29.0,0.005953602956271813,"('coming', 'back')",7.0,0.001437371663244353,"('ordered', 'dan', 'dan')",3,0.0006161429451632779
11,"('friendly',)",29.0,0.005953602956271813,"('mango', 'salad')",7.0,0.001437371663244353,"('pineapple', 'fried', 'rice')",3,0.0006161429451632779
12,"('order',)",27.0,0.005543009648942722,"('red', 'curry')",7.0,0.001437371663244353,"('ordered', 'general', 'tsos')",3,0.0006161429451632779
13,"('pad',)",26.0,0.005337712995278177,"('dan', 'dan')",7.0,0.001437371663244353,"('kimchi', 'fried', 'rice')",3,0.0006161429451632779
14,"('really',)",26.0,0.005337712995278177,"('friendly', 'staff')",7.0,0.001437371663244353,"('ban', 'asian', 'bistro')",3,0.0006161429451632779
15,"('chicken',)",26.0,0.005337712995278177,"('really', 'good')",7.0,0.001437371663244353,"('hassle', 'u', 'turns')",2,0.00041076196344218524
16,"('shrimp',)",26.0,0.005337712995278177,"('go', 'back')",6.0,0.0012320328542094457,"('u', 'turns', 'allowed')",2,0.00041076196344218524
17,"('asian',)",26.0,0.005337712995278177,"('going', 'back')",6.0,0.0012320328542094457,"('entrance', 'pull', 'target')",2,0.00041076196344218524
18,"('came',)",26.0,0.005337712995278177,"('drunken', 'noodle')",6.0,0.0012320328542094457,"('turns', 'allowed', '611')",2,0.00041076196344218524
19,"('nice',)",25.0,0.005132416341613631,"('highly', 'recommend')",6.0,0.0012320328542094457,"('allowed', '611', 'right')",2,0.00041076196344218524
20,"('menu',)",25.0,0.005132416341613631,"('cant', 'wait')",6.0,0.0012320328542094457,"('worth', 'hassle', 'u')",2,0.00041076196344218524
21,"('everything',)",25.0,0.005132416341613631,"('tom', 'yum')",6.0,0.0012320328542094457,"('well', 'worth', 'hassle')",2,0.00041076196344218524
22,"('rice',)",24.0,0.004927119687949086,"('will', 'definitely')",6.0,0.0012320328542094457,"('611', 'right', 'target')",2,0.00041076196344218524
23,"('soup',)",24.0,0.004927119687949086,"('thai', 'tea')",5.0,0.001026694045174538,"('611', 'well', 'worth')",2,0.00041076196344218524
24,"('also',)",24.0,0.004927119687949086,"('wonton', 'soup')",5.0,0.001026694045174538,"('right', 'target', 'entrance')",2,0.00041076196344218524
25,"('fresh',)",24.0,0.004927119687949086,"('definitely', 'recommend')",5.0,0.001026694045174538,"('target', 'entrance', 'pull')",2,0.00041076196344218524
26,"('try',)",24.0,0.004927119687949086,"('yum', 'soup')",5.0,0.001026694045174538,"('south', '611', 'well')",2,0.00041076196344218524
27,"('definitely',)",24.0,0.004927119687949086,"('dumplings', 'chili')",5.0,0.001026694045174538,"('headed', 'south', '611')",2,0.00041076196344218524
28,"('tea',)",23.0,0.004721823034284541,"('chili', 'oil')",5.0,0.001026694045174538,"('pull', 'target', 'turn')",2,0.00041076196344218524
29,"('well',)",23.0,0.004721823034284541,"('service', 'good')",5.0,0.001026694045174538,"('uturn', 'necessary', 'headed')",2,0.00041076196344218524
30,"('like',)",23.0,0.004721823034284541,"('ban', 'asian')",5.0,0.001026694045174538,"('target', 'turn', 'around')",2,0.00041076196344218524
31,"('delivery',)",22.0,0.0045165263806199955,"('fresh', 'delicious')",5.0,0.001026694045174538,"('turn', 'around', 'service')",2,0.00041076196344218524
32,"('ramen',)",22.0,0.0045165263806199955,"('bao', 'buns')",5.0,0.001026694045174538,"('around', 'service', 'also')",2,0.00041076196344218524
33,"('ive',)",21.0,0.0043112297269554505,"('10', 'minutes')",4.0,0.0008213552361396304,"('service', 'also', 'great')",2,0.00041076196344218524
34,"('bubble',)",21.0,0.0043112297269554505,"('thai', 'chinese')",4.0,0.0008213552361396304,"('also', 'great', 'everyone')",2,0.00041076196344218524
35,"('got',)",21.0,0.0043112297269554505,"('mongolian', 'lamb')",4.0,0.0008213552361396304,"('great', 'everyone', 'friendly')",2,0.00041076196344218524
36,"('will',)",21.0,0.0043112297269554505,"('soft', 'shell')",4.0,0.0008213552361396304,"('everyone', 'friendly', 'smiling')",2,0.00041076196344218524
37,"('clean',)",20.0,0.0041059330732909054,"('friendly', 'service')",4.0,0.0008213552361396304,"('friendly', 'smiling', 'interior')",2,0.00041076196344218524
38,"('first',)",20.0,0.0041059330732909054,"('service', 'great')",4.0,0.0008213552361396304,"('smiling', 'interior', 'also')",2,0.00041076196344218524
39,"('pork',)",19.0,0.00390063641962636,"('tonkatsu', 'ramen')",4.0,0.0008213552361396304,"('interior', 'also', 'brand')",2,0.00041076196344218524
40,"('staff',)",19.0,0.00390063641962636,"('lo', 'mein')",4.0,0.0008213552361396304,"('also', 'brand', 'new')",2,0.00041076196344218524
41,"('drunken',)",19.0,0.00390063641962636,"('asian', 'bistro')",4.0,0.0008213552361396304,"('brand', 'new', 'shame')",2,0.00041076196344218524
42,"('best',)",19.0,0.00390063641962636,"('many', 'times')",4.0,0.0008213552361396304,"('new', 'shame', 'ghosts')",2,0.00041076196344218524
43,"('chinese',)",19.0,0.00390063641962636,"('5', 'stars')",4.0,0.0008213552361396304,"('necessary', 'headed', 'south')",2,0.00041076196344218524
44,"('salad',)",18.0,0.003695339765961815,"('bubble', 'teas')",4.0,0.0008213552361396304,"('steamed', 'right', 'parking')",2,0.00041076196344218524
45,"('go',)",18.0,0.003695339765961815,"('pretty', 'good')",4.0,0.0008213552361396304,"('side', 'uturn', 'necessary')",2,0.00041076196344218524
46,"('amazing',)",18.0,0.003695339765961815,"('look', 'forward')",4.0,0.0008213552361396304,"('reason', 'wanted', 'asian')",2,0.00041076196344218524
47,"('fried',)",18.0,0.003695339765961815,"('shrimp', 'pad')",4.0,0.0008213552361396304,"('ive', 'ever', 'crisp')",2,0.00041076196344218524
48,"('im',)",17.0,0.0034900431122972695,"('definitely', 'back')",4.0,0.0008213552361396304,"('ever', 'crisp', 'batter')",2,0.00041076196344218524
49,"('dumplings',)",17.0,0.0034900431122972695,"('tuna', 'salad')",4.0,0.0008213552361396304,"('crisp', 'batter', 'oversauced')",2,0.00041076196344218524
50,"('wait',)",17.0,0.0034900431122972695,"('miso', 'soup')",4.0,0.0008213552361396304,"('batter', 'oversauced', 'overly')",2,0.00041076196344218524
51,"('dishes',)",17.0,0.0034900431122972695,"('definitely', 'order')",4.0,0.0008213552361396304,"('oversauced', 'overly', 'sweet')",2,0.00041076196344218524
52,"('owner',)",17.0,0.0034900431122972695,"('taste', 'like')",3.0,0.0006160164271047228,"('overly', 'sweet', 'loved')",2,0.00041076196344218524
53,"('can',)",16.0,0.003284746458632724,"('mothers', 'day')",3.0,0.0006160164271047228,"('sweet', 'loved', 'touch')",2,0.00041076196344218524
54,"('dan',)",15.0,0.003079449804968179,"('best', 'ive')",3.0,0.0006160164271047228,"('loved', 'touch', 'spice')",2,0.00041076196344218524
55,"('spicy',)",15.0,0.003079449804968179,"('recommend', 'will')",3.0,0.0006160164271047228,"('touch', 'spice', 'seriously')",2,0.00041076196344218524
