,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('order',)",25.0,0.017135023989033583,"('ive', 'tried')",4.0,0.0027434842249657062,"('ordered', 'orange', 'chicken')",2,0.0013726835964310226
1,"('like',)",16.0,0.010966415352981495,"('orange', 'chicken')",3.0,0.00205761316872428,"('avocado', 'cucumber', 'roll')",2,0.0013726835964310226
2,"('chicken',)",15.0,0.01028101439342015,"('delivery', 'guy')",3.0,0.00205761316872428,"('avocado', 'roll', 'pretty')",2,0.0013726835964310226
3,"('chinese',)",14.0,0.009595613433858808,"('took', 'order')",3.0,0.00205761316872428,"('said', 'theyd', 'redeliver')",2,0.0013726835964310226
4,"('ordered',)",13.0,0.008910212474297465,"('sweet', 'sour')",3.0,0.00205761316872428,"('egg', 'drop', 'soup')",2,0.0013726835964310226
5,"('delivery',)",12.0,0.00822481151473612,"('avocado', 'roll')",3.0,0.00205761316872428,"('pork', 'fried', 'rice')",2,0.0013726835964310226
6,"('called',)",12.0,0.00822481151473612,"('order', 'received')",3.0,0.00205761316872428,"('must', 'old', 'menu')",2,0.0013726835964310226
7,"('roll',)",11.0,0.0075394105551747775,"('customer', 'service')",3.0,0.00205761316872428,"('lady', 'took', 'order')",2,0.0013726835964310226
8,"('rude',)",10.0,0.006854009595613434,"('fried', 'rice')",3.0,0.00205761316872428,"('oh', 'im', 'sorrythey')",1,0.0006863417982155113
9,"('said',)",10.0,0.006854009595613434,"('pretty', 'much')",2.0,0.0013717421124828531,"('restaurant', 'delivery', 'super')",1,0.0006863417982155113
10,"('rice',)",9.0,0.00616860863605209,"('3', 'times')",2.0,0.0013717421124828531,"('terrible', 'avocado', 'inside')",1,0.0006863417982155113
11,"('good',)",9.0,0.00616860863605209,"('eat', 'disappointment')",2.0,0.0013717421124828531,"('expected', 'terrible', 'avocado')",1,0.0006863417982155113
12,"('back',)",9.0,0.00616860863605209,"('lady', 'took')",2.0,0.0013717421124828531,"('earlier', 'expected', 'terrible')",1,0.0006863417982155113
13,"('pretty',)",9.0,0.00616860863605209,"('wonton', 'egg')",2.0,0.0013717421124828531,"('quick', 'earlier', 'expected')",1,0.0006863417982155113
14,"('ive',)",9.0,0.00616860863605209,"('nasty', 'mean')",2.0,0.0013717421124828531,"('super', 'quick', 'earlier')",1,0.0006863417982155113
15,"('avocado',)",9.0,0.00616860863605209,"('udon', 'noodles')",2.0,0.0013717421124828531,"('delivery', 'super', 'quick')",1,0.0006863417982155113
16,"('service',)",9.0,0.00616860863605209,"('ok', 'im')",2.0,0.0013717421124828531,"('put', 'overpriced', 'restaurant')",1,0.0006863417982155113
17,"('took',)",8.0,0.0054832076764907475,"('plate', 'roach')",2.0,0.0013717421124828531,"('overpriced', 'restaurant', 'delivery')",1,0.0006863417982155113
18,"('will',)",8.0,0.0054832076764907475,"('called', 'back')",2.0,0.0013717421124828531,"('inside', 'black', 'realized')",1,0.0006863417982155113
19,"('restaurant',)",8.0,0.0054832076764907475,"('thru', 'website')",2.0,0.0013717421124828531,"('stay', 'put', 'overpriced')",1,0.0006863417982155113
