,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",53.0,0.014967523298503248,"('fried', 'rice')",15.0,0.00423728813559322,"('general', 'tso', 'chicken')",5,0.0014128284826222096
1,"('great',)",44.0,0.012425868398757414,"('general', 'tso')",7.0,0.0019774011299435027,"('pork', 'fried', 'rice')",4,0.0011302627860977678
2,"('chicken',)",42.0,0.011861056198813894,"('sweet', 'sour')",7.0,0.0019774011299435027,"('egg', 'drop', 'soup')",3,0.0008476970895733258
3,"('chinese',)",42.0,0.011861056198813894,"('pretty', 'good')",7.0,0.0019774011299435027,"('sweet', 'sour', 'chicken')",3,0.0008476970895733258
4,"('always',)",41.0,0.011578650098842135,"('first', 'time')",6.0,0.001694915254237288,"('great', 'customer', 'service')",2,0.0005651313930488839
5,"('delivery',)",41.0,0.011578650098842135,"('super', 'friendly')",6.0,0.001694915254237288,"('fried', 'rice', 'best')",2,0.0005651313930488839
6,"('order',)",33.0,0.00931940129906806,"('chicken', 'broccoli')",5.0,0.0014124293785310734,"('now', 'mochi', 'balls')",2,0.0005651313930488839
7,"('fresh',)",32.0,0.009036995199096301,"('every', 'time')",5.0,0.0014124293785310734,"('hot', 'sour', 'soup')",2,0.0005651313930488839
8,"('ordered',)",31.0,0.00875458909912454,"('fast', 'delivery')",5.0,0.0014124293785310734,"('chicken', 'lo', 'mein')",2,0.0005651313930488839
9,"('time',)",30.0,0.008472182999152781,"('miso', 'soup')",5.0,0.0014124293785310734,"('delivery', 'super', 'fast')",2,0.0005651313930488839
10,"('roll',)",26.0,0.0073425585992657446,"('crab', 'rangoon')",5.0,0.0014124293785310734,"('3', 'roll', 'special')",2,0.0005651313930488839
11,"('ive',)",25.0,0.007060152499293985,"('lunch', 'specials')",5.0,0.0014124293785310734,"('town', 'country', 'area')",2,0.0005651313930488839
12,"('really',)",25.0,0.007060152499293985,"('come', 'back')",5.0,0.0014124293785310734,"('friendly', 'staff', 'amazing')",2,0.0005651313930488839
13,"('love',)",24.0,0.006777746399322226,"('friendly', 'staff')",5.0,0.0014124293785310734,"('will', 'definitely', 'back')",2,0.0005651313930488839
14,"('like',)",24.0,0.006777746399322226,"('tso', 'chicken')",5.0,0.0014124293785310734,"('staff', 'super', 'friendly')",2,0.0005651313930488839
15,"('rice',)",24.0,0.006777746399322226,"('chicken', 'teriyaki')",5.0,0.0014124293785310734,"('japanese', 'deluxe', 'combination')",2,0.0005651313930488839
16,"('service',)",23.0,0.006495340299350466,"('lo', 'mein')",4.0,0.0011299435028248588,"('chicken', 'fried', 'rice')",2,0.0005651313930488839
17,"('also',)",23.0,0.006495340299350466,"('sesame', 'chicken')",4.0,0.0011299435028248588,"('shrimp', 'fried', 'rice')",2,0.0005651313930488839
