,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",63.0,0.01963840399002494,"('umi', '2')",12.0,0.0037418147801683817,"('spicy', 'salmon', 'roll')",4,0.0012476606363069245
1,"('good',)",55.0,0.017144638403990026,"('west', 'bank')",10.0,0.0031181789834736516,"('staff', 'super', 'friendly')",4,0.0012476606363069245
2,"('great',)",48.0,0.014962593516209476,"('new', 'orleans')",9.0,0.002806361085126286,"('side', 'spicy', 'mayo')",4,0.0012476606363069245
3,"('fresh',)",36.0,0.011221945137157107,"('miso', 'soup')",8.0,0.002494543186778921,"('prices', 'good', 'usually')",3,0.0009357454772301934
4,"('service',)",31.0,0.009663341645885287,"('first', 'time')",6.0,0.0018709073900841909,"('man', 'spicy', 'salmon')",3,0.0009357454772301934
5,"('go',)",27.0,0.00841645885286783,"('service', 'excellent')",5.0,0.0015590894917368258,"('boss', 'man', 'spicy')",3,0.0009357454772301934
6,"('always',)",26.0,0.008104738154613466,"('black', 'gold')",5.0,0.0015590894917368258,"('black', 'gold', 'roll')",3,0.0009357454772301934
7,"('also',)",25.0,0.007793017456359103,"('thanksgiving', 'roll')",5.0,0.0015590894917368258,"('good', 'go', 'week')",3,0.0009357454772301934
8,"('friendly',)",23.0,0.007169576059850374,"('fresh', 'wasabi')",5.0,0.0015590894917368258,"('go', 'week', 'fresh')",3,0.0009357454772301934
9,"('try',)",22.0,0.00685785536159601,"('spicy', 'mayo')",4.0,0.0012472715933894605,"('week', 'fresh', 'quick')",3,0.0009357454772301934
10,"('nice',)",22.0,0.00685785536159601,"('variety', 'always')",4.0,0.0012472715933894605,"('fresh', 'quick', 'good')",3,0.0009357454772301934
11,"('salmon',)",21.0,0.006546134663341646,"('prices', 'good')",4.0,0.0012472715933894605,"('quick', 'good', 'tasting')",3,0.0009357454772301934
12,"('love',)",21.0,0.006546134663341646,"('lunch', 'time')",4.0,0.0012472715933894605,"('good', 'tasting', 'prices')",3,0.0009357454772301934
13,"('best',)",21.0,0.006546134663341646,"('roll', 'rock')",4.0,0.0012472715933894605,"('tasting', 'prices', 'good')",3,0.0009357454772301934
14,"('new',)",21.0,0.006546134663341646,"('side', 'spicy')",4.0,0.0012472715933894605,"('usually', 'stick', 'small')",3,0.0009357454772301934
15,"('really',)",20.0,0.006234413965087282,"('every', 'time')",4.0,0.0012472715933894605,"('salmon', 'roll', 'also')",3,0.0009357454772301934
16,"('like',)",20.0,0.006234413965087282,"('tasted', 'fresh')",4.0,0.0012472715933894605,"('avocado', 'boss', 'man')",3,0.0009357454772301934
17,"('time',)",19.0,0.0059226932668329174,"('spicy', 'salmon')",4.0,0.0012472715933894605,"('stick', 'small', 'variety')",3,0.0009357454772301934
18,"('amazing',)",19.0,0.0059226932668329174,"('roll', 'also')",4.0,0.0012472715933894605,"('small', 'variety', 'always')",3,0.0009357454772301934
19,"('favorite',)",19.0,0.0059226932668329174,"('salmon', 'roll')",4.0,0.0012472715933894605,"('variety', 'always', 'go')",3,0.0009357454772301934
20,"('ordered',)",18.0,0.005610972568578554,"('super', 'friendly')",4.0,0.0012472715933894605,"('always', 'go', 'spicy')",3,0.0009357454772301934
21,"('im',)",18.0,0.005610972568578554,"('noodle', 'salad')",4.0,0.0012472715933894605,"('go', 'spicy', 'crunchy')",3,0.0009357454772301934
22,"('well',)",18.0,0.005610972568578554,"('staff', 'super')",4.0,0.0012472715933894605,"('spicy', 'crunchy', 'tuna')",3,0.0009357454772301934
23,"('umi',)",18.0,0.005610972568578554,"('tuna', 'salmon')",4.0,0.0012472715933894605,"('crunchy', 'tuna', 'rock')",3,0.0009357454772301934
24,"('definitely',)",17.0,0.00529925187032419,"('boy', 'roll')",4.0,0.0012472715933894605,"('tuna', 'rock', 'n')",3,0.0009357454772301934
25,"('salad',)",17.0,0.00529925187032419,"('dont', 'forget')",3.0,0.0009354536950420954,"('rock', 'n', 'roll')",3,0.0009357454772301934
26,"('restaurant',)",16.0,0.004987531172069825,"('best', 'westbank')",3.0,0.0009354536950420954,"('n', 'roll', 'rock')",3,0.0009357454772301934
27,"('pretty',)",16.0,0.004987531172069825,"('ginger', 'dressing')",3.0,0.0009354536950420954,"('roll', 'rock', 'shrimp')",3,0.0009357454772301934
28,"('order',)",15.0,0.0046758104738154616,"('see', 'pretty')",3.0,0.0009354536950420954,"('good', 'usually', 'stick')",3,0.0009357454772301934
29,"('soup',)",15.0,0.0046758104738154616,"('roll', 'black')",3.0,0.0009354536950420954,"('roll', 'also', 'amazing')",3,0.0009357454772301934
30,"('back',)",15.0,0.0046758104738154616,"('walk', 'see')",3.0,0.0009354536950420954,"('shrimp', 'avocado', 'boss')",3,0.0009357454772301934
31,"('staff',)",14.0,0.004364089775561097,"('youll', 'walk')",3.0,0.0009354536950420954,"('youll', 'walk', 'see')",3,0.0009357454772301934
32,"('dont',)",14.0,0.004364089775561097,"('westbank', 'youll')",3.0,0.0009354536950420954,"('sexiest', 'man', 'roll')",3,0.0009357454772301934
33,"('2',)",14.0,0.004364089775561097,"('say', 'best')",3.0,0.0009354536950420954,"('ordered', 'miso', 'soup')",3,0.0009357454772301934
34,"('tuna',)",13.0,0.004052369077306733,"('forget', 'ask')",3.0,0.0009354536950420954,"('take', 'outs', 'try')",3,0.0009357454772301934
35,"('delicious',)",13.0,0.004052369077306733,"('mayo', 'say')",3.0,0.0009354536950420954,"('ton', 'take', 'outs')",3,0.0009357454772301934
36,"('westbank',)",12.0,0.003740648379052369,"('ordered', 'miso')",3.0,0.0009354536950420954,"('empty', 'ton', 'take')",3,0.0009357454772301934
37,"('dinner',)",12.0,0.003740648379052369,"('empty', 'ton')",3.0,0.0009354536950420954,"('pretty', 'empty', 'ton')",3,0.0009357454772301934
38,"('bank',)",12.0,0.003740648379052369,"('last', 'night')",3.0,0.0009354536950420954,"('roll', 'black', 'gold')",3,0.0009357454772301934
39,"('will',)",12.0,0.003740648379052369,"('amazing', 'dont')",3.0,0.0009354536950420954,"('also', 'amazing', 'dont')",3,0.0009357454772301934
40,"('ive',)",12.0,0.003740648379052369,"('ask', 'side')",3.0,0.0009354536950420954,"('walk', 'see', 'pretty')",3,0.0009357454772301934
41,"('spicy',)",11.0,0.003428927680798005,"('pretty', 'empty')",3.0,0.0009354536950420954,"('see', 'pretty', 'empty')",3,0.0009357454772301934
42,"('hibachi',)",11.0,0.003428927680798005,"('definitely', 'back')",3.0,0.0009354536950420954,"('westbank', 'youll', 'walk')",3,0.0009357454772301934
43,"('got',)",11.0,0.003428927680798005,"('ton', 'take')",3.0,0.0009354536950420954,"('best', 'westbank', 'youll')",3,0.0009357454772301934
44,"('rice',)",11.0,0.003428927680798005,"('also', 'amazing')",3.0,0.0009354536950420954,"('say', 'best', 'westbank')",3,0.0009357454772301934
45,"('west',)",11.0,0.003428927680798005,"('sexiest', 'man')",3.0,0.0009354536950420954,"('mayo', 'say', 'best')",3,0.0009357454772301934
46,"('lunch',)",11.0,0.003428927680798005,"('man', 'roll')",3.0,0.0009354536950420954,"('spicy', 'mayo', 'say')",3,0.0009357454772301934
47,"('tried',)",10.0,0.003117206982543641,"('bento', 'box')",3.0,0.0009354536950420954,"('ask', 'side', 'spicy')",3,0.0009357454772301934
48,"('excellent',)",10.0,0.003117206982543641,"('good', 'experience')",3.0,0.0009354536950420954,"('forget', 'ask', 'side')",3,0.0009357454772301934
49,"('night',)",10.0,0.003117206982543641,"('sweet', 'potato')",3.0,0.0009354536950420954,"('dont', 'forget', 'ask')",3,0.0009357454772301934
50,"('usually',)",10.0,0.003117206982543641,"('give', 'try')",3.0,0.0009354536950420954,"('amazing', 'dont', 'forget')",3,0.0009357454772301934
51,"('come',)",10.0,0.003117206982543641,"('friendly', 'attentive')",3.0,0.0009354536950420954,"('rock', 'shrimp', 'avocado')",3,0.0009357454772301934
52,"('sashimi',)",10.0,0.003117206982543641,"('great', 'service')",3.0,0.0009354536950420954,"('will', 'definitely', 'back')",2,0.0006238303181534623
