,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('thai',)",43.0,0.03859964093357271,"('drunken', 'noodles')",7.0,0.006289308176100629,"('perfectly', 'cooked', 'duck')",2,0.0017985611510791368
1,"('curry',)",21.0,0.018850987432675045,"('lemongrass', 'thai')",6.0,0.005390835579514825,"('thai', 'red', 'curry')",2,0.0017985611510791368
2,"('great',)",18.0,0.01615798922800718,"('best', 'thai')",5.0,0.004492362982929021,"('fresh', 'spring', 'roll')",2,0.0017985611510791368
3,"('good',)",18.0,0.01615798922800718,"('tom', 'kha')",5.0,0.004492362982929021,"('thai', 'steamed', 'fresh')",2,0.0017985611510791368
4,"('service',)",15.0,0.013464991023339317,"('red', 'curry')",5.0,0.004492362982929021,"('steamed', 'fresh', 'spring')",2,0.0017985611510791368
5,"('best',)",13.0,0.011669658886894075,"('pad', 'thai')",5.0,0.004492362982929021,"('every', 'thai', 'restaurant')",2,0.0017985611510791368
6,"('duck',)",11.0,0.009874326750448833,"('duck', 'curry')",4.0,0.0035938903863432167,"('hung', 'ray', 'curry')",2,0.0017985611510791368
7,"('noodles',)",9.0,0.00807899461400359,"('papaya', 'salad')",4.0,0.0035938903863432167,"('best', 'tom', 'kha')",2,0.0017985611510791368
8,"('nashville',)",9.0,0.00807899461400359,"('thai', 'restaurant')",4.0,0.0035938903863432167,"('fantastic', 'friend', 'two')",1,0.0008992805755395684
9,"('fresh',)",9.0,0.00807899461400359,"('hung', 'ray')",4.0,0.0035938903863432167,"('flavors', 'exactly', 'want')",1,0.0008992805755395684
10,"('delicious',)",9.0,0.00807899461400359,"('fresh', 'spring')",3.0,0.0026954177897574125,"('want', 'thai', 'cuisine')",1,0.0008992805755395684
11,"('dish',)",9.0,0.00807899461400359,"('perfectly', 'cooked')",3.0,0.0026954177897574125,"('exactly', 'want', 'thai')",1,0.0008992805755395684
12,"('like',)",9.0,0.00807899461400359,"('spicy', 'basil')",3.0,0.0026954177897574125,"('punch', 'face', 'flavors')",1,0.0008992805755395684
13,"('spicy',)",9.0,0.00807899461400359,"('good', 'thai')",3.0,0.0026954177897574125,"('face', 'flavors', 'exactly')",1,0.0008992805755395684
