,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",32.0,0.026359143327841845,"('fried', 'rice')",5.0,0.004122011541632316,"('chicken', 'fried', 'rice')",4,0.0033003300330033004
1,"('good',)",20.0,0.016474464579901153,"('spicy', 'tuna')",5.0,0.004122011541632316,"('las', 'vegas', 'roll')",3,0.0024752475247524753
2,"('time',)",17.0,0.01400329489291598,"('tegry', 'bistro')",4.0,0.0032976092333058533,"('looked', 'good', 'tasted')",2,0.0016501650165016502
3,"('service',)",16.0,0.013179571663920923,"('las', 'vegas')",4.0,0.0032976092333058533,"('good', 'tasted', 'great')",2,0.0016501650165016502
4,"('great',)",15.0,0.012355848434925865,"('chicken', 'fried')",4.0,0.0032976092333058533,"('crunch', 'spicy', 'tuna')",2,0.0016501650165016502
5,"('fried',)",12.0,0.009884678747940691,"('spider', 'roll')",3.0,0.00247320692497939,"('heidi', 'ho', 'roll')",2,0.0016501650165016502
6,"('tegry',)",11.0,0.009060955518945634,"('vegas', 'roll')",3.0,0.00247320692497939,"('roll', 'spider', 'roll')",2,0.0016501650165016502
7,"('go',)",11.0,0.009060955518945634,"('long', 'time')",3.0,0.00247320692497939,"('overall', '4', 'great')",1,0.0008250825082508251
8,"('love',)",10.0,0.008237232289950576,"('heidi', 'ho')",3.0,0.00247320692497939,"('hard', 'believe', 'brownsburg')",1,0.0008250825082508251
9,"('best',)",9.0,0.007413509060955519,"('green', 'tea')",3.0,0.00247320692497939,"('time', 'im', 'running')",1,0.0008250825082508251
10,"('spicy',)",9.0,0.007413509060955519,"('go', 'back')",3.0,0.00247320692497939,"('next', 'time', 'im')",1,0.0008250825082508251
11,"('order',)",8.0,0.006589785831960461,"('volcano', 'roll')",3.0,0.00247320692497939,"('brownsburg', 'next', 'time')",1,0.0008250825082508251
12,"('little',)",8.0,0.006589785831960461,"('ive', 'ever')",2.0,0.0016488046166529267,"('believe', 'brownsburg', 'next')",1,0.0008250825082508251
13,"('im',)",8.0,0.006589785831960461,"('first', 'time')",2.0,0.0016488046166529267,"('alone', 'kinda', 'hard')",1,0.0008250825082508251
14,"('ive',)",7.0,0.005766062602965404,"('anywhere', 'else')",2.0,0.0016488046166529267,"('kinda', 'hard', 'believe')",1,0.0008250825082508251
15,"('fresh',)",7.0,0.005766062602965404,"('sat', 'bar')",2.0,0.0016488046166529267,"('since', 'alone', 'kinda')",1,0.0008250825082508251
16,"('tuna',)",7.0,0.005766062602965404,"('super', 'spider')",2.0,0.0016488046166529267,"('look', 'since', 'alone')",1,0.0008250825082508251
17,"('bit',)",7.0,0.005766062602965404,"('much', 'service')",2.0,0.0016488046166529267,"('something', 'look', 'since')",1,0.0008250825082508251
18,"('rice',)",7.0,0.005766062602965404,"('3way', 'sauce')",2.0,0.0016488046166529267,"('gave', 'something', 'look')",1,0.0008250825082508251
19,"('always',)",7.0,0.005766062602965404,"('looked', 'good')",2.0,0.0016488046166529267,"('im', 'running', 'errands')",1,0.0008250825082508251
20,"('brownsburg',)",7.0,0.005766062602965404,"('tasted', 'great')",2.0,0.0016488046166529267,"('errands', 'area', 'will')",1,0.0008250825082508251
21,"('ever',)",7.0,0.005766062602965404,"('coming', 'since')",2.0,0.0016488046166529267,"('running', 'errands', 'area')",1,0.0008250825082508251
22,"('get',)",7.0,0.005766062602965404,"('im', 'used')",2.0,0.0016488046166529267,"('mute', 'plus', 'gave')",1,0.0008250825082508251
23,"('since',)",7.0,0.005766062602965404,"('roll', 'spider')",2.0,0.0016488046166529267,"('anywhere', 'else', 'metro')",1,0.0008250825082508251
24,"('restaurant',)",6.0,0.004942339373970346,"('years', 'ago')",2.0,0.0016488046166529267,"('better', 'anywhere', 'else')",1,0.0008250825082508251
25,"('will',)",6.0,0.004942339373970346,"('ive', 'lot')",2.0,0.0016488046166529267,"('find', 'better', 'anywhere')",1,0.0008250825082508251
26,"('try',)",6.0,0.004942339373970346,"('great', 'price')",2.0,0.0016488046166529267,"('youll', 'find', 'better')",1,0.0008250825082508251
27,"('nice',)",6.0,0.004942339373970346,"('roll', 'amazing')",2.0,0.0016488046166529267,"('think', 'youll', 'find')",1,0.0008250825082508251
28,"('super',)",6.0,0.004942339373970346,"('ho', 'roll')",2.0,0.0016488046166529267,"('dont', 'think', 'youll')",1,0.0008250825082508251
29,"('favorite',)",6.0,0.004942339373970346,"('good', 'time')",2.0,0.0016488046166529267,"('mood', 'dont', 'think')",1,0.0008250825082508251
30,"('amazing',)",6.0,0.004942339373970346,"('use', 'little')",2.0,0.0016488046166529267,"('youre', 'mood', 'dont')",1,0.0008250825082508251
31,"('side',)",6.0,0.004942339373970346,"('orange', 'blossom')",2.0,0.0016488046166529267,"('dinner', 'youre', 'mood')",1,0.0008250825082508251
32,"('got',)",5.0,0.004118616144975288,"('roll', 'spicy')",2.0,0.0016488046166529267,"('hopefully', 'dinner', 'youre')",1,0.0008250825082508251
33,"('sauce',)",5.0,0.004118616144975288,"('roll', '15')",2.0,0.0016488046166529267,"('back', 'hopefully', 'dinner')",1,0.0008250825082508251
34,"('though',)",5.0,0.004118616144975288,"('ordered', '2')",2.0,0.0016488046166529267,"('go', 'back', 'hopefully')",1,0.0008250825082508251
35,"('back',)",5.0,0.004118616144975288,"('decently', 'priced')",2.0,0.0016488046166529267,"('definitely', 'go', 'back')",1,0.0008250825082508251
36,"('atmosphere',)",5.0,0.004118616144975288,"('miso', 'soup')",2.0,0.0016488046166529267,"('will', 'definitely', 'go')",1,0.0008250825082508251
37,"('chicken',)",5.0,0.004118616144975288,"('will', 'back')",2.0,0.0016488046166529267,"('area', 'will', 'definitely')",1,0.0008250825082508251
38,"('3',)",5.0,0.004118616144975288,"('good', 'tasted')",2.0,0.0016488046166529267,"('plus', 'gave', 'something')",1,0.0008250825082508251
39,"('fair',)",5.0,0.004118616144975288,"('dynamite', 'roll')",2.0,0.0016488046166529267,"('fair', 'mute', 'plus')",1,0.0008250825082508251
40,"('lot',)",5.0,0.004118616144975288,"('good', 'meal')",2.0,0.0016488046166529267,"('metro', 'indy', 'tegrys')",1,0.0008250825082508251
41,"('hard',)",5.0,0.004118616144975288,"('right', 'away')",2.0,0.0016488046166529267,"('time', 'total', 'bill')",1,0.0008250825082508251
