,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('thai',)",40.0,0.02700877785280216,"('ban', 'thai')",14.0,0.00945945945945946,"('spicy', 'tuna', 'roll')",3,0.002028397565922921
1,"('ordered',)",20.0,0.01350438892640108,"('tasted', 'like')",6.0,0.004054054054054054,"('garlic', 'black', 'pepper')",3,0.002028397565922921
2,"('ban',)",15.0,0.01012829169480081,"('pad', 'thai')",5.0,0.0033783783783783786,"('ban', 'thai', 'used')",3,0.002028397565922921
3,"('roll',)",12.0,0.008102633355840648,"('used', 'favorite')",4.0,0.002702702702702703,"('asian', 'bistro', 'across')",2,0.001352265043948614
4,"('restaurant',)",12.0,0.008102633355840648,"('fish', 'oil')",3.0,0.002027027027027027,"('never', 'go', 'back')",2,0.001352265043948614
5,"('beef',)",12.0,0.008102633355840648,"('spicy', 'tuna')",3.0,0.002027027027027027,"('sabai', 'asian', 'bistro')",2,0.001352265043948614
6,"('good',)",12.0,0.008102633355840648,"('great', 'reviews')",3.0,0.002027027027027027,"('bistro', 'across', 'street')",2,0.001352265043948614
7,"('like',)",10.0,0.00675219446320054,"('thai', 'used')",3.0,0.002027027027027027,"('hot', 'crispy', 'tiny')",1,0.000676132521974307
8,"('chicken',)",10.0,0.00675219446320054,"('tuna', 'roll')",3.0,0.002027027027027027,"('get', 'judging', 'mass')",1,0.000676132521974307
9,"('will',)",10.0,0.00675219446320054,"('tastes', 'like')",3.0,0.002027027027027027,"('overpriced', 'get', 'judging')",1,0.000676132521974307
10,"('vegetarian',)",9.0,0.006076975016880486,"('garlic', 'black')",3.0,0.002027027027027027,"('ridiculously', 'overpriced', 'get')",1,0.000676132521974307
11,"('tasted',)",9.0,0.006076975016880486,"('black', 'pepper')",3.0,0.002027027027027027,"('actually', 'ridiculously', 'overpriced')",1,0.000676132521974307
12,"('flavor',)",9.0,0.006076975016880486,"('yum', 'seafood')",2.0,0.0013513513513513514,"('395', 'actually', 'ridiculously')",1,0.000676132521974307
13,"('order',)",8.0,0.0054017555705604325,"('looking', 'thai')",2.0,0.0013513513513513514,"('tiny', '395', 'actually')",1,0.000676132521974307
14,"('favorite',)",8.0,0.0054017555705604325,"('now', 'will')",2.0,0.0013513513513513514,"('crispy', 'tiny', '395')",1,0.000676132521974307
15,"('back',)",8.0,0.0054017555705604325,"('back', 'ordered')",2.0,0.0013513513513513514,"('great', 'atmosphere', 'especially')",1,0.000676132521974307
16,"('go',)",8.0,0.0054017555705604325,"('peanut', 'chicken')",2.0,0.0013513513513513514,"('arrived', 'hot', 'crispy')",1,0.000676132521974307
17,"('even',)",8.0,0.0054017555705604325,"('garlic', 'beef')",2.0,0.0013513513513513514,"('egg', 'arrived', 'hot')",1,0.000676132521974307
18,"('used',)",7.0,0.004726536124240378,"('beef', 'pepper')",2.0,0.0013513513513513514,"('vegetable', 'egg', 'arrived')",1,0.000676132521974307
19,"('garlic',)",7.0,0.004726536124240378,"('go', 'back')",2.0,0.0013513513513513514,"('available', 'vegetable', 'egg')",1,0.000676132521974307
20,"('plate',)",7.0,0.004726536124240378,"('never', 'go')",2.0,0.0013513513513513514,"('egg', 'available', 'vegetable')",1,0.000676132521974307
21,"('ive',)",7.0,0.004726536124240378,"('going', 'years')",2.0,0.0013513513513513514,"('get', 'egg', 'available')",1,0.000676132521974307
22,"('health',)",7.0,0.004726536124240378,"('salmon', 'panang')",2.0,0.0013513513513513514,"('always', 'get', 'egg')",1,0.000676132521974307
23,"('violations',)",7.0,0.004726536124240378,"('vegetarian', 'menu')",2.0,0.0013513513513513514,"('thaii', 'always', 'get')",1,0.000676132521974307
24,"('lot',)",6.0,0.004051316677920324,"('took', 'plate')",2.0,0.0013513513513513514,"('ban', 'thaii', 'always')",1,0.000676132521974307
25,"('now',)",6.0,0.004051316677920324,"('cashew', 'chicken')",2.0,0.0013513513513513514,"('judging', 'mass', 'stringy')",1,0.000676132521974307
26,"('vegetables',)",6.0,0.004051316677920324,"('health', 'code')",2.0,0.0013513513513513514,"('chewy', 'shreds', 'vegetable')",1,0.000676132521974307
27,"('menu',)",6.0,0.004051316677920324,"('roll', 'bland')",2.0,0.0013513513513513514,"('mass', 'stringy', 'chewy')",1,0.000676132521974307
28,"('many',)",6.0,0.004051316677920324,"('ordered', 'beef')",2.0,0.0013513513513513514,"('stringy', 'chewy', 'shreds')",1,0.000676132521974307
29,"('great',)",6.0,0.004051316677920324,"('wont', 'returning')",2.0,0.0013513513513513514,"('tasteless', 'watery', 'vegetables')",1,0.000676132521974307
30,"('asked',)",6.0,0.004051316677920324,"('ordered', 'spring')",2.0,0.0013513513513513514,"('mass', 'tasteless', 'watery')",1,0.000676132521974307
31,"('said',)",5.0,0.00337609723160027,"('watery', 'vegetables')",2.0,0.0013513513513513514,"('table', 'mass', 'tasteless')",1,0.000676132521974307
32,"('reviews',)",5.0,0.00337609723160027,"('reading', 'violations')",2.0,0.0013513513513513514,"('appeared', 'table', 'mass')",1,0.000676132521974307
33,"('pepper',)",5.0,0.00337609723160027,"('across', 'street')",2.0,0.0013513513513513514,"('pepper', 'appeared', 'table')",1,0.000676132521974307
34,"('dishes',)",5.0,0.00337609723160027,"('bistro', 'across')",2.0,0.0013513513513513514,"('black', 'pepper', 'appeared')",1,0.000676132521974307
35,"('friend',)",5.0,0.00337609723160027,"('asian', 'bistro')",2.0,0.0013513513513513514,"('shrimp', 'garlic', 'black')",1,0.000676132521974307
36,"('tuna',)",5.0,0.00337609723160027,"('sabai', 'asian')",2.0,0.0013513513513513514,"('ordered', 'shrimp', 'garlic')",1,0.000676132521974307
37,"('didnt',)",5.0,0.00337609723160027,"('completely', 'different')",2.0,0.0013513513513513514,"('tonight', 'ordered', 'shrimp')",1,0.000676132521974307
38,"('years',)",5.0,0.00337609723160027,"('water', 'plate')",2.0,0.0013513513513513514,"('made', 'tonight', 'ordered')",1,0.000676132521974307
39,"('dont',)",5.0,0.00337609723160027,"('grouper', 'garlic')",2.0,0.0013513513513513514,"('wonder', 'made', 'tonight')",1,0.000676132521974307
40,"('noodles',)",5.0,0.00337609723160027,"('chicken', 'tasted')",2.0,0.0013513513513513514,"('teeth', 'wonder', 'made')",1,0.000676132521974307
41,"('also',)",5.0,0.00337609723160027,"('definitely', 'better')",2.0,0.0013513513513513514,"('crooks', 'teeth', 'wonder')",1,0.000676132521974307
42,"('waitress',)",5.0,0.00337609723160027,"('many', 'thai')",2.0,0.0013513513513513514,"('embedded', 'crooks', 'teeth')",1,0.000676132521974307
43,"('going',)",5.0,0.00337609723160027,"('thai', 'restaurants')",2.0,0.0013513513513513514,"('deeply', 'embedded', 'crooks')",1,0.000676132521974307
44,"('items',)",5.0,0.00337609723160027,"('seemed', 'bit')",2.0,0.0013513513513513514,"('matter', 'deeply', 'embedded')",1,0.000676132521974307
