,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('thai',)",128.0,0.034529268950633935,"('pad', 'thai')",25.0,0.006745817593092283,"('chicken', 'pad', 'thai')",4,0.0010796221322537112
1,"('great',)",50.0,0.013487995683841382,"('jasmine', 'thai')",22.0,0.0059363194819212085,"('pad', 'thai', 'chicken')",4,0.0010796221322537112
2,"('good',)",50.0,0.013487995683841382,"('thai', 'restaurant')",10.0,0.002698327037236913,"('coconut', 'ice', 'cream')",3,0.0008097165991902834
3,"('curry',)",40.0,0.010790396547073105,"('thai', 'hot')",10.0,0.002698327037236913,"('jasmine', 'thai', 'restaurant')",3,0.0008097165991902834
4,"('chicken',)",36.0,0.009711356892365795,"('green', 'curry')",7.0,0.0018888289260658392,"('tuna', 'lava', 'roll')",3,0.0008097165991902834
5,"('service',)",32.0,0.008632317237658484,"('pretty', 'good')",6.0,0.0016189962223421479,"('spicy', 'tuna', 'lava')",3,0.0008097165991902834
6,"('restaurant',)",32.0,0.008632317237658484,"('south', 'tampa')",6.0,0.0016189962223421479,"('order', 'pad', 'thai')",2,0.0005398110661268556
7,"('roll',)",32.0,0.008632317237658484,"('best', 'thai')",6.0,0.0016189962223421479,"('pad', 'thai', 'green')",2,0.0005398110661268556
8,"('pad',)",31.0,0.008362557323981657,"('lunch', 'specials')",5.0,0.0013491635186184566,"('thai', 'green', 'curry')",2,0.0005398110661268556
9,"('lunch',)",31.0,0.008362557323981657,"('spicy', 'tuna')",5.0,0.0013491635186184566,"('pad', 'thai', 'excellent')",2,0.0005398110661268556
10,"('ive',)",29.0,0.007823037496628,"('chicken', 'pad')",5.0,0.0013491635186184566,"('thai', 'will', 'definitely')",2,0.0005398110661268556
11,"('delicious',)",28.0,0.007553277582951173,"('egg', 'roll')",5.0,0.0013491635186184566,"('roll', 'lunch', 'entree')",2,0.0005398110661268556
12,"('soup',)",28.0,0.007553277582951173,"('will', 'definitely')",5.0,0.0013491635186184566,"('every', 'time', 'come')",2,0.0005398110661268556
13,"('jasmine',)",28.0,0.007553277582951173,"('will', 'back')",4.0,0.0010793308148947653,"('jasmine', 'thai', 'can')",2,0.0005398110661268556
14,"('like',)",27.0,0.007283517669274346,"('red', 'curry')",4.0,0.0010793308148947653,"('thai', 'perfectly', 'cooked')",2,0.0005398110661268556
15,"('always',)",25.0,0.006743997841920691,"('tuna', 'lava')",4.0,0.0010793308148947653,"('pad', 'see', 'ew')",2,0.0005398110661268556
16,"('will',)",23.0,0.006204478014567035,"('pineapple', 'curry')",4.0,0.0010793308148947653,"('pad', 'thai', 'perfectly')",2,0.0005398110661268556
17,"('best',)",23.0,0.006204478014567035,"('service', 'quick')",4.0,0.0010793308148947653,"('pad', 'thai', 'good')",2,0.0005398110661268556
18,"('tampa',)",23.0,0.006204478014567035,"('coconut', 'ice')",4.0,0.0010793308148947653,"('tom', 'ka', 'soup')",2,0.0005398110661268556
19,"('friendly',)",22.0,0.005934718100890208,"('first', 'time')",4.0,0.0010793308148947653,"('jasmine', 'thai', 'great')",2,0.0005398110661268556
20,"('time',)",21.0,0.00566495818721338,"('favorite', 'thai')",4.0,0.0010793308148947653,"('thai', 'iced', 'tea')",2,0.0005398110661268556
21,"('nice',)",21.0,0.00566495818721338,"('thai', 'chicken')",4.0,0.0010793308148947653,"('best', 'green', 'curry')",2,0.0005398110661268556
22,"('hot',)",21.0,0.00566495818721338,"('staff', 'friendly')",4.0,0.0010793308148947653,"('green', 'curry', 'ive')",2,0.0005398110661268556
23,"('also',)",20.0,0.005395198273536552,"('go', 'back')",4.0,0.0010793308148947653,"('pineapple', 'fried', 'rice')",2,0.0005398110661268556
24,"('go',)",20.0,0.005395198273536552,"('times', 'always')",4.0,0.0010793308148947653,"('tom', 'yum', 'soup')",2,0.0005398110661268556
25,"('fresh',)",19.0,0.005125438359859725,"('peanut', 'sauce')",4.0,0.0010793308148947653,"('chicken', 'pineapple', 'curry')",2,0.0005398110661268556
26,"('spicy',)",19.0,0.005125438359859725,"('every', 'time')",4.0,0.0010793308148947653,"('go', 'back', 'try')",2,0.0005398110661268556
27,"('well',)",19.0,0.005125438359859725,"('service', 'excellent')",4.0,0.0010793308148947653,"('mango', 'tango', 'roll')",2,0.0005398110661268556
28,"('staff',)",19.0,0.005125438359859725,"('lunch', 'special')",4.0,0.0010793308148947653,"('thai', 'restaurant', 'town')",2,0.0005398110661268556
29,"('try',)",18.0,0.0048556784461828975,"('really', 'good')",4.0,0.0010793308148947653,"('three', 'friends', 'curry')",2,0.0005398110661268556
30,"('back',)",18.0,0.0048556784461828975,"('great', 'service')",4.0,0.0010793308148947653,"('cant', 'wait', 'go')",2,0.0005398110661268556
