,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('order',)",30.0,0.015544041450777202,"('bubble', 'tea')",8.0,0.00414722654224987,"('wont', 'going', 'back')",2,0.001037344398340249
1,"('back',)",22.0,0.011398963730569948,"('go', 'back')",5.0,0.002592016588906169,"('never', 'go', 'back')",2,0.001037344398340249
2,"('time',)",22.0,0.011398963730569948,"('first', 'time')",4.0,0.002073613271124935,"('returned', 'fried', 'request')",1,0.0005186721991701245
3,"('tea',)",15.0,0.007772020725388601,"('behind', 'counter')",4.0,0.002073613271124935,"('blank', 'stare', 'usually')",1,0.0005186721991701245
4,"('teriyaki',)",14.0,0.007253886010362694,"('20', 'minutes')",3.0,0.0015552099533437014,"('firstly', 'order', 'incomplete')",1,0.0005186721991701245
5,"('said',)",14.0,0.007253886010362694,"('boba', 'tea')",3.0,0.0015552099533437014,"('dash', 'firstly', 'order')",1,0.0005186721991701245
6,"('go',)",14.0,0.007253886010362694,"('placed', 'order')",3.0,0.0015552099533437014,"('door', 'dash', 'firstly')",1,0.0005186721991701245
7,"('gyoza',)",14.0,0.007253886010362694,"('every', 'time')",3.0,0.0015552099533437014,"('using', 'door', 'dash')",1,0.0005186721991701245
8,"('ordered',)",13.0,0.006735751295336788,"('online', 'menu')",3.0,0.0015552099533437014,"('ordered', 'using', 'door')",1,0.0005186721991701245
9,"('good',)",13.0,0.006735751295336788,"('wont', 'back')",3.0,0.0015552099533437014,"('time', 'ordered', 'using')",1,0.0005186721991701245
10,"('like',)",13.0,0.006735751295336788,"('customer', 'service')",3.0,0.0015552099533437014,"('first', 'time', 'ordered')",1,0.0005186721991701245
11,"('told',)",12.0,0.0062176165803108805,"('meat', 'rice')",2.0,0.0010368066355624676,"('fairview', 'first', 'time')",1,0.0005186721991701245
12,"('get',)",12.0,0.0062176165803108805,"('order', 'taker')",2.0,0.0010368066355624676,"('location', 'fairview', 'first')",1,0.0005186721991701245
13,"('chicken',)",11.0,0.005699481865284974,"('close', '9')",2.0,0.0010368066355624676,"('visit', 'location', 'fairview')",1,0.0005186721991701245
14,"('im',)",10.0,0.0051813471502590676,"('never', 'go')",2.0,0.0010368066355624676,"('usually', 'visit', 'location')",1,0.0005186721991701245
15,"('make',)",10.0,0.0051813471502590676,"('took', 'order')",2.0,0.0010368066355624676,"('stare', 'usually', 'visit')",1,0.0005186721991701245
16,"('service',)",10.0,0.0051813471502590676,"('people', 'come')",2.0,0.0010368066355624676,"('apologize', 'blank', 'stare')",1,0.0005186721991701245
17,"('got',)",10.0,0.0051813471502590676,"('panda', 'express')",2.0,0.0010368066355624676,"('incomplete', 'ordered', 'chicken')",1,0.0005186721991701245
18,"('bubble',)",9.0,0.00466321243523316,"('manager', 'call')",2.0,0.0010368066355624676,"('even', 'apologize', 'blank')",1,0.0005186721991701245
19,"('didnt',)",9.0,0.00466321243523316,"('extra', 'sauce')",2.0,0.0010368066355624676,"('didnt', 'even', 'apologize')",1,0.0005186721991701245
20,"('asked',)",9.0,0.00466321243523316,"('delivery', 'order')",2.0,0.0010368066355624676,"('solutions', 'didnt', 'even')",1,0.0005186721991701245
21,"('come',)",9.0,0.00466321243523316,"('loyal', 'customer')",2.0,0.0010368066355624676,"('notepad', 'solutions', 'didnt')",1,0.0005186721991701245
22,"('still',)",9.0,0.00466321243523316,"('gyoza', 'japanese')",2.0,0.0010368066355624676,"('sitting', 'notepad', 'solutions')",1,0.0005186721991701245
23,"('even',)",9.0,0.00466321243523316,"('come', 'back')",2.0,0.0010368066355624676,"('order', 'sitting', 'notepad')",1,0.0005186721991701245
24,"('location',)",9.0,0.00466321243523316,"('veggie', 'gyoza')",2.0,0.0010368066355624676,"('placed', 'order', 'sitting')",1,0.0005186721991701245
25,"('dont',)",9.0,0.00466321243523316,"('order', 'asked')",2.0,0.0010368066355624676,"('even', 'placed', 'order')",1,0.0005186721991701245
26,"('went',)",9.0,0.00466321243523316,"('coming', 'back')",2.0,0.0010368066355624676,"('hadnt', 'even', 'placed')",1,0.0005186721991701245
