,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('service',)",20.0,0.01702127659574468,"('service', 'terrible')",4.0,0.0034071550255536627,"('ice', 'cream', 'good')",2,0.0017050298380221654
1,"('good',)",16.0,0.013617021276595745,"('ice', 'cream')",4.0,0.0034071550255536627,"('walk', 'away', 'didnt')",2,0.0017050298380221654
2,"('us',)",14.0,0.011914893617021277,"('10', 'minutes')",4.0,0.0034071550255536627,"('werent', 'worth', 'itthe')",2,0.0017050298380221654
3,"('order',)",14.0,0.011914893617021277,"('can', 'eat')",3.0,0.002555366269165247,"('terrible', 'friends', 'standing')",1,0.0008525149190110827
4,"('never',)",11.0,0.009361702127659575,"('worth', 'itthe')",3.0,0.002555366269165247,"('5', 'minutes', 'help')",1,0.0008525149190110827
5,"('quality',)",10.0,0.00851063829787234,"('much', 'rice')",3.0,0.002555366269165247,"('like', '5', 'minutes')",1,0.0008525149190110827
6,"('like',)",10.0,0.00851063829787234,"('last', 'first')",2.0,0.0017035775127768314,"('door', 'like', '5')",1,0.0008525149190110827
7,"('eat',)",9.0,0.007659574468085106,"('poor', 'quality')",2.0,0.0017035775127768314,"('front', 'door', 'like')",1,0.0008525149190110827
8,"('minutes',)",9.0,0.007659574468085106,"('eat', 'restaurant')",2.0,0.0017035775127768314,"('standing', 'front', 'door')",1,0.0008525149190110827
9,"('come',)",9.0,0.007659574468085106,"('worst', 'ever')",2.0,0.0017035775127768314,"('friends', 'standing', 'front')",1,0.0008525149190110827
10,"('get',)",8.0,0.006808510638297872,"('first', 'time')",2.0,0.0017035775127768314,"('service', 'terrible', 'friends')",1,0.0008525149190110827
11,"('asked',)",8.0,0.006808510638297872,"('cant', 'believe')",2.0,0.0017035775127768314,"('help', 'saw', 'waitress')",1,0.0008525149190110827
12,"('got',)",8.0,0.006808510638297872,"('walk', 'away')",2.0,0.0017035775127768314,"('enough', 'service', 'terrible')",1,0.0008525149190110827
13,"('wasnt',)",8.0,0.006808510638297872,"('away', 'didnt')",2.0,0.0017035775127768314,"('absolutely', 'enough', 'service')",1,0.0008525149190110827
14,"('will',)",8.0,0.006808510638297872,"('didnt', 'even')",2.0,0.0017035775127768314,"('table', 'absolutely', 'enough')",1,0.0008525149190110827
15,"('ayce',)",8.0,0.006808510638297872,"('piece', 'plastic')",2.0,0.0017035775127768314,"('distance', 'table', 'absolutely')",1,0.0008525149190110827
16,"('say',)",7.0,0.005957446808510639,"('better', 'quality')",2.0,0.0017035775127768314,"('rule', 'distance', 'table')",1,0.0008525149190110827
17,"('table',)",7.0,0.005957446808510639,"('came', 'table')",2.0,0.0017035775127768314,"('distance', 'rule', 'distance')",1,0.0008525149190110827
18,"('can',)",7.0,0.005957446808510639,"('young', 'lady')",2.0,0.0017035775127768314,"('minutes', 'help', 'saw')",1,0.0008525149190110827
19,"('first',)",7.0,0.005957446808510639,"('come', 'back')",2.0,0.0017035775127768314,"('saw', 'waitress', 'standing')",1,0.0008525149190110827
20,"('tuna',)",7.0,0.005957446808510639,"('worker', 'speak')",2.0,0.0017035775127768314,"('didnt', 'follow', 'distance')",1,0.0008525149190110827
21,"('even',)",7.0,0.005957446808510639,"('cream', 'good')",2.0,0.0017035775127768314,"('say', 'hello', 'us')",1,0.0008525149190110827
22,"('restaurant',)",7.0,0.005957446808510639,"('ayce', 'spots')",2.0,0.0017035775127768314,"('ruined', 'day', 'left')",1,0.0008525149190110827
23,"('came',)",7.0,0.005957446808510639,"('health', 'safety')",2.0,0.0017035775127768314,"('totally', 'ruined', 'day')",1,0.0008525149190110827
24,"('terrible',)",6.0,0.005106382978723404,"('second', 'papers')",2.0,0.0017035775127768314,"('disappointed', 'totally', 'ruined')",1,0.0008525149190110827
25,"('didnt',)",6.0,0.005106382978723404,"('even', 'say')",2.0,0.0017035775127768314,"('really', 'disappointed', 'totally')",1,0.0008525149190110827
26,"('worst',)",6.0,0.005106382978723404,"('worst', 'service')",2.0,0.0017035775127768314,"('us', 'really', 'disappointed')",1,0.0008525149190110827
27,"('round',)",6.0,0.005106382978723404,"('gi', 'symptoms')",2.0,0.0017035775127768314,"('hello', 'us', 'really')",1,0.0008525149190110827
28,"('time',)",6.0,0.005106382978723404,"('good', 'reviews')",2.0,0.0017035775127768314,"('even', 'say', 'hello')",1,0.0008525149190110827
29,"('rice',)",6.0,0.005106382978723404,"('give', 'good')",2.0,0.0017035775127768314,"('waitress', 'standing', 'behind')",1,0.0008525149190110827
30,"('drinks',)",6.0,0.005106382978723404,"('bad', 'service')",2.0,0.0017035775127768314,"('didnt', 'even', 'say')",1,0.0008525149190110827
31,"('waited',)",5.0,0.00425531914893617,"('placed', 'order')",2.0,0.0017035775127768314,"('dest', 'didnt', 'even')",1,0.0008525149190110827
32,"('second',)",5.0,0.00425531914893617,"('werent', 'worth')",2.0,0.0017035775127768314,"('front', 'dest', 'didnt')",1,0.0008525149190110827
33,"('back',)",5.0,0.00425531914893617,"('extremely', 'disappointed')",2.0,0.0017035775127768314,"('behind', 'front', 'dest')",1,0.0008525149190110827
34,"('much',)",5.0,0.00425531914893617,"('wasnt', 'worth')",2.0,0.0017035775127768314,"('behind', 'behind', 'front')",1,0.0008525149190110827
35,"('ever',)",5.0,0.00425531914893617,"('service', 'slow')",2.0,0.0017035775127768314,"('standing', 'behind', 'behind')",1,0.0008525149190110827
36,"('disappointed',)",5.0,0.00425531914893617,"('will', 'get')",2.0,0.0017035775127768314,"('follow', 'distance', 'rule')",1,0.0008525149190110827
37,"('reviews',)",5.0,0.00425531914893617,"('super', 'bad')",2.0,0.0017035775127768314,"('go', 'thereomg', 'didnt')",1,0.0008525149190110827
38,"('awful',)",5.0,0.00425531914893617,"('tuna', 'tuna')",2.0,0.0017035775127768314,"('thereomg', 'didnt', 'follow')",1,0.0008525149190110827
39,"('day',)",4.0,0.003404255319148936,"('rice', 'fish')",2.0,0.0017035775127768314,"('wasnt', 'worth', 'itthe')",1,0.0008525149190110827
40,"('plastic',)",4.0,0.003404255319148936,"('itthe', 'tolls')",1.0,0.0008517887563884157,"('itthe', 'tolls', 'werent')",1,0.0008525149190110827
41,"('another',)",4.0,0.003404255319148936,"('like', '5')",1.0,0.0008517887563884157,"('worth', 'itthe', 'tolls')",1,0.0008525149190110827
42,"('really',)",4.0,0.003404255319148936,"('5', 'minutes')",1.0,0.0008517887563884157,"('expenses', 'werent', 'worth')",1,0.0008525149190110827
43,"('received',)",4.0,0.003404255319148936,"('door', 'like')",1.0,0.0008517887563884157,"('gas', 'expenses', 'werent')",1,0.0008525149190110827
44,"('fish',)",4.0,0.003404255319148936,"('front', 'door')",1.0,0.0008517887563884157,"('itthe', 'gas', 'expenses')",1,0.0008525149190110827
45,"('else',)",4.0,0.003404255319148936,"('minutes', 'help')",1.0,0.0008517887563884157,"('worth', 'itthe', 'gas')",1,0.0008525149190110827
46,"('king',)",4.0,0.003404255319148936,"('help', 'saw')",1.0,0.0008517887563884157,"('drive', 'wasnt', 'worth')",1,0.0008525149190110827
47,"('worth',)",4.0,0.003404255319148936,"('saw', 'waitress')",1.0,0.0008517887563884157,"('worth', 'itthe', 'cost')",1,0.0008525149190110827
48,"('cant',)",4.0,0.003404255319148936,"('message', 'ill')",1.0,0.0008517887563884157,"('trip', 'drive', 'wasnt')",1,0.0008525149190110827
49,"('better',)",4.0,0.003404255319148936,"('waitress', 'standing')",1.0,0.0008517887563884157,"('round', 'trip', 'drive')",1,0.0008525149190110827
50,"('anything',)",4.0,0.003404255319148936,"('standing', 'behind')",1.0,0.0008517887563884157,"('hour', 'round', 'trip')",1,0.0008525149190110827
51,"('fresh',)",4.0,0.003404255319148936,"('standing', 'front')",1.0,0.0008517887563884157,"('2', 'hour', 'round')",1,0.0008525149190110827
52,"('told',)",4.0,0.003404255319148936,"('gas', 'expenses')",1.0,0.0008517887563884157,"('topthe', '2', 'hour')",1,0.0008525149190110827
53,"('bad',)",4.0,0.003404255319148936,"('itthe', 'gas')",1.0,0.0008517887563884157,"('fish', 'topthe', '2')",1,0.0008525149190110827
54,"('cream',)",4.0,0.003404255319148936,"('behind', 'behind')",1.0,0.0008517887563884157,"('tolls', 'werent', 'worth')",1,0.0008525149190110827
55,"('ice',)",4.0,0.003404255319148936,"('behind', 'front')",1.0,0.0008517887563884157,"('itthe', 'cost', 'meal')",1,0.0008525149190110827
56,"('10',)",4.0,0.003404255319148936,"('front', 'dest')",1.0,0.0008517887563884157,"('left', 'cant', 'eat')",1,0.0008525149190110827
57,"('left',)",4.0,0.003404255319148936,"('dest', 'didnt')",1.0,0.0008517887563884157,"('ill', 'tell', 'good')",1,0.0008525149190110827
58,"('greeted',)",3.0,0.002553191489361702,"('drive', 'wasnt')",1.0,0.0008517887563884157,"('dont', 'go', 'thereomg')",1,0.0008525149190110827
59,"('seated',)",3.0,0.002553191489361702,"('say', 'hello')",1.0,0.0008517887563884157,"('quality', 'dont', 'go')",1,0.0008525149190110827
60,"('front',)",3.0,0.002553191489361702,"('expenses', 'werent')",1.0,0.0008517887563884157,"('looking', 'quality', 'dont')",1,0.0008525149190110827
61,"('3',)",3.0,0.002553191489361702,"('itthe', 'cost')",1.0,0.0008517887563884157,"('spots', 'looking', 'quality')",1,0.0008525149190110827
62,"('servers',)",3.0,0.002553191489361702,"('tolls', 'werent')",1.0,0.0008517887563884157,"('good', 'spots', 'looking')",1,0.0008525149190110827
63,"('piece',)",3.0,0.002553191489361702,"('thereomg', 'didnt')",1.0,0.0008517887563884157,"('tell', 'good', 'spots')",1,0.0008525149190110827
64,"('spots',)",3.0,0.002553191489361702,"('good', 'message')",1.0,0.0008517887563884157,"('message', 'ill', 'tell')",1,0.0008525149190110827
65,"('think',)",3.0,0.002553191489361702,"('think', 'good')",1.0,0.0008517887563884157,"('cost', 'meal', 'wasnt')",1,0.0008525149190110827
66,"('drink',)",3.0,0.002553191489361702,"('tell', 'good')",1.0,0.0008517887563884157,"('good', 'message', 'ill')",1,0.0008525149190110827
67,"('instead',)",3.0,0.002553191489361702,"('good', 'spots')",1.0,0.0008517887563884157,"('think', 'good', 'message')",1,0.0008525149190110827
68,"('mayo',)",3.0,0.002553191489361702,"('spots', 'looking')",1.0,0.0008517887563884157,"('itpeople', 'think', 'good')",1,0.0008525149190110827
69,"('still',)",3.0,0.002553191489361702,"('looking', 'quality')",1.0,0.0008517887563884157,"('worth', 'itpeople', 'think')",1,0.0008525149190110827
70,"('ordered',)",3.0,0.002553191489361702,"('quality', 'dont')",1.0,0.0008517887563884157,"('wasnt', 'worth', 'itpeople')",1,0.0008525149190110827
71,"('top',)",3.0,0.002553191489361702,"('dont', 'go')",1.0,0.0008517887563884157,"('meal', 'wasnt', 'worth')",1,0.0008525149190110827
