,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('buffet',)",58.0,0.015247108307045216,"('crab', 'legs')",22.0,0.00578490665264265,"('snow', 'crab', 'legs')",4,0.0010520778537611783
1,"('like',)",32.0,0.008412197686645636,"('king', 'buffet')",11.0,0.002892453326321325,"('will', 'never', 'return')",3,0.0007890583903208837
2,"('crab',)",30.0,0.007886435331230283,"('chinese', 'buffet')",9.0,0.00236655272153563,"('8', 'year', 'old')",3,0.0007890583903208837
3,"('legs',)",25.0,0.006572029442691903,"('will', 'never')",7.0,0.0018406521167499343,"('expect', 'chinese', 'buffet')",2,0.0005260389268805891
4,"('service',)",24.0,0.006309148264984227,"('year', 'old')",6.0,0.0015777018143570865,"('hong', 'kong', 'king')",2,0.0005260389268805891
5,"('time',)",24.0,0.006309148264984227,"('last', 'time')",5.0,0.0013147515119642387,"('buffet', 'plymouth', 'meeting')",2,0.0005260389268805891
6,"('chinese',)",23.0,0.006046267087276551,"('looked', 'like')",5.0,0.0013147515119642387,"('king', 'buffet', 'plymouth')",2,0.0005260389268805891
7,"('good',)",23.0,0.006046267087276551,"('first', 'time')",5.0,0.0013147515119642387,"('kong', 'king', 'buffet')",2,0.0005260389268805891
8,"('even',)",23.0,0.006046267087276551,"('come', 'back')",4.0,0.001051801209571391,"('go', 'somewhere', 'else')",2,0.0005260389268805891
9,"('back',)",21.0,0.005520504731861199,"('snow', 'crab')",4.0,0.001051801209571391,"('will', 'last', 'time')",2,0.0005260389268805891
10,"('go',)",21.0,0.005520504731861199,"('plymouth', 'meeting')",4.0,0.001051801209571391,"('take', 'crab', 'legs')",2,0.0005260389268805891
11,"('will',)",20.0,0.005257623554153523,"('tasted', 'like')",4.0,0.001051801209571391,"('crab', 'legs', 'buffet')",2,0.0005260389268805891
12,"('get',)",19.0,0.004994742376445847,"('ice', 'cream')",4.0,0.001051801209571391,"('will', 'never', 'come')",2,0.0005260389268805891
13,"('price',)",19.0,0.004994742376445847,"('came', 'back')",4.0,0.001051801209571391,"('say', 'will', 'never')",2,0.0005260389268805891
14,"('tip',)",18.0,0.00473186119873817,"('years', 'ago')",4.0,0.001051801209571391,"('even', 'though', 'supposed')",2,0.0005260389268805891
15,"('used',)",18.0,0.00473186119873817,"('credit', 'card')",4.0,0.001051801209571391,"('though', 'supposed', 'open')",2,0.0005260389268805891
16,"('lunch',)",18.0,0.00473186119873817,"('per', 'person')",3.0,0.0007888509071785432,"('supposed', 'open', '11')",2,0.0005260389268805891
17,"('never',)",17.0,0.004468980021030494,"('dont', 'come')",3.0,0.0007888509071785432,"('come', 'crab', 'legs')",2,0.0005260389268805891
18,"('came',)",17.0,0.004468980021030494,"('never', 'return')",3.0,0.0007888509071785432,"('never', 'come', 'back')",2,0.0005260389268805891
19,"('said',)",17.0,0.004468980021030494,"('crab', 'cakes')",3.0,0.0007888509071785432,"('will', 'never', 'ever')",2,0.0005260389268805891
20,"('quality',)",17.0,0.004468980021030494,"('long', 'time')",3.0,0.0007888509071785432,"('first', 'time', 'ever')",2,0.0005260389268805891
21,"('got',)",17.0,0.004468980021030494,"('never', 'ever')",3.0,0.0007888509071785432,"('4', 'year', 'old')",2,0.0005260389268805891
22,"('eat',)",17.0,0.004468980021030494,"('even', 'good')",3.0,0.0007888509071785432,"('looked', 'like', 'didnt')",2,0.0005260389268805891
23,"('last',)",16.0,0.004206098843322818,"('wait', 'staff')",3.0,0.0007888509071785432,"('typical', 'chinese', 'buffet')",2,0.0005260389268805891
24,"('people',)",16.0,0.004206098843322818,"('wont', 'back')",3.0,0.0007888509071785432,"('went', 'king', 'buffet')",2,0.0005260389268805891
25,"('us',)",16.0,0.004206098843322818,"('chinese', 'buffets')",3.0,0.0007888509071785432,"('like', 'didnt', 'understand')",2,0.0005260389268805891
26,"('didnt',)",16.0,0.004206098843322818,"('open', '11')",3.0,0.0007888509071785432,"('let', 'alone', 'customer')",1,0.0002630194634402946
27,"('much',)",16.0,0.004206098843322818,"('even', 'though')",3.0,0.0007888509071785432,"('person', 'let', 'alone')",1,0.0002630194634402946
28,"('dont',)",16.0,0.004206098843322818,"('8', 'year')",3.0,0.0007888509071785432,"('treat', 'person', 'let')",1,0.0002630194634402946
29,"('restaurant',)",16.0,0.004206098843322818,"('better', 'chinese')",2.0,0.0005259006047856955,"('way', 'treat', 'person')",1,0.0002630194634402946
30,"('first',)",16.0,0.004206098843322818,"('arent', 'even')",2.0,0.0005259006047856955,"('new', 'chip', 'machine')",1,0.0002630194634402946
31,"('know',)",15.0,0.003943217665615142,"('things', 'buffet')",2.0,0.0005259006047856955,"('chip', 'machine', 'great')",1,0.0002630194634402946
32,"('can',)",15.0,0.003943217665615142,"('several', 'times')",2.0,0.0005259006047856955,"('thats', 'way', 'treat')",1,0.0002630194634402946
33,"('went',)",15.0,0.003943217665615142,"('hit', 'miss')",2.0,0.0005259006047856955,"('dirt', 'thats', 'way')",1,0.0002630194634402946
34,"('say',)",15.0,0.003943217665615142,"('tip', 'lady')",2.0,0.0005259006047856955,"('never', 'return', 'treated')",1,0.0002630194634402946
