,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('tuna',)",229.0,0.020593525179856114,"('tuna', 'bar')",98.0,0.008813742243007464,"('lobster', 'fried', 'rice')",11,0.0009893865803202015
1,"('roll',)",158.0,0.01420863309352518,"('happy', 'hour')",51.0,0.004586743412177354,"('old', 'city', 'roll')",9,0.0008094981111710739
2,"('great',)",136.0,0.01223021582733813,"('old', 'city')",45.0,0.004047126540156489,"('creamy', 'rock', 'shrimp')",8,0.0007195538765965102
3,"('bar',)",133.0,0.011960431654676258,"('fried', 'rice')",34.0,0.0030578289414515693,"('peppered', 'tuna', 'roll')",8,0.0007195538765965102
4,"('good',)",132.0,0.011870503597122302,"('rock', 'shrimp')",25.0,0.0022484036334202715,"('went', 'tuna', 'bar')",7,0.0006296096420219464
5,"('fresh',)",77.0,0.006924460431654676,"('highly', 'recommend')",22.0,0.001978595197409839,"('chicken', 'shrimp', 'dumplings')",7,0.0006296096420219464
6,"('best',)",77.0,0.006924460431654676,"('spicy', 'tuna')",21.0,0.0018886590520730282,"('spicy', 'salmon', 'roll')",6,0.0005396654074473826
7,"('service',)",73.0,0.006564748201438849,"('spicy', 'salmon')",19.0,0.0017087867613994063,"('mai', 'fried', 'rice')",6,0.0005396654074473826
8,"('also',)",72.0,0.006474820143884892,"('tuna', 'tartare')",17.0,0.0015289144707257847,"('dinner', 'tuna', 'bar')",6,0.0005396654074473826
9,"('city',)",70.0,0.006294964028776978,"('peppered', 'tuna')",17.0,0.0015289144707257847,"('wait', 'go', 'back')",6,0.0005396654074473826
10,"('amazing',)",69.0,0.0062050359712230215,"('tuna', 'roll')",17.0,0.0015289144707257847,"('roll', 'spicy', 'salmon')",6,0.0005396654074473826
11,"('restaurant',)",68.0,0.006115107913669065,"('wonton', 'soup')",13.0,0.0011691698893785412,"('cant', 'wait', 'go')",5,0.00044972117287281886
12,"('delicious',)",67.0,0.006025179856115108,"('will', 'definitely')",13.0,0.0011691698893785412,"('peanut', 'avocado', 'roll')",5,0.00044972117287281886
13,"('happy',)",63.0,0.005665467625899281,"('brussel', 'sprouts')",13.0,0.0011691698893785412,"('grandmoms', 'wonton', 'soup')",5,0.00044972117287281886
14,"('definitely',)",61.0,0.005485611510791367,"('fishtown', 'roll')",12.0,0.0010792337440417303,"('spicy', 'tuna', 'roll')",5,0.00044972117287281886
15,"('fish',)",59.0,0.0053057553956834536,"('date', 'night')",11.0,0.0009892975987049195,"('addition', 'old', 'city')",5,0.00044972117287281886
16,"('rice',)",59.0,0.0053057553956834536,"('lobster', 'fried')",11.0,0.0009892975987049195,"('definitely', 'come', 'back')",4,0.0003597769382982551
17,"('back',)",59.0,0.0053057553956834536,"('cant', 'wait')",11.0,0.0009892975987049195,"('tuna', 'bar', 'great')",4,0.0003597769382982551
18,"('ordered',)",59.0,0.0053057553956834536,"('come', 'back')",10.0,0.0008993614533681087,"('cant', 'go', 'wrong')",4,0.0003597769382982551
19,"('got',)",58.0,0.005215827338129497,"('go', 'back')",10.0,0.0008993614533681087,"('roll', 'fishtown', 'roll')",4,0.0003597769382982551
20,"('fried',)",55.0,0.0049460431654676255,"('green', 'tea')",10.0,0.0008993614533681087,"('tuna', 'spicy', 'salmon')",4,0.0003597769382982551
21,"('hour',)",55.0,0.0049460431654676255,"('shrimp', 'tempura')",10.0,0.0008993614533681087,"('went', 'happy', 'hour')",4,0.0003597769382982551
22,"('shrimp',)",53.0,0.004766187050359712,"('service', 'great')",10.0,0.0008993614533681087,"('recommend', 'tuna', 'bar')",4,0.0003597769382982551
23,"('spicy',)",51.0,0.004586330935251798,"('will', 'back')",10.0,0.0008993614533681087,"('will', 'definitely', 'back')",4,0.0003597769382982551
24,"('favorite',)",51.0,0.004586330935251798,"('best', 'ive')",9.0,0.0008094253080312977,"('spot', 'old', 'city')",4,0.0003597769382982551
25,"('menu',)",49.0,0.004406474820143885,"('miso', 'soup')",9.0,0.0008094253080312977,"('happy', 'hour', 'menu')",4,0.0003597769382982551
26,"('old',)",48.0,0.004316546762589928,"('broad', 'street')",9.0,0.0008094253080312977,"('restaurant', 'old', 'city')",3,0.0002698327037236913
27,"('well',)",48.0,0.004316546762589928,"('roll', 'spicy')",9.0,0.0008094253080312977,"('roll', 'white', 'dynamite')",3,0.0002698327037236913
28,"('night',)",48.0,0.004316546762589928,"('city', 'roll')",9.0,0.0008094253080312977,"('spicy', 'salmon', 'salmon')",3,0.0002698327037236913
29,"('will',)",47.0,0.004226618705035971,"('sindy', 'roll')",9.0,0.0008094253080312977,"('wasabi', 'fried', 'rice')",3,0.0002698327037236913
