,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",15.0,0.023510971786833857,"('chicken', 'wings')",3.0,0.004709576138147566,"('really', 'hesitant', 'give')",1,0.0015723270440251573
1,"('really',)",9.0,0.014106583072100314,"('spicy', 'tuna')",3.0,0.004709576138147566,"('simply', 'delicious', 'thankfully')",1,0.0015723270440251573
2,"('chicken',)",9.0,0.014106583072100314,"('really', 'good')",3.0,0.004709576138147566,"('acompanied', 'spicy', 'sauces')",1,0.0015723270440251573
3,"('spicy',)",9.0,0.014106583072100314,"('good', 'quality')",2.0,0.0031397174254317113,"('spicy', 'sauces', 'suggest')",1,0.0015723270440251573
4,"('great',)",9.0,0.014106583072100314,"('good', 'takeout')",2.0,0.0031397174254317113,"('sauces', 'suggest', 'trying')",1,0.0015723270440251573
5,"('friendly',)",8.0,0.012539184952978056,"('nothing', 'fancy')",2.0,0.0031397174254317113,"('suggest', 'trying', 'alaska')",1,0.0015723270440251573
6,"('always',)",8.0,0.012539184952978056,"('good', 'fresh')",2.0,0.0031397174254317113,"('trying', 'alaska', 'roll')",1,0.0015723270440251573
7,"('go',)",8.0,0.012539184952978056,"('go', 'lunch')",2.0,0.0031397174254317113,"('alaska', 'roll', 'simply')",1,0.0015723270440251573
8,"('takeout',)",8.0,0.012539184952978056,"('always', 'tastes')",2.0,0.0031397174254317113,"('roll', 'simply', 'delicious')",1,0.0015723270440251573
9,"('wings',)",7.0,0.0109717868338558,"('well', 'priced')",2.0,0.0031397174254317113,"('delicious', 'thankfully', 'spice')",1,0.0015723270440251573
10,"('still',)",6.0,0.009404388714733543,"('alaska', 'roll')",2.0,0.0031397174254317113,"('spicy', 'tuna', 'acompanied')",1,0.0015723270440251573
11,"('also',)",6.0,0.009404388714733543,"('broasted', 'chicken')",2.0,0.0031397174254317113,"('thankfully', 'spice', 'doesnt')",1,0.0015723270440251573
12,"('fresh',)",6.0,0.009404388714733543,"('fried', 'chicken')",2.0,0.0031397174254317113,"('spice', 'doesnt', 'overpower')",1,0.0015723270440251573
13,"('joa',)",6.0,0.009404388714733543,"('sweet', 'spicy')",2.0,0.0031397174254317113,"('doesnt', 'overpower', 'fish')",1,0.0015723270440251573
14,"('ive',)",6.0,0.009404388714733543,"('going', 'joa')",2.0,0.0031397174254317113,"('overpower', 'fish', 'flavorthe')",1,0.0015723270440251573
15,"('service',)",6.0,0.009404388714733543,"('better', 'places')",2.0,0.0031397174254317113,"('fish', 'flavorthe', 'prices')",1,0.0015723270440251573
16,"('recommend',)",6.0,0.009404388714733543,"('ive', 'going')",2.0,0.0031397174254317113,"('flavorthe', 'prices', 'still')",1,0.0015723270440251573
17,"('roll',)",5.0,0.007836990595611285,"('ew', 'unlike')",1.0,0.0015698587127158557,"('prices', 'still', 'moderate')",1,0.0015723270440251573
18,"('now',)",5.0,0.007836990595611285,"('doesnt', 'overpower')",1.0,0.0015698587127158557,"('tuna', 'acompanied', 'spicy')",1,0.0015723270440251573
19,"('menu',)",5.0,0.007836990595611285,"('comes', 'best')",1.0,0.0015698587127158557,"('now', 'spicy', 'tuna')",1,0.0015723270440251573
20,"('im',)",5.0,0.007836990595611285,"('simply', 'delicious')",1.0,0.0015698587127158557,"('moderate', 'least', 'better')",1,0.0015723270440251573
21,"('much',)",5.0,0.007836990595611285,"('delicious', 'thankfully')",1.0,0.0015698587127158557,"('nearly', 'everything', 'memu')",1,0.0015723270440251573
22,"('well',)",5.0,0.007836990595611285,"('thankfully', 'spice')",1.0,0.0015698587127158557,"('better', 'places', 'area')",1,0.0015723270440251573
23,"('craving',)",4.0,0.006269592476489028,"('spice', 'doesnt')",1.0,0.0015698587127158557,"('places', 'area', 'go')",1,0.0015723270440251573
24,"('going',)",4.0,0.006269592476489028,"('picky', 'comes')",1.0,0.0015698587127158557,"('area', 'go', 'craving')",1,0.0015723270440251573
25,"('lunch',)",4.0,0.006269592476489028,"('im', 'picky')",1.0,0.0015698587127158557,"('go', 'craving', 'ive')",1,0.0015723270440251573
26,"('staff',)",4.0,0.006269592476489028,"('best', 'area')",1.0,0.0015698587127158557,"('craving', 'ive', 'tried')",1,0.0015723270440251573
27,"('since',)",4.0,0.006269592476489028,"('overpower', 'fish')",1.0,0.0015698587127158557,"('ive', 'tried', 'nearly')",1,0.0015723270440251573
28,"('delicious',)",4.0,0.006269592476489028,"('fish', 'flavorthe')",1.0,0.0015698587127158557,"('tried', 'nearly', 'everything')",1,0.0015723270440251573
29,"('super',)",4.0,0.006269592476489028,"('flavorthe', 'prices')",1.0,0.0015698587127158557,"('everything', 'memu', 'least')",1,0.0015723270440251573
30,"('time',)",4.0,0.006269592476489028,"('prices', 'still')",1.0,0.0015698587127158557,"('offer', 'now', 'spicy')",1,0.0015723270440251573
31,"('nice',)",4.0,0.006269592476489028,"('still', 'moderate')",1.0,0.0015698587127158557,"('memu', 'least', 'im')",1,0.0015723270440251573
32,"('awesome',)",4.0,0.006269592476489028,"('now', 'im')",1.0,0.0015698587127158557,"('least', 'im', 'getting')",1,0.0015723270440251573
33,"('thing',)",4.0,0.006269592476489028,"('roll', 'simply')",1.0,0.0015698587127158557,"('im', 'getting', 'atatched')",1,0.0015723270440251573
34,"('get',)",4.0,0.006269592476489028,"('trying', 'alaska')",1.0,0.0015698587127158557,"('getting', 'atatched', 'spicy')",1,0.0015723270440251573
35,"('pretty',)",4.0,0.006269592476489028,"('least', 'better')",1.0,0.0015698587127158557,"('atatched', 'spicy', 'dishes')",1,0.0015723270440251573
36,"('least',)",4.0,0.006269592476489028,"('spicy', 'dishes')",1.0,0.0015698587127158557,"('spicy', 'dishes', 'offer')",1,0.0015723270440251573
37,"('places',)",4.0,0.006269592476489028,"('memu', 'least')",1.0,0.0015698587127158557,"('dishes', 'offer', 'now')",1,0.0015723270440251573
38,"('best',)",3.0,0.004702194357366771,"('least', 'im')",1.0,0.0015698587127158557,"('still', 'moderate', 'least')",1,0.0015723270440251573
39,"('family',)",3.0,0.004702194357366771,"('im', 'getting')",1.0,0.0015698587127158557,"('least', 'better', 'places')",1,0.0015723270440251573
40,"('make',)",3.0,0.004702194357366771,"('getting', 'atatched')",1.0,0.0015698587127158557,"('joa', 'still', 'better')",1,0.0015723270440251573
41,"('can',)",3.0,0.004702194357366771,"('atatched', 'spicy')",1.0,0.0015698587127158557,"('nice', 'really', 'good')",1,0.0015723270440251573
42,"('fish',)",3.0,0.004702194357366771,"('area', 'always')",1.0,0.0015698587127158557,"('now', 'weekend', 'guys')",1,0.0015723270440251573
43,"('eat',)",3.0,0.004702194357366771,"('dishes', 'offer')",1.0,0.0015698587127158557,"('weekend', 'guys', 'still')",1,0.0015723270440251573
44,"('customer',)",3.0,0.004702194357366771,"('suggest', 'trying')",1.0,0.0015698587127158557,"('guys', 'still', 'make')",1,0.0015723270440251573
45,"('area',)",3.0,0.004702194357366771,"('offer', 'now')",1.0,0.0015698587127158557,"('still', 'make', 'great')",1,0.0015723270440251573
46,"('day',)",3.0,0.004702194357366771,"('now', 'spicy')",1.0,0.0015698587127158557,"('make', 'great', 'always')",1,0.0015723270440251573
47,"('long',)",3.0,0.004702194357366771,"('tuna', 'acompanied')",1.0,0.0015698587127158557,"('great', 'always', 'nice')",1,0.0015723270440251573
48,"('come',)",3.0,0.004702194357366771,"('acompanied', 'spicy')",1.0,0.0015698587127158557,"('always', 'nice', 'really')",1,0.0015723270440251573
49,"('every',)",3.0,0.004702194357366771,"('spicy', 'sauces')",1.0,0.0015698587127158557,"('really', 'good', 'takeout')",1,0.0015723270440251573
50,"('tried',)",3.0,0.004702194357366771,"('sauces', 'suggest')",1.0,0.0015698587127158557,"('go', 'weekends', 'now')",1,0.0015723270440251573
