,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('like',)",8.0,0.017278617710583154,"('review', 'delivery')",2.0,0.004329004329004329,"('review', 'delivery', 'ordered')",2,0.004338394793926247
1,"('ordered',)",7.0,0.01511879049676026,"('night', 'ate')",2.0,0.004329004329004329,"('like', 'sitting', 'around')",2,0.004338394793926247
2,"('delivery',)",6.0,0.012958963282937365,"('delivery', 'ordered')",2.0,0.004329004329004329,"('last', 'night', 'ate')",2,0.004338394793926247
3,"('good',)",5.0,0.01079913606911447,"('like', 'sitting')",2.0,0.004329004329004329,"('racists', 'business', 'practices')",1,0.0021691973969631237
4,"('ate',)",5.0,0.01079913606911447,"('sitting', 'around')",2.0,0.004329004329004329,"('kumo', 'review', 'delivery')",1,0.0021691973969631237
5,"('get',)",5.0,0.01079913606911447,"('seemed', 'like')",2.0,0.004329004329004329,"('shame', 'kumo', 'review')",1,0.0021691973969631237
6,"('order',)",5.0,0.01079913606911447,"('teriyaki', 'beef')",2.0,0.004329004329004329,"('disappointed', 'shame', 'kumo')",1,0.0021691973969631237
7,"('dont',)",5.0,0.01079913606911447,"('last', 'night')",2.0,0.004329004329004329,"('disgusted', 'disappointed', 'shame')",1,0.0021691973969631237
8,"('roll',)",5.0,0.01079913606911447,"('soy', 'sauce')",2.0,0.004329004329004329,"('clearly', 'disgusted', 'disappointed')",1,0.0021691973969631237
9,"('rice',)",5.0,0.01079913606911447,"('miso', 'soup')",2.0,0.004329004329004329,"('restaurant', 'clearly', 'disgusted')",1,0.0021691973969631237
10,"('fish',)",4.0,0.008639308855291577,"('hope', 'others')",1.0,0.0021645021645021645,"('purchasing', 'restaurant', 'clearly')",1,0.0021691973969631237
11,"('restaurant',)",4.0,0.008639308855291577,"('restaurant', 'limits')",1.0,0.0021645021645021645,"('stop', 'purchasing', 'restaurant')",1,0.0021691973969631237
12,"('us',)",4.0,0.008639308855291577,"('disappointed', 'shame')",1.0,0.0021645021645021645,"('will', 'stop', 'purchasing')",1,0.0021691973969631237
13,"('last',)",4.0,0.008639308855291577,"('support', 'restaurant')",1.0,0.0021645021645021645,"('practices', 'will', 'stop')",1,0.0021691973969631237
14,"('deliver',)",4.0,0.008639308855291577,"('disgusted', 'disappointed')",1.0,0.0021645021645021645,"('business', 'practices', 'will')",1,0.0021691973969631237
15,"('used',)",4.0,0.008639308855291577,"('clearly', 'disgusted')",1.0,0.0021645021645021645,"('good', '5', 'kani')",1,0.0021691973969631237
16,"('well',)",4.0,0.008639308855291577,"('restaurant', 'clearly')",1.0,0.0021645021645021645,"('delivery', 'ordered', 'tuna')",1,0.0021691973969631237
17,"('soup',)",3.0,0.0064794816414686825,"('purchasing', 'restaurant')",1.0,0.0021645021645021645,"('review', 'support', 'racists')",1,0.0021691973969631237
18,"('will',)",3.0,0.0064794816414686825,"('stop', 'purchasing')",1.0,0.0021645021645021645,"('read', 'review', 'support')",1,0.0021691973969631237
19,"('said',)",3.0,0.0064794816414686825,"('will', 'stop')",1.0,0.0021645021645021645,"('others', 'read', 'review')",1,0.0021691973969631237
20,"('sauce',)",3.0,0.0064794816414686825,"('limits', 'clientele')",1.0,0.0021645021645021645,"('hope', 'others', 'read')",1,0.0021691973969631237
21,"('beef',)",3.0,0.0064794816414686825,"('others', 'read')",1.0,0.0021645021645021645,"('stereotypes', 'hope', 'others')",1,0.0021691973969631237
22,"('disappointed',)",3.0,0.0064794816414686825,"('practices', 'will')",1.0,0.0021645021645021645,"('types', 'stereotypes', 'hope')",1,0.0021691973969631237
23,"('review',)",3.0,0.0064794816414686825,"('business', 'practices')",1.0,0.0021645021645021645,"('clientele', 'types', 'stereotypes')",1,0.0021691973969631237
24,"('super',)",3.0,0.0064794816414686825,"('racists', 'business')",1.0,0.0021645021645021645,"('limits', 'clientele', 'types')",1,0.0021691973969631237
25,"('3',)",3.0,0.0064794816414686825,"('clientele', 'types')",1.0,0.0021645021645021645,"('restaurant', 'limits', 'clientele')",1,0.0021691973969631237
26,"('instead',)",3.0,0.0064794816414686825,"('review', 'support')",1.0,0.0021645021645021645,"('support', 'restaurant', 'limits')",1,0.0021691973969631237
27,"('night',)",3.0,0.0064794816414686825,"('read', 'review')",1.0,0.0021645021645021645,"('refuse', 'support', 'restaurant')",1,0.0021691973969631237
28,"('wasnt',)",3.0,0.0064794816414686825,"('types', 'stereotypes')",1.0,0.0021645021645021645,"('support', 'racists', 'business')",1,0.0021691973969631237
29,"('places',)",3.0,0.0064794816414686825,"('stereotypes', 'hope')",1.0,0.0021645021645021645,"('ordered', 'tuna', 'avocado')",1,0.0021691973969631237
30,"('better',)",3.0,0.0064794816414686825,"('support', 'racists')",1.0,0.0021645021645021645,"('university', 'city', 'refuse')",1,0.0021691973969631237
31,"('teriyaki',)",2.0,0.004319654427645789,"('good', '5')",1.0,0.0021645021645021645,"('tuna', 'avocado', 'salad')",1,0.0021691973969631237
