,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('told',)",10.0,0.017699115044247787,"('even', 'asked')",2.0,0.0035460992907801418,"('rice', 'poke', 'bowl')",2,0.003552397868561279
1,"('us',)",9.0,0.01592920353982301,"('smell', 'taste')",2.0,0.0035460992907801418,"('since', 'went', 'cant')",1,0.0017761989342806395
2,"('ordered',)",9.0,0.01592920353982301,"('30', 'minutes')",2.0,0.0035460992907801418,"('waiting', 'restaurant', 'hour')",1,0.0017761989342806395
3,"('go',)",9.0,0.01592920353982301,"('us', 'waiting')",2.0,0.0035460992907801418,"('restaurant', 'hour', '78')",1,0.0017761989342806395
4,"('order',)",9.0,0.01592920353982301,"('fried', 'rice')",2.0,0.0035460992907801418,"('hour', '78', 'order')",1,0.0017761989342806395
5,"('asked',)",8.0,0.01415929203539823,"('poke', 'bowl')",2.0,0.0035460992907801418,"('78', 'order', 'finally')",1,0.0017761989342806395
6,"('time',)",8.0,0.01415929203539823,"('rice', 'poke')",2.0,0.0035460992907801418,"('order', 'finally', 'ready')",1,0.0017761989342806395
7,"('good',)",8.0,0.01415929203539823,"('us', 'wanted')",2.0,0.0035460992907801418,"('finally', 'ready', '8')",1,0.0017761989342806395
8,"('got',)",7.0,0.012389380530973451,"('another', 'table')",2.0,0.0035460992907801418,"('ready', '8', 'warm')",1,0.0017761989342806395
9,"('restaurant',)",7.0,0.012389380530973451,"('20', 'minutes')",2.0,0.0035460992907801418,"('told', 'us', 'waiting')",1,0.0017761989342806395
10,"('get',)",6.0,0.010619469026548672,"('finally', 'ready')",1.0,0.0017730496453900709,"('8', 'warm', 'called')",1,0.0017761989342806395
11,"('will',)",6.0,0.010619469026548672,"('order', 'finally')",1.0,0.0017730496453900709,"('warm', 'called', 'take')",1,0.0017761989342806395
12,"('minutes',)",6.0,0.010619469026548672,"('told', 'us')",1.0,0.0017730496453900709,"('called', 'take', 'ordered')",1,0.0017761989342806395
13,"('service',)",5.0,0.008849557522123894,"('hour', '78')",1.0,0.0017730496453900709,"('take', 'ordered', 'regulars')",1,0.0017761989342806395
14,"('salad',)",5.0,0.008849557522123894,"('restaurant', 'hour')",1.0,0.0017730496453900709,"('ordered', 'regulars', 'always')",1,0.0017761989342806395
15,"('rice',)",5.0,0.008849557522123894,"('waiting', 'restaurant')",1.0,0.0017730496453900709,"('regulars', 'always', 'get')",1,0.0017761989342806395
16,"('never',)",5.0,0.008849557522123894,"('ready', '8')",1.0,0.0017730496453900709,"('us', 'waiting', 'restaurant')",1,0.0017761989342806395
17,"('went',)",5.0,0.008849557522123894,"('8', 'warm')",1.0,0.0017730496453900709,"('7', 'told', 'us')",1,0.0017761989342806395
18,"('table',)",5.0,0.008849557522123894,"('warm', 'called')",1.0,0.0017730496453900709,"('chicken', 'satay', 'dont')",1,0.0017761989342806395
19,"('horrible',)",4.0,0.007079646017699115,"('called', 'take')",1.0,0.0017730496453900709,"('good', 'might', 'good')",1,0.0017761989342806395
20,"('back',)",4.0,0.007079646017699115,"('78', 'order')",1.0,0.0017730496453900709,"('dont', 'waste', 'time')",1,0.0017761989342806395
21,"('staff',)",4.0,0.007079646017699115,"('ready', '7')",1.0,0.0017730496453900709,"('waste', 'time', 'least')",1,0.0017761989342806395
22,"('waited',)",4.0,0.007079646017699115,"('7', 'told')",1.0,0.0017730496453900709,"('time', 'least', 'friday')",1,0.0017761989342806395
23,"('sit',)",4.0,0.007079646017699115,"('ordered', 'regulars')",1.0,0.0017730496453900709,"('least', 'friday', 'usually')",1,0.0017761989342806395
24,"('came',)",4.0,0.007079646017699115,"('thinking', 'ready')",1.0,0.0017730496453900709,"('friday', 'usually', 'good')",1,0.0017761989342806395
25,"('hour',)",4.0,0.007079646017699115,"('615', 'thinking')",1.0,0.0017730496453900709,"('usually', 'good', 'might')",1,0.0017761989342806395
26,"('roll',)",4.0,0.007079646017699115,"('order', '615')",1.0,0.0017730496453900709,"('might', 'good', 'experience')",1,0.0017761989342806395
27,"('ok',)",4.0,0.007079646017699115,"('put', 'order')",1.0,0.0017730496453900709,"('ready', '7', 'told')",1,0.0017761989342806395
28,"('wanted',)",3.0,0.005309734513274336,"('experience', 'put')",1.0,0.0017730496453900709,"('good', 'experience', 'put')",1,0.0017761989342806395
29,"('experience',)",3.0,0.005309734513274336,"('good', 'experience')",1.0,0.0017730496453900709,"('experience', 'put', 'order')",1,0.0017761989342806395
30,"('fried',)",3.0,0.005309734513274336,"('might', 'good')",1.0,0.0017730496453900709,"('put', 'order', '615')",1,0.0017761989342806395
31,"('poke',)",3.0,0.005309734513274336,"('good', 'might')",1.0,0.0017730496453900709,"('order', '615', 'thinking')",1,0.0017761989342806395
32,"('couldnt',)",3.0,0.005309734513274336,"('usually', 'good')",1.0,0.0017730496453900709,"('615', 'thinking', 'ready')",1,0.0017761989342806395
33,"('first',)",3.0,0.005309734513274336,"('friday', 'usually')",1.0,0.0017730496453900709,"('thinking', 'ready', '7')",1,0.0017761989342806395
34,"('said',)",3.0,0.005309734513274336,"('least', 'friday')",1.0,0.0017730496453900709,"('always', 'get', 'done')",1,0.0017761989342806395
35,"('little',)",3.0,0.005309734513274336,"('time', 'least')",1.0,0.0017730496453900709,"('get', 'done', 'asked')",1,0.0017761989342806395
36,"('served',)",3.0,0.005309734513274336,"('waste', 'time')",1.0,0.0017730496453900709,"('done', 'asked', 'sean')",1,0.0017761989342806395
37,"('wait',)",3.0,0.005309734513274336,"('take', 'ordered')",1.0,0.0017730496453900709,"('bunch', 'ricei', 'disappointed')",1,0.0017761989342806395
38,"('always',)",3.0,0.005309734513274336,"('since', 'went')",1.0,0.0017730496453900709,"('box', 'fell', 'apart')",1,0.0017761989342806395
39,"('know',)",3.0,0.005309734513274336,"('regulars', 'always')",1.0,0.0017730496453900709,"('fell', 'apart', 'missing')",1,0.0017761989342806395
40,"('take',)",3.0,0.005309734513274336,"('missing', 'topping')",1.0,0.0017730496453900709,"('apart', 'missing', 'topping')",1,0.0017761989342806395
