,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('bowl',)",23.0,0.016265912305516265,"('big', 'eye')",8.0,0.005661712668082095,"('ia', 'fish', 'market')",3,0.002124645892351275
1,"('fish',)",15.0,0.010608203677510608,"('public', 'market')",5.0,0.003538570417551309,"('portions', 'quite', 'large')",2,0.00141643059490085
2,"('poke',)",15.0,0.010608203677510608,"('poke', 'bowl')",5.0,0.003538570417551309,"('fish', 'n', 'chips')",2,0.00141643059490085
3,"('good',)",14.0,0.009900990099009901,"('poke', 'bowls')",4.0,0.0028308563340410475,"('sucks', 'santa', 'monica')",1,0.000708215297450425
4,"('like',)",14.0,0.009900990099009901,"('looked', 'like')",4.0,0.0028308563340410475,"('oyster', 'deals', 'poke')",1,0.000708215297450425
5,"('ordered',)",13.0,0.009193776520509194,"('ia', 'fish')",4.0,0.0028308563340410475,"('fillets', 'garlic', 'fries')",1,0.000708215297450425
6,"('first',)",12.0,0.008486562942008486,"('fish', 'market')",3.0,0.0021231422505307855,"('swordfish', 'fillets', 'garlic')",1,0.000708215297450425
7,"('big',)",11.0,0.007779349363507779,"('last', 'time')",3.0,0.0021231422505307855,"('even', 'swordfish', 'fillets')",1,0.000708215297450425
8,"('time',)",11.0,0.007779349363507779,"('spicy', 'chicken')",2.0,0.0014154281670205238,"('favorites', 'even', 'swordfish')",1,0.000708215297450425
9,"('market',)",9.0,0.006364922206506365,"('super', 'super')",2.0,0.0014154281670205238,"('fried', 'favorites', 'even')",1,0.000708215297450425
10,"('bowls',)",9.0,0.006364922206506365,"('next', 'time')",2.0,0.0014154281670205238,"('poke', 'fried', 'favorites')",1,0.000708215297450425
11,"('go',)",8.0,0.005657708628005658,"('consistently', 'good')",2.0,0.0014154281670205238,"('deals', 'poke', 'fried')",1,0.000708215297450425
12,"('eye',)",8.0,0.005657708628005658,"('know', 'cut')",2.0,0.0014154281670205238,"('various', 'oyster', 'deals')",1,0.000708215297450425
13,"('rice',)",8.0,0.005657708628005658,"('first', 'opened')",2.0,0.0014154281670205238,"('fish', 'various', 'oyster')",1,0.000708215297450425
14,"('last',)",7.0,0.0049504950495049506,"('quite', 'large')",2.0,0.0014154281670205238,"('rock', 'fish', 'various')",1,0.000708215297450425
15,"('salmon',)",7.0,0.0049504950495049506,"('portions', 'quite')",2.0,0.0014154281670205238,"('everything', 'rock', 'fish')",1,0.000708215297450425
16,"('back',)",7.0,0.0049504950495049506,"('fingers', 'sprinkle')",2.0,0.0014154281670205238,"('options', 'everything', 'rock')",1,0.000708215297450425
17,"('great',)",7.0,0.0049504950495049506,"('took', 'forever')",2.0,0.0014154281670205238,"('grilled', 'options', 'everything')",1,0.000708215297450425
18,"('better',)",7.0,0.0049504950495049506,"('tuna', 'crab')",2.0,0.0014154281670205238,"('hand', 'grilled', 'options')",1,0.000708215297450425
19,"('hand',)",7.0,0.0049504950495049506,"('shrimp', 'tempura')",2.0,0.0014154281670205238,"('market', 'hand', 'grilled')",1,0.000708215297450425
20,"('ia',)",6.0,0.004243281471004243,"('great', 'now')",2.0,0.0014154281670205238,"('fish', 'market', 'hand')",1,0.000708215297450425
21,"('even',)",6.0,0.004243281471004243,"('got', 'home')",2.0,0.0014154281670205238,"('garlic', 'fries', 'new')",1,0.000708215297450425
22,"('really',)",6.0,0.004243281471004243,"('limited', 'expensive')",2.0,0.0014154281670205238,"('fries', 'new', 'spot')",1,0.000708215297450425
