,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('us',)",69.0,0.013065707252414316,"('come', 'back')",8.0,0.0015151515151515152,"('molten', 'lava', 'cake')",3,0.0005682894487592347
1,"('time',)",48.0,0.009089187653853437,"('st', 'pete')",6.0,0.0011363636363636363,"('will', 'coming', 'back')",2,0.00037885963250615644
2,"('back',)",46.0,0.008710471501609543,"('didnt', 'even')",6.0,0.0011363636363636363,"('20', 'minute', 'wait')",2,0.00037885963250615644
3,"('service',)",45.0,0.008521113425487597,"('20', 'minutes')",6.0,0.0011363636363636363,"('us', '20', 'minutes')",2,0.00037885963250615644
4,"('even',)",40.0,0.0075743230448778644,"('first', 'time')",5.0,0.000946969696969697,"('group', 'will', 'return')",2,0.00037885963250615644
5,"('bar',)",40.0,0.0075743230448778644,"('will', 'never')",5.0,0.000946969696969697,"('replacement', 'crab', 'cake')",2,0.00037885963250615644
6,"('like',)",39.0,0.0073849649687559174,"('second', 'time')",5.0,0.000946969696969697,"('filet', 'south', 'cackalacky')",2,0.00037885963250615644
7,"('good',)",39.0,0.0073849649687559174,"('cream', 'cheese')",5.0,0.000946969696969697,"('deal', 'creative', 'loafing')",2,0.00037885963250615644
8,"('get',)",36.0,0.006816890740390077,"('coming', 'back')",4.0,0.0007575757575757576,"('will', 'never', 'return')",2,0.00037885963250615644
9,"('table',)",34.0,0.006438174588146184,"('molten', 'lava')",4.0,0.0007575757575757576,"('manager', 'came', 'back')",2,0.00037885963250615644
10,"('came',)",32.0,0.006059458435902291,"('wont', 'back')",4.0,0.0007575757575757576,"('full', 'time', 'work')",2,0.00037885963250615644
11,"('ordered',)",31.0,0.005870100359780345,"('right', 'back')",4.0,0.0007575757575757576,"('never', 'come', 'back')",2,0.00037885963250615644
12,"('server',)",31.0,0.005870100359780345,"('10', 'minutes')",4.0,0.0007575757575757576,"('salmon', 'top', 'roll')",2,0.00037885963250615644
13,"('will',)",30.0,0.005680742283658398,"('first', 'visit')",4.0,0.0007575757575757576,"('get', 'drink', 'orders')",2,0.00037885963250615644
14,"('minutes',)",30.0,0.005680742283658398,"('minutes', 'get')",4.0,0.0007575757575757576,"('nothing', 'write', 'home')",2,0.00037885963250615644
15,"('never',)",30.0,0.005680742283658398,"('dining', 'room')",4.0,0.0007575757575757576,"('took', 'ten', 'minutes')",2,0.00037885963250615644
16,"('got',)",29.0,0.005491384207536452,"('drink', 'orders')",4.0,0.0007575757575757576,"('know', 'meanscheers', 'brother')",1,0.00018942981625307822
17,"('didnt',)",29.0,0.005491384207536452,"('came', 'back')",4.0,0.0007575757575757576,"('coldif', 'youre', 'local')",1,0.00018942981625307822
18,"('drinks',)",27.0,0.005112668055292559,"('even', 'though')",4.0,0.0007575757575757576,"('tapas', 'didnt', 'many')",1,0.00018942981625307822
19,"('order',)",27.0,0.005112668055292559,"('came', 'table')",4.0,0.0007575757575757576,"('youre', 'local', 'know')",1,0.00018942981625307822
20,"('said',)",25.0,0.004733951903048665,"('going', 'back')",3.0,0.0005681818181818182,"('publix', 'coldif', 'youre')",1,0.00018942981625307822
21,"('manager',)",25.0,0.004733951903048665,"('wait', 'staff')",3.0,0.0005681818181818182,"('local', 'know', 'meanscheers')",1,0.00018942981625307822
22,"('asked',)",24.0,0.0045445938269267185,"('customer', 'service')",3.0,0.0005681818181818182,"('brother', 'wanted', 'come')",1,0.00018942981625307822
23,"('really',)",24.0,0.0045445938269267185,"('will', 'back')",3.0,0.0005681818181818182,"('wanted', 'come', 'tapas')",1,0.00018942981625307822
24,"('menu',)",23.0,0.0043552357508047715,"('tater', 'tots')",3.0,0.0005681818181818182,"('come', 'tapas', 'didnt')",1,0.00018942981625307822
25,"('go',)",23.0,0.0043552357508047715,"('bring', 'us')",3.0,0.0005681818181818182,"('think', 'publix', 'coldif')",1,0.00018942981625307822
26,"('tables',)",21.0,0.003976519598560878,"('open', 'table')",3.0,0.0005681818181818182,"('cold', 'think', 'publix')",1,0.00018942981625307822
27,"('bad',)",21.0,0.003976519598560878,"('really', 'good')",3.0,0.0005681818181818182,"('meanscheers', 'brother', 'wanted')",1,0.00018942981625307822
28,"('come',)",21.0,0.003976519598560878,"('tasted', 'like')",3.0,0.0005681818181818182,"('brunch', 'items', 'pretty')",1,0.00018942981625307822
29,"('dont',)",20.0,0.0037871615224389322,"('pork', 'belly')",3.0,0.0005681818181818182,"('didnt', 'many', 'brunch')",1,0.00018942981625307822
30,"('great',)",20.0,0.0037871615224389322,"('service', 'industry')",3.0,0.0005681818181818182,"('many', 'brunch', 'brunch')",1,0.00018942981625307822
31,"('restaurant',)",20.0,0.0037871615224389322,"('dont', 'even')",3.0,0.0005681818181818182,"('spell', 'pricey', 'small')",1,0.00018942981625307822
32,"('lure',)",19.0,0.0035978034463169852,"('rainbow', 'roll')",3.0,0.0005681818181818182,"('however', 'spell', 'pricey')",1,0.00018942981625307822
33,"('first',)",19.0,0.0035978034463169852,"('ask', 'us')",3.0,0.0005681818181818182,"('bacon8ater', 'however', 'spell')",1,0.00018942981625307822
34,"('took',)",19.0,0.0035978034463169852,"('minutes', 'server')",3.0,0.0005681818181818182,"('tempura', 'bacon8ater', 'however')",1,0.00018942981625307822
35,"('experience',)",18.0,0.0034084453701950387,"('friday', 'night')",3.0,0.0005681818181818182,"('shrimp', 'tempura', 'bacon8ater')",1,0.00018942981625307822
36,"('going',)",18.0,0.0034084453701950387,"('looking', 'forward')",3.0,0.0005681818181818182,"('two', 'shrimp', 'tempura')",1,0.00018942981625307822
37,"('two',)",18.0,0.0034084453701950387,"('im', 'sure')",3.0,0.0005681818181818182,"('order', 'two', 'shrimp')",1,0.00018942981625307822
38,"('wait',)",17.0,0.003219087294073092,"('ordered', 'drinks')",3.0,0.0005681818181818182,"('skipped', 'order', 'two')",1,0.00018942981625307822
39,"('im',)",17.0,0.003219087294073092,"('sat', 'bar')",3.0,0.0005681818181818182,"('special', 'skipped', 'order')",1,0.00018942981625307822
40,"('way',)",17.0,0.003219087294073092,"('poke', 'bowl')",3.0,0.0005681818181818182,"('nothing', 'special', 'skipped')",1,0.00018942981625307822
41,"('meal',)",16.0,0.0030297292179511455,"('lava', 'cake')",3.0,0.0005681818181818182,"('standard', 'nothing', 'special')",1,0.00018942981625307822
42,"('roll',)",16.0,0.0030297292179511455,"('manager', 'came')",3.0,0.0005681818181818182,"('pretty', 'standard', 'nothing')",1,0.00018942981625307822
43,"('sure',)",16.0,0.0030297292179511455,"('never', 'came')",3.0,0.0005681818181818182,"('items', 'pretty', 'standard')",1,0.00018942981625307822
44,"('ask',)",16.0,0.0030297292179511455,"('spicy', 'salmon')",3.0,0.0005681818181818182,"('cold', 'reasonably', 'cold')",1,0.00018942981625307822
45,"('want',)",15.0,0.002840371141829199,"('ready', 'order')",3.0,0.0005681818181818182,"('brunch', 'brunch', 'items')",1,0.00018942981625307822
46,"('drink',)",15.0,0.002840371141829199,"('service', 'good')",3.0,0.0005681818181818182,"('reasonably', 'cold', 'think')",1,0.00018942981625307822
47,"('sat',)",15.0,0.002840371141829199,"('go', 'back')",3.0,0.0005681818181818182,"('muchoh', 'ice', 'cold')",1,0.00018942981625307822
48,"('20',)",14.0,0.0026510130657072524,"('seared', 'tuna')",3.0,0.0005681818181818182,"('ice', 'cold', 'reasonably')",1,0.00018942981625307822
49,"('another',)",14.0,0.0026510130657072524,"('four', 'us')",3.0,0.0005681818181818182,"('total', 'still', '12')",1,0.00018942981625307822
50,"('tacos',)",14.0,0.0026510130657072524,"('anything', 'else')",3.0,0.0005681818181818182,"('left', '300', 'tip')",1,0.00018942981625307822
51,"('ok',)",14.0,0.0026510130657072524,"('great', 'service')",3.0,0.0005681818181818182,"('ticket', 'left', '300')",1,0.00018942981625307822
52,"('night',)",14.0,0.0026510130657072524,"('30', 'minutes')",3.0,0.0005681818181818182,"('price', 'ticket', 'left')",1,0.00018942981625307822
53,"('nice',)",14.0,0.0026510130657072524,"('guys', 'need')",2.0,0.0003787878787878788,"('full', 'price', 'ticket')",1,0.00018942981625307822
54,"('know',)",14.0,0.0026510130657072524,"('table', 'mate')",2.0,0.0003787878787878788,"('pay', 'full', 'price')",1,0.00018942981625307822
55,"('visit',)",14.0,0.0026510130657072524,"('eel', 'sauce')",2.0,0.0003787878787878788,"('happy', 'pay', 'full')",1,0.00018942981625307822
56,"('check',)",13.0,0.002461654989585306,"('tenderloin', 'top')",2.0,0.0003787878787878788,"('12', 'happy', 'pay')",1,0.00018942981625307822
57,"('told',)",13.0,0.002461654989585306,"('five', 'minutes')",2.0,0.0003787878787878788,"('still', '12', 'happy')",1,0.00018942981625307822
58,"('busy',)",13.0,0.002461654989585306,"('comes', 'bar')",2.0,0.0003787878787878788,"('test', 'total', 'still')",1,0.00018942981625307822
59,"('salad',)",13.0,0.002461654989585306,"('ive', 'ever')",2.0,0.0003787878787878788,"('small', 'wouldnt', 'come')",1,0.00018942981625307822
60,"('cold',)",13.0,0.002461654989585306,"('replacement', 'crab')",2.0,0.0003787878787878788,"('total', 'test', 'total')",1,0.00018942981625307822
61,"('right',)",13.0,0.002461654989585306,"('crab', 'cakes')",2.0,0.0003787878787878788,"('taken', 'total', 'test')",1,0.00018942981625307822
62,"('staff',)",13.0,0.002461654989585306,"('bar', 'took')",2.0,0.0003787878787878788,"('nigiri', 'taken', 'total')",1,0.00018942981625307822
63,"('went',)",12.0,0.0022722969134633592,"('crab', 'cake')",2.0,0.0003787878787878788,"('explained', 'nigiri', 'taken')",1,0.00018942981625307822
64,"('times',)",12.0,0.0022722969134633592,"('serving', 'us')",2.0,0.0003787878787878788,"('waitress', 'explained', 'nigiri')",1,0.00018942981625307822
65,"('try',)",12.0,0.0022722969134633592,"('dining', 'experience')",2.0,0.0003787878787878788,"('edamame', 'waitress', 'explained')",1,0.00018942981625307822
66,"('think',)",12.0,0.0022722969134633592,"('im', 'sorry')",2.0,0.0003787878787878788,"('roll', 'edamame', 'waitress')",1,0.00018942981625307822
67,"('much',)",12.0,0.0022722969134633592,"('three', 'four')",2.0,0.0003787878787878788,"('nigiri', 'roll', 'edamame')",1,0.00018942981625307822
68,"('left',)",12.0,0.0022722969134633592,"('ten', 'minutes')",2.0,0.0003787878787878788,"('300', 'tip', 'point')",1,0.00018942981625307822
69,"('salmon',)",12.0,0.0022722969134633592,"('took', 'ten')",2.0,0.0003787878787878788,"('tip', 'point', 'nigiri')",1,0.00018942981625307822
70,"('something',)",12.0,0.0022722969134633592,"('get', 'drink')",2.0,0.0003787878787878788,"('point', 'nigiri', 'poor')",1,0.00018942981625307822
71,"('wanted',)",12.0,0.0022722969134633592,"('kani', 'salad')",2.0,0.0003787878787878788,"('nigiri', 'poor', 'quality')",1,0.00018942981625307822
72,"('also',)",11.0,0.0020829388373414127,"('flat', 'breads')",2.0,0.0003787878787878788,"('manager', 'muchoh', 'ice')",1,0.00018942981625307822
73,"('open',)",11.0,0.0020829388373414127,"('get', 'order')",2.0,0.0003787878787878788,"('polite', 'manager', 'muchoh')",1,0.00018942981625307822
74,"('disappointed',)",11.0,0.0020829388373414127,"('small', 'salad')",2.0,0.0003787878787878788,"('chirpy', 'polite', 'manager')",1,0.00018942981625307822
75,"('brought',)",11.0,0.0020829388373414127,"('visit', 'came')",2.0,0.0003787878787878788,"('nice', 'chirpy', 'polite')",1,0.00018942981625307822
76,"('brunch',)",11.0,0.0020829388373414127,"('face', 'mask')",2.0,0.0003787878787878788,"('elizabeth', 'nice', 'chirpy')",1,0.00018942981625307822
77,"('still',)",11.0,0.0020829388373414127,"('except', 'maybe')",2.0,0.0003787878787878788,"('bartender', 'elizabeth', 'nice')",1,0.00018942981625307822
78,"('water',)",11.0,0.0020829388373414127,"('roll', 'bad')",2.0,0.0003787878787878788,"('foodsweet', 'bartender', 'elizabeth')",1,0.00018942981625307822
79,"('2',)",11.0,0.0020829388373414127,"('cheese', 'cold')",2.0,0.0003787878787878788,"('complain', 'foodsweet', 'bartender')",1,0.00018942981625307822
80,"('waiting',)",11.0,0.0020829388373414127,"('salmon', 'top')",2.0,0.0003787878787878788,"('comps', 'complain', 'foodsweet')",1,0.00018942981625307822
81,"('disappointing',)",11.0,0.0020829388373414127,"('top', 'roll')",2.0,0.0003787878787878788,"('accept', 'comps', 'complain')",1,0.00018942981625307822
82,"('wasnt',)",11.0,0.0020829388373414127,"('really', 'disappointing')",2.0,0.0003787878787878788,"('never', 'accept', 'comps')",1,0.00018942981625307822
83,"('around',)",11.0,0.0020829388373414127,"('service', 'slow')",2.0,0.0003787878787878788,"('thati', 'never', 'accept')",1,0.00018942981625307822
84,"('though',)",11.0,0.0020829388373414127,"('never', 'come')",2.0,0.0003787878787878788,"('know', 'thati', 'never')",1,0.00018942981625307822
85,"('say',)",11.0,0.0020829388373414127,"('came', 'said')",2.0,0.0003787878787878788,"('new', 'know', 'thati')",1,0.00018942981625307822
86,"('girlfriend',)",11.0,0.0020829388373414127,"('paid', 'check')",2.0,0.0003787878787878788,"('others', 'new', 'know')",1,0.00018942981625307822
87,"('ive',)",10.0,0.0018935807612194661,"('girlfriend', 'agreed')",2.0,0.0003787878787878788,"('quality', 'others', 'new')",1,0.00018942981625307822
88,"('take',)",10.0,0.0018935807612194661,"('take', 'back')",2.0,0.0003787878787878788,"('poor', 'quality', 'others')",1,0.00018942981625307822
89,"('tried',)",10.0,0.0018935807612194661,"('write', 'home')",2.0,0.0003787878787878788,"('pricey', 'small', 'wouldnt')",1,0.00018942981625307822
90,"('second',)",10.0,0.0018935807612194661,"('two', 'tables')",2.0,0.0003787878787878788,"('meh', 'physical', 'bar')",1,0.00018942981625307822
91,"('made',)",10.0,0.0018935807612194661,"('ice', 'cold')",2.0,0.0003787878787878788,"('wouldnt', 'come', 'can')",1,0.00018942981625307822
92,"('rude',)",10.0,0.0018935807612194661,"('nothing', 'write')",2.0,0.0003787878787878788,"('nice', 'looking', 'trendy')",1,0.00018942981625307822
93,"('three',)",10.0,0.0018935807612194661,"('wont', 'coming')",2.0,0.0003787878787878788,"('walk', 'around', 'great')",1,0.00018942981625307822
94,"('dining',)",10.0,0.0018935807612194661,"('good', 'service')",2.0,0.0003787878787878788,"('lets', 'walk', 'around')",1,0.00018942981625307822
95,"('pretty',)",10.0,0.0018935807612194661,"('didnt', 'get')",2.0,0.0003787878787878788,"('location', 'lets', 'walk')",1,0.00018942981625307822
96,"('decided',)",10.0,0.0018935807612194661,"('quick', 'bite')",2.0,0.0003787878787878788,"('least', 'location', 'lets')",1,0.00018942981625307822
97,"('make',)",10.0,0.0018935807612194661,"('pool', 'table')",2.0,0.0003787878787878788,"('refills', 'least', 'location')",1,0.00018942981625307822
